time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;-------;-------;-------;-------
grouping;-------;-------;-------;-------
4;[7,_0_4_7_11_];[7,_0_4_7_11_];;
2;[7,_0_4_7_11_];;;
3;[7,_0_4_7_11_14_];;;
4;[7,_0_4_7_11_14_];;;
6;[7,_0_4_7_11_];;;
8;[7,_0_4_7_11_];[7,_0_4_7_11_];;
9;[7,_0_4_7_11_];;;
10;[7,_0_4_7_11_];;;
11;[7,_0_4_7_11_14_];;;
12;[7,_0_3_7_10_];[7,_0_3_7_10_];;
16;[0,_0_4_7_10_];[0,_0_4_7_10_];;
17;[0,_0_4_7_10_];;;
18;[0,_0_4_7_10_17_];;;
19;[0,_0_4_7_10_];;;
grouping;-------;-------;-------;-------
20;[5,_0_4_7_11_14_];[5,_0_4_7_11_];;
22;[5,_0_4_7_11_];;;
24;[5,_0_4_7_11_];[5,_0_4_7_11_];;
25;[5,_0_4_7_11_];;;
26;[5,_0_4_7_11_];;;
27;[5,_0_4_7_11_14_];;;
28;[5,_0_3_7_10_];[5,_0_3_7_10_];;
32;[10,_0_4_7_10_];[10,_0_4_7_10_];;
33;[10,_0_4_7_10_];;;
34;[10,_0_4_7_10_17_];;;
35;[10,_0_4_7_10_];;;
grouping;-------;-------;-------;-------
36;[3,_0_4_7_11_];[3,_0_4_7_11_];;
37;[3,_0_4_7_11_];;;
38;[3,_0_4_7_11_];;;
39;[3,_0_4_7_11_];;;
40;[9,_0_3_7_10_];[9,_0_3_7_10_];;
41;[9,_0_3_7_10_];;;
41.5;[9,_0_3_7_10_];;;
42;[2,_0_4_7_10_];[2,_0_4_7_10_];;
42.5;[2,_0_4_7_10_17_];;;
43;[2,_0_4_7_10_];;;
44;[7,_0_3_7_10_];[7,_0_3_7_10_];;
48;[0,_0_3_7_10_21_];[0,_0_3_7_9_];;
49.5;[0,_0_3_7_9_];;;
50;[2,_0_4_7_10_13_];[2,_0_4_7_10_13_];;
50.5;[2,_0_4_7_5_10_13_];;;
51;[2,_0_4_7_10_13_];;;
grouping;-------;-------;-------;-------
52;[7,_0_4_7_11_];[7,_0_4_7_11_];;
56;[9,_0_3_7_10_14_];[9,_0_3_7_10_];;
57;[9,_0_3_7_10_];;;
58;[11,_0_3_7_10_13_];[2,_0_4_7_10_];;
59;[2,_0_4_7_10_];;;
60;[11,_0_3_7_10_];[11,_0_3_7_10_];;
61;[11,_0_3_7_10_];;;
62;[10,_0_4_7_10_];[10,_0_4_7_10_];;
63;[10,_0_4_7_10_];;;
64;[9,_0_3_7_10_17_];[9,_0_3_7_10_17_];;
65;[9,_0_3_7_10_17_];;;
66;[2,_0_4_7_10_17_];[2,_0_4_7_10_];;
67;[2,_0_4_7_10_];;;
grouping;-------;-------;-------;-------
68;[7,_0_4_7_11_14_];[7,_0_4_7_11_];;
70;[7,_0_4_7_11_];;;
72;[7,_0_4_7_11_];[7,_0_4_7_11_];;
73;[7,_0_4_7_11_];;;
74;[7,_0_4_7_11_];;;
75;[7,_0_4_7_11_14_];;;
76;[7,_0_3_7_10_];[7,_0_3_7_10_];;
80;[0,_0_4_7_10_];[0,_0_4_7_10_];;
81;[0,_0_4_7_10_];;;
82;[0,_0_4_7_10_17_];;;
83;[0,_0_4_7_10_];;;
grouping;-------;-------;-------;-------
84;[5,_0_4_7_11_14_];[5,_0_4_7_11_];;
86;[5,_0_4_7_11_];;;
88;[5,_0_4_7_11_];[5,_0_4_7_11_];;
89;[5,_0_4_7_11_];;;
90;[5,_0_4_7_11_];;;
91;[5,_0_4_7_11_14_];;;
92;[5,_0_3_7_10_];[5,_0_3_7_10_];;
96;[10,_0_4_7_10_];[10,_0_4_7_10_];;
97;[10,_0_4_7_10_];;;
98;[10,_0_4_7_10_17_];;;
99;[10,_0_4_7_10_];;;
grouping;-------;-------;-------;-------
100;[3,_0_4_7_11_];[3,_0_4_7_11_];;
101;[3,_0_4_7_11_];;;
102;[3,_0_4_7_11_];;;
103;[3,_0_4_7_11_];;;
104;[9,_0_3_7_10_];[9,_0_3_7_10_];;
105;[9,_0_3_7_10_];;;
105.5;[9,_0_3_7_10_];;;
106;[2,_0_4_7_10_];[2,_0_4_7_10_];;
106.5;[2,_0_4_7_10_17_];;;
107;[2,_0_4_7_10_];;;
108;[7,_0_4_7_11_];[7,_0_4_7_11_];;
112;[9,_0_3_7_10_14_];[9,_0_3_7_10_];;
113;[9,_0_3_7_10_];;;
114;[11,_0_3_7_10_4_13_];[2,_0_4_7_10_13_];;
115;[2,_0_4_7_10_13_];;;
116;[11,_0_3_7_10_];[11,_0_3_7_10_];;
117;[11,_0_3_7_10_];;;
118;[10,_0_4_7_10_];[10,_0_4_7_10_];;
119;[10,_0_4_7_10_];;;
120;[9,_0_3_7_10_17_];[9,_0_3_7_10_17_];;
121;[9,_0_3_7_10_17_];;;
122;[2,_0_4_7_10_17_];[2,_0_4_7_10_];;
123;[2,_0_4_7_10_];;;
124;[4,_0_3_7_10_];[4,_0_3_7_10_];;
128;[9,_0_3_7_10_];[9,_0_3_7_10_];;
130;[2,_0_4_7_10_17_];[2,_0_4_7_10_17_];;
132;[7,_0_4_7_11_];[7,_0_4_7_11_];;
