time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;-------;-------;-------;-------
grouping;-------;-------;-------;-------
4;[2,_0_3_7_];[2,_0_3_7_17_];;
1.5;[2,_0_3_7_17_];;;
2;[2,_0_3_7_];;;
2.5;[2,_0_3_7_10_];;;
3;[2,_0_3_7_];;;
3.5;[2,_0_3_7_];;;
4;[2,_0_3_7_17_];;;
6;[2,_0_3_7_11_17_];[2,_0_3_7_11_17_];;
8;[2,_0_3_7_10_17_];[2,_0_3_7_10_];;
9;[2,_0_3_7_10_];;;
9.5;[2,_0_3_7_10_17_];;;
10;[2,_0_3_7_9_];[2,_0_3_7_9_];;
10.5;[2,_0_3_7_9_14_];;;
11;[2,_0_3_7_9_];;;
11.5;[2,_0_3_7_10_21_];;;
12;[7,_0_3_7_14_];[7,_0_3_7_14_];;
13;[7,_0_3_7_];;;
13.5;[7,_0_3_7_14_];;;
14;[7,_0_3_7_11_14_];[7,_0_3_7_11_14_];;
16;[7,_0_3_7_10_14_];[7,_0_3_7_10_14_];;
17;[7,_0_3_7_10_14_];;;
17.5;[7,_0_3_7_10_17_];;;
18;[7,_0_3_7_9_];[7,_0_3_7_9_];;
18.5;[7,_0_3_7_9_13_];;;
19;[9,_0_4_7_10_];[9,_0_4_7_10_];;
19.5;[1,_0_4_8_15_18_];;;
grouping;-------;-------;-------;-------
20;[2,_0_3_7_];[2,_0_3_7_];;
22;[2,_0_3_7_];;;
22.5;[2,_0_3_7_];;;
23;[2,_0_3_7_];;;
23.5;[2,_0_3_7_10_];;;
24;[2,_0_4_7_10_14_];[2,_0_4_7_10_14_];;
27;[2,_0_4_7_10_];;;
28;[7,_0_3_7_10_];[7,_0_3_7_10_];;
30;[6,_0_3_7_10_];[6,_0_3_7_10_];;
32;[5,_0_4_7_11_14_];[5,_0_4_7_11_14_];;
33;[5,_0_4_7_11_];[5,_0_4_7_11_];;
33.5;[5,_0_4_7_11_14_];;;
34;[5,_0_4_7_11_];[5,_0_4_7_11_];;
34.5;[5,_0_4_7_11_];;;
35;[2,_0_3_7_10_14_];[2,_0_3_7_10_14_];;
35.5;[5,_0_4_7_11_];;;
36;[5,_0_4_7_11_];[5,_0_4_7_11_];;
38;[5,_0_3_7_10_13_];[8,_0_4_7_10_];;
tonality;-------;-------;-------;-------
grouping;-------;-------;-------;-------
40;[1,_0_4_7_11_];[1,_0_4_7_11_];;
41;[10,_0_3_7_10_14_];;;
41.5;[1,_0_4_7_11_];;;
42;[10,_0_3_7_10_17_];[10,_0_3_7_10_];;
42.5;[10,_0_3_7_10_];;;
43;[10,_0_3_7_10_14_];[10,_0_3_7_10_];;
43.5;[10,_0_3_7_10_];;;
44;[3,_0_3_7_10_14_];[3,_0_3_7_10_14_];;
45;[3,_0_3_7_10_];;;
45.5;[3,_0_3_7_10_14_];;;
46;[8,_0_4_7_10_];[8,_0_4_7_10_];;
46.5;[8,_0_4_7_10_];;;
47;[5,_0_3_7_10_13_];[8,_0_4_7_10_];;
47.5;[8,_0_4_7_10_];;;
48;[1,_0_4_7_11_];[1,_0_4_7_11_];;
50;[2,_0_4_8_15_18_];[10,_0_4_7_10_13_];;
50.6667;[7,_0_3_7_10_13_];;;
51.3333;[10,_0_4_7_10_];;;
52;[3,_0_4_7_8_10_];[3,_0_4_7_10_];;
52.6667;[0,_0_3_7_10_13_];;;
53.3333;[3,_0_4_7_10_];;;
54;[8,_0_4_7_10_];[8,_0_4_7_10_];;
54.6667;[5,_0_3_7_10_13_];;;
55.3333;[8,_0_4_7_10_];;;
grouping;-------;-------;-------;-------
56;[1,_0_4_7_11_];[1,_0_4_7_11_];;
57;[10,_0_3_7_10_14_];;;
57.5;[1,_0_4_7_11_];;;
58;[10,_0_3_7_10_17_];[10,_0_3_7_10_];;
58.5;[10,_0_3_7_10_];;;
59;[10,_0_3_7_10_14_];[10,_0_3_7_10_];;
59.5;[10,_0_3_7_10_];;;
60;[3,_0_3_7_10_14_];[3,_0_3_7_10_14_];;
61;[3,_0_3_7_10_];;;
61.5;[3,_0_3_7_10_14_];;;
62;[8,_0_4_7_10_];[8,_0_4_7_10_];;
62.5;[8,_0_4_7_10_];;;
63;[5,_0_3_7_10_13_];[8,_0_4_7_10_];;
63.5;[8,_0_4_7_10_];;;
tonality;-------;-------;-------;-------
64;[7,_0_3_7_10_17_];[7,_0_3_7_10_17_];;
68;[0,_0_4_7_10_];[0,_0_4_7_10_];;
69;[0,_0_4_7_10_17_];;;
69.5;[0,_0_4_7_10_];;;
70;[9,_0_3_7_10_13_];;;
70.5;[0,_0_4_7_10_];;;
71;[0,_0_4_7_10_14_];;;
71.5;[0,_0_4_7_10_17_];;;
grouping;-------;-------;-------;-------
72;[2,_0_3_7_17_];[2,_0_3_7_17_];;
74;[2,_0_3_7_11_17_];[2,_0_3_7_11_17_];;
76;[2,_0_3_7_10_17_];[2,_0_3_7_10_];;
77;[2,_0_3_7_10_];;;
77.5;[2,_0_3_7_10_17_];;;
78;[2,_0_3_7_9_];[2,_0_3_7_9_];;
78.5;[2,_0_3_7_9_14_];;;
79;[2,_0_3_7_9_];;;
79.5;[2,_0_3_7_10_21_];;;
80;[7,_0_3_7_14_];[7,_0_3_7_14_];;
81;[7,_0_3_7_];;;
81.5;[7,_0_3_7_14_];;;
82;[7,_0_3_7_11_14_];[7,_0_3_7_11_14_];;
84;[7,_0_3_7_10_14_];[7,_0_3_7_10_14_];;
85;[7,_0_3_7_10_14_];;;
85.5;[7,_0_3_7_10_17_];;;
86;[7,_0_3_7_9_];[7,_0_3_7_9_13_];;
86.5;[7,_0_3_7_9_13_];;;
87;[9,_0_4_7_10_];[9,_0_4_7_10_];;
87.5;[1,_0_4_8_15_18_];;;
grouping;-------;-------;-------;-------
88;[2,_0_3_7_];[2,_0_3_7_];;
90;[2,_0_3_7_];;;
90.5;[2,_0_3_7_];;;
91;[2,_0_3_7_];;;
91.5;[2,_0_3_7_10_];;;
92;[2,_0_4_7_10_14_];[2,_0_4_7_10_14_];;
95;[2,_0_4_7_10_];;;
tonality;-------;-------;-------;-------
96;[7,_0_3_7_10_];[7,_0_3_7_10_];;
98;[0,_0_4_7_10_13_];[0,_0_4_7_10_13_];;
100;[5,_0_4_7_11_];[5,_0_4_7_11_];;
