time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;-------;-------;-------;-------
grouping;-------;-------;-------;-------
2;[7,_0_3_7_];[7,_0_3_7_];;
4;[7,_0_3_7_11_];[7,_0_3_7_11_];;
5;[7,_0_3_7_11_];;;
6;[7,_0_3_7_10_];[7,_0_3_7_10_];;
8;[0,_0_4_7_10_];[0,_0_4_7_10_];;
9;[0,_0_4_7_10_];;;
10;[3,_0_4_7_10_];[3,_0_4_7_10_];;
12;[2,_0_4_7_10_];[2,_0_4_7_10_];;
12.5;[2,_0_4_7_8_10_];;;
13.5;[2,_0_4_7_10_17_];;;
14;[7,_0_3_7_];[7,_0_3_7_];;
grouping;-------;-------;-------;-------
18;[0,_0_4_7_10_];[0,_0_4_7_10_];;
19;[0,_0_4_7_10_];;;
19.5;[0,_0_4_7_10_];;;
20.5;[0,_0_4_7_10_];;;
21;[0,_0_4_7_10_];;;
22;[7,_0_3_6_9_];[7,_0_3_6_9_];;
22.5;[7,_0_3_6_9_];;;
23.5;[7,_0_3_6_9_];;;
24;[7,_0_3_6_9_];;;
25;[7,_0_3_6_9_];;;
25.5;[7,_0_3_6_9_];;;
26;[10,_0_4_7_];[10,_0_4_7_];;
26.5;[10,_0_4_7_];;;
27;[10,_0_4_7_];;;
28;[10,_0_4_7_];;;
28.5;[10,_0_4_7_];;;
29.5;[10,_0_4_7_];;;
30;[2,_0_4_8_10_];[2,_0_4_8_10_];;
33;[2,_0_4_8_10_];;;
34;[10,_0_4_7_];[10,_0_4_7_];;
37;[10,_0_4_7_14_];;;
tonality;-------;-------;-------;-------
grouping;-------;-------;-------;-------
38;[5,_0_3_7_10_];[5,_0_3_7_10_];;
39;[5,_0_3_7_10_];;;
40;[5,_0_3_7_10_];;;
40.5;[5,_0_3_7_10_17_];;;
41.5;[5,_0_3_7_10_];;;
42;[10,_0_4_7_10_14_];[10,_0_4_7_10_];;
43;[10,_0_4_7_10_];;;
44;[10,_0_4_7_10_14_];;;
44.5;[10,_0_4_7_10_];;;
46;[3,_0_4_7_11_];[3,_0_4_7_11_];;
50;[3,_0_4_7_11_];[3,_0_4_7_11_];;
53;[0,_0_3_7_10_14_];;;
tonality;-------;-------;-------;-------
grouping;-------;-------;-------;-------
54;[7,_0_3_7_10_17_];[7,_0_3_7_10_17_];;
55;[7,_0_3_7_10_17_];;;
56;[7,_0_3_7_10_17_];;;
56.5;[7,_0_3_7_10_17_];;;
58;[0,_0_4_7_10_];[0,_0_4_7_10_];;
59;[0,_0_4_7_10_];;;
60;[0,_0_4_7_10_];;;
60.5;[0,_0_4_7_10_];;;
62;[5,_0_4_7_10_];[5,_0_4_7_10_];;
66;[2,_0_4_7_10_17_];[2,_0_4_7_10_17_];;
69;[2,_0_4_7_8_10_];;;
grouping;-------;-------;-------;-------
70;[7,_0_3_7_];[7,_0_3_7_];;
72;[7,_0_3_7_11_];[7,_0_3_7_11_];;
73;[7,_0_3_7_11_];;;
74;[7,_0_3_7_10_];[7,_0_3_7_10_];;
76;[0,_0_4_7_10_];[0,_0_4_7_10_];;
77;[0,_0_4_7_10_];;;
78;[3,_0_4_7_10_];[3,_0_4_7_10_];;
80;[2,_0_4_7_10_];[2,_0_4_7_10_];;
80.5;[2,_0_4_7_8_10_];;;
81.5;[2,_0_4_7_10_17_];;;
82;[7,_0_3_7_];[7,_0_3_7_];;
grouping;-------;-------;-------;-------
86;[7,_0_3_7_];[7,_0_3_7_];;
87;[7,_0_3_7_];;;
87.5;[7,_0_3_7_];;;
88.5;[7,_0_3_7_];;;
89;[7,_0_3_7_];;;
90;[0,_0_4_7_10_];[0,_0_4_7_10_];;
90.5;[0,_0_4_7_10_];;;
91.5;[0,_0_4_7_10_];;;
92;[0,_0_4_7_10_];;;
93;[0,_0_4_7_10_];;;
93.5;[0,_0_4_7_10_];;;
94;[7,_0_3_6_9_];[7,_0_3_6_9_];;
94.5;[7,_0_3_6_9_];;;
95;[7,_0_3_6_9_];;;
96;[7,_0_3_6_9_];;;
96.5;[7,_0_3_6_9_];;;
97.5;[7,_0_3_6_9_];;;
98;[2,_0_4_8_10_];[2,_0_4_8_10_];;
102;[7,_0_3_7_];[7,_0_3_7_];;
