time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;-------;-------;-------;-------
grouping;-------;-------;-------;-------
2;[0,_0_3_7_10_];[0,_0_3_7_10_];;
1.5;[0,_0_3_7_10_17_];;;
2;[0,_0_3_7_10_];;;
3.5;[0,_0_3_7_10_14_];;;
3.75;[0,_0_3_7_10_];;;
4;[2,_0_3_7_10_];[2,_0_3_7_10_];;
4.5;[2,_0_3_7_10_];;;
6;[3,_0_4_7_11_];[3,_0_4_7_11_];;
6.5;[0,_0_3_7_10_14_];;;
7;[3,_0_4_7_11_18_];;;
8;[2,_0_3_7_10_];[2,_0_3_7_10_];;
9;[2,_0_3_7_10_];;;
9.5;[10,_0_4_7_11_14_];;;
10;[0,_0_3_7_10_];[0,_0_3_7_10_];;
12;[2,_0_3_7_10_17_];[2,_0_3_7_10_17_];;
14;[3,_0_4_7_11_];[3,_0_4_7_11_];;
16;[2,_0_3_7_10_17_];[2,_0_3_7_10_17_];;
17;[2,_0_3_7_10_17_];;;
17.5;[2,_0_3_7_10_];;;
grouping;-------;-------;-------;-------
18;[0,_0_3_7_10_];[0,_0_3_7_10_];;
19.5;[0,_0_3_7_10_14_];;;
19.75;[0,_0_3_7_10_];;;
20;[2,_0_3_7_10_];[2,_0_3_7_10_];;
20.5;[2,_0_3_7_10_];;;
22;[3,_0_4_7_11_];[3,_0_4_7_11_];;
22.5;[0,_0_3_7_10_14_];;;
23;[3,_0_4_7_11_18_];;;
24;[2,_0_3_7_10_];[2,_0_3_7_10_];;
25;[2,_0_3_7_10_];;;
25.5;[10,_0_4_7_11_14_];;;
26;[0,_0_3_7_10_];[0,_0_3_7_10_];;
28;[2,_0_3_7_10_17_];[2,_0_3_7_10_17_];;
30;[3,_0_4_7_11_];[3,_0_4_7_11_];;
32;[2,_0_3_7_10_17_];[2,_0_3_7_10_17_];;
33;[2,_0_3_7_10_];;;
33.5;[2,_0_3_7_10_];;;
grouping;-------;-------;-------;-------
34;[0,_0_3_7_10_];[0,_0_3_7_10_];;
35.5;[0,_0_3_7_10_14_];;;
35.75;[0,_0_3_7_10_];;;
36;[10,_0_4_7_10_14_];[10,_0_4_7_10_14_];;
37.5;[10,_0_4_7_10_];;;
38;[3,_0_4_7_11_14_];[3,_0_4_7_11_14_];;
39.5;[3,_0_4_7_11_];;;
40;[8,_0_4_7_11_];[8,_0_4_7_11_];;
40.5;[8,_0_4_7_11_];;;
41.5;[8,_0_4_7_11_18_];;;
42;[8,_0_4_7_10_18_];[8,_0_4_7_10_14_];;
42.5;[5,_0_3_7_10_13_];;;
43;[8,_0_4_7_10_14_];;;
44;[9,_0_4_7_10_13_];[9,_0_4_7_10_13_];;
46;[8,_0_4_7_10_14_];[8,_0_4_7_10_];;
47.5;[8,_0_4_7_10_];;;
48;[7,_0_4_7_10_13_];[7,_0_4_7_10_];;
49.5;[7,_0_4_7_10_];;;
49.75;[7,_0_4_7_10_];;;
grouping;-------;-------;-------;-------
50;[0,_0_3_7_10_];[0,_0_3_7_10_];;
51;[0,_0_3_7_10_];;;
52;[2,_0_3_7_10_];[2,_0_3_7_10_];;
53;[2,_0_3_7_10_];;;
54;[3,_0_4_7_11_];[3,_0_4_7_11_];;
55;[0,_0_3_7_10_14_];;;
55.5;[3,_0_4_7_11_];;;
56;[7,_0_3_7_10_];[7,_0_3_7_10_];;
57;[7,_0_4_7_10_];[7,_0_4_7_10_];;
58;[0,_0_3_7_10_];[0,_0_3_7_10_];;
60;[2,_0_3_7_10_];[2,_0_3_7_10_];;
62;[0,_0_3_7_10_14_];[0,_0_3_7_10_14_];;
64;[2,_0_3_7_10_];[2,_0_3_7_10_];;
65;[2,_0_3_7_10_17_];;;
65.5;[2,_0_3_7_10_];;;
66;[0,_0_3_7_10_];[0,_0_3_7_10_];;
