time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;-------;-------;-------;-------
grouping;-------;-------;-------;-------
2;[9,_0_5_10_15_];[9,_0_5_10_15_];;
1.5;[9,_0_5_10_15_];;;
2;[9,_0_5_10_15_];;;
6;[9,_0_5_10_15_];[9,_0_5_10_15_];;
10;[9,_0_5_10_15_];[9,_0_5_10_15_];;
14;[9,_0_5_10_15_];[9,_0_5_10_15_];;
17;[9,_0_5_10_15_];;;
17.5;[9,_0_5_10_15_];;;
grouping;-------;-------;-------;-------
18;[0,_0_5_10_15_];[0,_0_5_10_15_];;
18.5;[0,_0_5_10_15_];;;
19;[0,_0_5_10_15_];;;
22;[0,_0_5_10_15_];[0,_0_5_10_15_];;
26;[0,_0_5_10_15_];[0,_0_5_10_15_];;
30;[0,_0_5_10_15_];[0,_0_5_10_15_];;
33;[5,_0_4_7_10_17_];;;
33.5;[10,_0_4_7_5_14_];;;
34;;[0,_0_5_10_15_];;
37;[0,_0_];;;
37.5;[5,_0_];;;
grouping;-------;-------;-------;-------
38;[10,_0_3_7_10_17_];[10,_0_3_7_10_17_];;
42;[10,_0_3_7_10_17_];[10,_0_3_7_10_17_];;
46;[10,_0_3_7_10_17_];[10,_0_3_7_10_17_];;
50;[10,_0_5_10_15_];[10,_0_5_10_15_];;
53;[10,_0_5_10_15_];;;
53.5;[1,_0_3_7_9_14_];;;
grouping;-------;-------;-------;-------
54;[1,_0_3_7_10_17_];[8,_0_5_10_15_];;
54.5;[8,_0_5_10_15_];;;
55;[8,_0_5_10_15_];;;
58;[8,_0_5_10_15_];[8,_0_5_10_15_];;
62;[8,_0_5_10_15_];[8,_0_5_10_15_];;
66;[8,_0_5_10_15_];[8,_0_5_10_15_];;
69;[6,_0_3_7_5_14_];;;
69.5;[11,_0_3_7_9_14_];;;
grouping;-------;-------;-------;-------
70;[9,_0_5_10_15_];[9,_0_5_10_15_];;
74;[9,_0_5_10_15_];[9,_0_5_10_15_];;
78;[9,_0_5_10_15_];[9,_0_5_10_15_];;
82;[9,_0_5_10_15_];[9,_0_5_10_15_];;
85;[9,_0_5_10_15_];;;
85.5;[9,_0_5_10_15_];;;
grouping;-------;-------;-------;-------
86;[0,_0_5_10_15_];[0,_0_5_10_15_];;
86.5;[0,_0_5_10_15_];;;
87;[0,_0_5_10_15_];;;
90;[0,_0_5_10_15_];[0,_0_5_10_15_];;
94;[0,_0_5_10_15_];[0,_0_5_10_15_];;
98;[0,_0_5_10_15_];[0,_0_5_10_15_];;
102;[9,_0_5_10_15_];[9,_0_5_10_15_];;
