time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;-------;-------;-------;-------
grouping;-------;-------;-------;-------
0;[0,_0_3_7_];[0,_0_3_7_];;
2;[0,_0_3_7_14_];;;
3;[0,_0_3_7_];;;
4;[0,_0_3_7_11_14_];[0,_0_3_7_11_14_];;
5.5;[0,_0_3_7_11_];;;
6;[0,_0_3_7_11_14_];;;
8;[0,_0_3_7_10_];[0,_0_3_7_10_];;
10;[0,_0_3_7_10_14_];;;
11;[0,_0_3_7_10_];;;
12;[0,_0_3_7_9_14_];[0,_0_3_7_9_14_];;
13.5;[0,_0_3_7_9_];;;
14;[0,_0_3_7_9_14_];;;
grouping;-------;-------;-------;-------
16;[8,_0_4_7_11_];[8,_0_4_7_11_];;
18;[8,_0_4_7_11_18_];;;
19;[8,_0_4_7_11_];;;
20;[5,_0_3_7_10_17_];[5,_0_3_7_10_17_];;
22;[5,_0_3_7_10_];[5,_0_3_7_10_];;
23;[5,_0_3_7_10_14_];;;
24;[5,_0_3_7_9_];[5,_0_3_7_9_];;
28;[7,_0_4_7_10_13_];[7,_0_4_7_10_13_];;
grouping;-------;-------;-------;-------
32;[0,_0_3_7_];[0,_0_3_7_];;
34;[0,_0_3_7_17_];;;
35;[0,_0_3_7_];;;
36;[0,_0_3_7_11_17_];[0,_0_3_7_11_17_];;
37.5;[0,_0_3_7_11_];;;
38;[0,_0_3_7_11_17_];;;
40;[0,_0_3_7_10_];[0,_0_3_7_10_];;
42;[0,_0_3_7_10_17_];;;
43;[0,_0_3_7_10_];;;
44;[5,_0_4_7_10_14_];[5,_0_4_7_10_14_];;
45.5;[0,_0_3_7_9_];;;
46;[5,_0_4_7_10_14_];;;
tonality;-------;-------;-------;-------
grouping;-------;-------;-------;-------
48;[8,_0_4_7_11_];[8,_0_4_7_11_];;
50;[5,_0_3_7_10_14_];;;
51;[8,_0_4_7_11_];;;
52;[5,_0_3_7_10_21_];[5,_0_3_7_10_21_];;
53.5;[5,_0_3_7_10_];;;
54;[5,_0_3_7_10_17_];[5,_0_3_7_10_17_];;
55.5;[5,_0_3_7_10_16_];;;
56;[5,_0_3_7_10_];[5,_0_3_7_10_];;
60;[10,_0_4_7_10_13_];[10,_0_4_7_10_13_];;
62;[7,_0_3_7_10_4_13_];;;
63;[10,_0_4_7_10_13_];;;
grouping;-------;-------;-------;-------
64;[3,_0_4_7_11_];[3,_0_4_7_11_];;
65.5;[3,_0_4_7_11_];;;
66;[5,_0_3_7_10_];[5,_0_3_7_10_];;
67;[5,_0_3_7_10_21_];;;
68;[3,_0_4_7_11_14_];[3,_0_4_7_11_14_];;
70;[5,_0_3_7_10_];[5,_0_3_7_10_];;
71;[5,_0_3_7_10_21_];;;
72;[0,_0_3_7_10_14_];[0,_0_3_7_10_14_];;
73.5;[3,_0_4_7_11_];;;
74;[5,_0_3_7_10_];[5,_0_3_7_10_];;
75;[5,_0_3_7_10_21_];;;
76;[3,_0_4_7_11_14_];[3,_0_4_7_11_14_];;
78;[5,_0_3_7_10_];[5,_0_3_7_10_];;
79;[5,_0_3_7_10_21_];;;
tonality;-------;-------;-------;-------
grouping;-------;-------;-------;-------
80;[3,_0_4_7_11_];[3,_0_4_7_11_];;
81.5;[3,_0_4_7_11_];;;
82;[3,_0_4_8_11_14_];[3,_0_4_8_11_14_];;
83;[7,_0_4_7_10_];;;
84;[0,_0_3_7_];[0,_0_3_7_];;
86;[10,_0_4_7_10_];[10,_0_4_7_10_];;
87;[9,_0_4_7_10_];[9,_0_4_7_10_];;
88;[8,_0_4_7_11_];[8,_0_4_7_11_];;
92;[5,_0_3_7_9_];[5,_0_3_7_9_];;
94;[7,_0_4_7_10_13_];[7,_0_4_7_10_13_];;
grouping;-------;-------;-------;-------
96;[0,_0_3_7_];[0,_0_3_7_];;
98;[0,_0_3_7_14_];;;
99;[0,_0_3_7_];;;
100;[0,_0_3_7_11_14_];[0,_0_3_7_11_14_];;
101.5;[0,_0_3_7_11_];;;
102;[0,_0_3_7_11_14_];;;
104;[0,_0_3_7_10_];[0,_0_3_7_10_];;
106;[0,_0_3_7_10_17_];;;
107;[0,_0_3_7_10_];;;
108;[5,_0_4_7_10_14_];[5,_0_4_7_10_14_];;
109.5;[0,_0_3_7_9_];;;
110;[5,_0_4_7_10_14_];;;
grouping;-------;-------;-------;-------
112;[8,_0_4_7_11_];[8,_0_4_7_11_];;
114;[8,_0_4_7_11_18_];;;
115;[8,_0_4_7_11_];;;
116;[5,_0_3_7_9_];[5,_0_3_7_9_];;
117.5;[5,_0_3_7_10_21_];;;
118;[7,_0_4_7_10_13_];[7,_0_4_7_10_13_];;
120;[0,_0_3_7_];[0,_0_3_7_];;
124;[10,_0_4_7_10_17_];[10,_0_4_7_10_17_];;
126;[9,_0_4_7_10_18_];[9,_0_4_7_10_18_];;
grouping;-------;-------;-------;-------
128;[8,_0_4_7_11_];[8,_0_4_7_11_];;
130;[5,_0_3_7_10_14_];;;
131;[8,_0_4_7_11_];;;
132;[5,_0_3_7_10_];[5,_0_3_7_10_];;
133.5;[5,_0_3_7_10_14_];;;
134;[10,_0_4_7_10_13_];[10,_0_4_7_10_13_];;
136;[0,_0_3_7_10_];[0,_0_3_7_10_];;
140;[5,_0_3_7_9_];[5,_0_3_7_9_];;
142;[7,_0_4_7_10_13_];[7,_0_4_7_10_13_];;
144;[0,_0_3_7_10_];[0,_0_3_7_10_];;
