time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;-------;-------;-------;-------
grouping;-------;-------;-------;-------
2;[5,_0_3_7_9_14_];[5,_0_3_7_9_14_];;
1;[5,_0_3_7_9_14_];;;
1.5;[5,_0_3_7_9_14_];;;
2;[5,_0_3_7_9_14_];;;
6;[7,_0_4_7_10_];[7,_0_4_7_10_];;
8;[7,_0_4_7_10_];;;
8.6667;[4,_0_3_7_10_13_];;;
9.3333;[3,_0_4_8_11_14_];;;
10;[0,_0_4_7_11_];[0,_0_4_7_11_];;
14;[0,_0_4_7_11_];[0,_0_4_7_11_];;
16;[0,_0_4_7_11_];;;
17;[0,_0_4_7_11_];;;
17.5;[0,_0_4_7_11_];;;
grouping;-------;-------;-------;-------
18;[5,_0_3_7_9_14_];[5,_0_3_7_9_14_];;
19;[5,_0_3_7_9_14_];;;
20;[5,_0_3_7_9_14_];;;
21;[5,_0_3_7_9_14_];;;
22;[7,_0_4_7_10_];[7,_0_4_7_10_];;
23;[7,_0_4_7_10_];;;
24;[7,_0_4_7_10_];;;
24.6667;[4,_0_3_7_10_13_];;;
25.3333;[3,_0_4_8_11_14_];;;
26;[0,_0_4_7_11_];[0,_0_4_7_11_];;
30;[0,_0_4_7_11_];[0,_0_4_7_11_];;
32;[0,_0_4_7_11_];;;
33.5;[0,_0_4_7_11_];;;
grouping;-------;-------;-------;-------
34;[9,_0_3_7_9_];[9,_0_3_7_9_];;
35;[9,_0_3_7_9_];;;
36;[9,_0_3_7_9_];;;
37;[9,_0_3_7_9_];;;
38;[5,_0_3_7_10_];[5,_0_3_7_10_];;
40;[5,_0_3_7_10_];;;
40.5;[5,_0_3_7_10_];;;
41.5;[5,_0_3_7_10_];;;
42;[4,_0_3_7_10_];[4,_0_3_7_10_];;
43;[4,_0_3_7_10_];;;
44;[4,_0_3_7_10_];;;
45;[4,_0_3_7_10_];;;
46;[2,_0_4_7_10_13_];[9,_0_3_6_9_];;
47;[6,_0_3_7_9_18_];;;
47.5;[9,_0_3_6_9_];;;
48;[9,_0_3_6_9_];;;
49;[11,_0_4_7_10_13_];;;
50;[2,_0_3_7_10_];[2,_0_3_7_10_17_];;
51;[2,_0_3_7_10_18_];;;
51.5;[2,_0_3_7_10_17_];;;
52;[2,_0_3_7_10_17_];;;
54;[7,_0_4_7_10_];[7,_0_4_7_10_];;
56;[7,_0_4_7_10_];;;
57;[7,_0_4_7_10_];;;
57.5;[7,_0_4_7_10_];;;
58;[0,_0_4_7_11_];[0,_0_4_7_11_];;
62;[0,_0_4_7_11_];[0,_0_4_7_11_];;
64;[0,_0_4_7_11_];;;
65;[0,_0_4_7_11_];;;
65.5;[0,_0_4_7_11_];;;
66;[7,_0_3_7_10_13_];[7,_0_3_7_10_13_];;
68;[7,_0_3_7_10_13_];;;
69;[7,_0_3_7_10_13_];;;
grouping;-------;-------;-------;-------
70;[3,_0_4_7_10_];[3,_0_4_7_10_];;
74;[3,_0_4_7_10_];[3,_0_4_7_10_];;
76;[3,_0_4_7_10_];;;
76.6667;[3,_0_4_7_10_14_];;;
77.3333;[3,_0_4_7_10_];;;
78;[0,_0_4_7_11_];[0,_0_4_7_11_];;
79;[0,_0_4_7_11_];;;
79.5;[0,_0_4_7_11_];;;
80;[0,_0_4_7_11_];;;
82;[0,_0_4_7_11_];[0,_0_4_7_11_];;
84;[0,_0_4_7_11_];;;
85.5;[0,_0_4_7_11_];;;
grouping;-------;-------;-------;-------
86;[3,_0_4_7_10_];[3,_0_4_7_10_];;
86.5;[0,_0_3_7_10_13_];;;
87.5;[3,_0_4_7_10_];;;
88;[0,_0_3_7_10_13_];;;
89;[3,_0_4_7_10_];;;
89.5;[0,_0_3_7_10_13_];;;
90;[0,_0_3_7_10_13_];[3,_0_4_7_10_];;
90.5;[3,_0_4_7_10_];;;
91.5;[3,_0_4_7_10_];;;
92;[3,_0_4_7_10_];;;
92.6667;[3,_0_4_7_10_14_];;;
93.3333;[3,_0_4_7_10_];;;
94;[0,_0_4_7_11_];[0,_0_4_7_11_];;
95;[0,_0_4_7_11_];;;
95.5;[0,_0_4_7_11_];;;
96;[0,_0_4_7_11_];;;
98;[0,_0_4_7_11_];[0,_0_4_7_11_];;
100;[0,_0_4_7_11_];;;
101.5;[0,_0_4_7_11_];;;
grouping;-------;-------;-------;-------
102;[9,_0_3_7_9_];[9,_0_3_7_9_];;
103;[9,_0_3_7_9_];;;
104;[9,_0_3_7_9_];;;
105;[9,_0_3_7_9_];;;
106;[5,_0_3_7_10_];[5,_0_3_7_10_];;
108;[5,_0_3_7_10_];;;
108.5;[5,_0_3_7_10_];;;
109.5;[5,_0_3_7_10_];;;
110;[4,_0_3_7_10_];[4,_0_3_7_10_];;
111;[4,_0_3_7_10_];;;
112;[4,_0_3_7_10_];;;
113;[4,_0_3_7_10_];;;
114;[2,_0_4_7_10_13_];[9,_0_3_6_9_];;
114.5;[6,_0_3_7_9_18_];;;
115;[9,_0_3_6_9_];;;
115.5;[11,_0_4_7_10_13_];;;
116;[11,_0_4_7_10_13_];;;
116.5;[3,_0_3_7_9_18_];;;
117;[9,_0_3_6_9_];;;
118;[2,_0_3_7_10_17_];[2,_0_3_7_10_17_];;
119;[2,_0_3_7_10_17_];;;
119.5;[2,_0_3_7_10_17_];;;
120;[2,_0_3_7_10_17_];;;
122;[7,_0_4_7_10_];[7,_0_4_7_10_];;
124;[7,_0_4_7_10_17_];;;
125;[7,_0_4_7_10_17_];;;
125.5;[7,_0_4_7_10_17_];;;
126;[0,_0_4_7_11_];[0,_0_4_7_11_];;
130;[2,_0_4_7_10_];[2,_0_4_7_10_];;
132;[7,_0_4_7_10_];[7,_0_4_7_10_];;
133;[7,_0_4_7_10_];;;
133.5;[7,_0_4_7_10_];;;
