time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;-------;-------;-------;-------
grouping;-------;-------;-------;-------
0;[3,_0_3_7_10_];[3,_0_3_7_10_];;
1.25;[3,_0_3_7_10_];;;
1.5;[3,_0_3_7_10_14_];;;
1.75;[3,_0_3_7_10_];;;
2;[3,_0_3_7_9_];[3,_0_3_7_9_];;
3.5;[3,_0_3_7_9_];;;
4;[8,_0_3_7_9_];[8,_0_3_7_9_];;
5.5;[8,_0_3_7_9_18_];;;
5.75;[8,_0_3_7_9_];;;
6;[10,_0_4_7_10_];[10,_0_4_7_10_];;
6.5;[10,_0_4_7_10_];;;
8;[3,_0_3_7_10_];[3,_0_3_7_10_];;
9;[3,_0_3_7_10_];;;
9.25;[3,_0_3_7_10_];;;
9.5;[3,_0_3_7_10_];;;
9.75;[3,_0_3_7_10_];;;
10;[8,_0_4_7_10_];[8,_0_4_7_10_];;
11.5;[8,_0_4_7_10_];;;
12;[11,_0_3_7_10_];[11,_0_3_7_10_];;
12.5;[11,_0_3_7_10_];;;
12.75;[11,_0_3_7_10_];;;
13;[4,_0_4_7_10_];[4,_0_4_7_10_];;
14;[10,_0_3_7_10_];[10,_0_3_7_10_];;
14.5;[10,_0_3_7_10_];;;
14.75;[10,_0_3_7_10_];;;
15;[10,_0_3_6_9_];[10,_0_3_6_9_];;
grouping;-------;-------;-------;-------
16;[8,_0_3_7_10_];[8,_0_3_7_10_];;
17;[8,_0_3_7_10_];;;
17.25;[8,_0_3_7_10_];;;
17.5;[8,_0_3_7_10_];;;
17.75;[8,_0_3_7_10_];;;
18;[1,_0_4_7_10_];[1,_0_4_7_10_];;
19.5;[1,_0_4_7_10_];;;
20;[3,_0_3_7_10_];[3,_0_3_7_10_];;
21;[3,_0_3_7_10_];;;
21.3333;[3,_0_3_7_10_11_];;;
21.6667;[3,_0_3_7_10_];;;
22;[8,_0_4_7_10_];[8,_0_4_7_10_];;
22.5;[8,_0_4_7_10_];;;
23.5;[8,_0_4_7_10_];;;
23.75;[5,_0_3_7_10_13_];;;
24;[11,_0_4_7_10_];[11,_0_4_7_10_];;
24.3333;[11,_0_4_7_10_];;;
24.6667;[11,_0_4_7_10_];;;
25;[11,_0_4_7_10_];;;
25.3333;[11,_0_4_7_10_18_];;;
25.6667;[11,_0_4_7_10_];;;
26;[11,_0_4_7_10_18_];;;
27.5;[11,_0_4_7_10_];;;
28;[10,_0_4_7_10_];[10,_0_4_7_10_];;
28.5;[10,_0_4_7_10_];;;
32;[11,_0_4_7_10_];[11,_0_4_7_10_];;
33;[11,_0_4_7_10_18_];;;
33.5;[11,_0_4_7_10_];;;
34;[10,_0_4_7_10_];[10,_0_4_7_10_];;
35;[10,_0_4_7_10_17_];;;
35.5;[10,_0_3_7_10_16_];;;
36;[3,_0_3_7_10_];[3,_0_3_7_10_];;
39;[3,_0_3_7_10_];;;
39.5;[3,_0_3_7_10_14_];;;
grouping;-------;-------;-------;-------
40;[3,_0_3_7_9_];[3,_0_3_7_9_];;
41;[3,_0_3_7_9_14_];;;
41.5;[3,_0_3_7_9_];;;
42;[5,_0_4_7_10_13_];[5,_0_4_7_10_13_];;
43.5;[5,_0_4_7_10_13_];;;
44;[10,_0_4_7_10_];[10,_0_4_7_10_];;
44.5;[10,_0_4_7_10_];;;
47;[10,_0_4_7_10_17_];;;
47.5;[10,_0_4_7_10_];;;
48;[3,_0_3_7_9_];[3,_0_3_7_9_];;
49;[3,_0_3_7_9_14_];;;
49.5;[3,_0_3_7_9_];;;
50;[5,_0_4_7_10_13_];[5,_0_4_7_10_13_];;
51.5;[5,_0_4_7_10_13_];;;
52;[10,_0_4_7_10_];[10,_0_4_7_10_];;
52.5;[10,_0_4_7_10_];;;
55;[10,_0_4_7_10_];;;
grouping;-------;-------;-------;-------
56;[8,_0_3_7_10_];[8,_0_3_7_10_];;
57;[1,_0_4_7_10_];[1,_0_4_7_10_];;
57.5;[1,_0_4_7_10_];;;
58;[6,_0_4_7_11_];[6,_0_4_7_11_];;
59.5;[6,_0_4_7_11_];;;
60;[8,_0_3_7_10_13_];[11,_0_4_7_10_];;
61;[11,_0_4_7_10_];;;
62;[10,_0_4_7_10_];[10,_0_4_7_10_];;
63.5;[10,_0_4_7_10_];;;
64;[3,_0_4_7_10_];[3,_0_4_7_10_];;
64.5;[3,_0_4_7_10_];;;
65;[3,_0_4_7_10_];;;
66;[1,_0_4_7_10_];[1,_0_4_7_10_];;
66.5;[1,_0_4_7_10_];;;
67;[1,_0_4_7_10_];;;
68;[11,_0_4_7_10_];[11,_0_4_7_10_];;
69;[11,_0_4_7_10_];;;
69.5;[11,_0_4_7_10_15_];;;
70;[10,_0_4_7_10_];[10,_0_4_7_10_];;
70.5;[10,_0_4_7_10_];;;
71;[10,_0_4_7_10_18_];;;
71.5;[10,_0_4_7_10_];;;
grouping;-------;-------;-------;-------
72;[3,_0_3_7_10_];[3,_0_3_7_10_];;
73;[3,_0_3_7_10_];;;
73.25;[3,_0_3_7_10_];;;
73.5;[3,_0_3_7_10_14_];;;
73.75;[3,_0_3_7_10_];;;
74;[3,_0_3_7_9_];[3,_0_3_7_9_];;
75.5;[3,_0_3_7_9_];;;
76;[8,_0_3_7_9_];[8,_0_3_7_9_];;
77.5;[8,_0_3_7_9_18_];;;
77.75;[8,_0_3_7_9_];;;
78;[10,_0_4_7_10_];[10,_0_4_7_10_];;
78.5;[10,_0_4_7_10_];;;
80;[3,_0_3_7_10_];[3,_0_3_7_10_];;
81;[3,_0_3_7_10_];;;
81.25;[3,_0_3_7_10_];;;
81.5;[3,_0_3_7_10_];;;
81.75;[3,_0_3_7_10_];;;
82;[8,_0_4_7_10_];[8,_0_4_7_10_];;
83.5;[8,_0_4_7_10_];;;
84;[11,_0_3_7_10_];[11,_0_3_7_10_];;
84.5;[11,_0_3_7_10_];;;
84.75;[11,_0_3_7_10_];;;
85;[4,_0_4_7_10_];[4,_0_4_7_10_];;
86;[10,_0_3_7_10_];[10,_0_3_7_10_];;
86.5;[10,_0_3_7_10_];;;
86.75;[10,_0_3_7_10_];;;
87;[10,_0_3_6_9_];[10,_0_3_6_9_];;
grouping;-------;-------;-------;-------
88;[8,_0_3_7_10_];[8,_0_3_7_10_];;
89;[8,_0_3_7_10_];;;
89.25;[8,_0_3_7_10_];;;
89.5;[8,_0_3_7_10_];;;
89.75;[8,_0_3_7_10_];;;
90;[1,_0_4_7_10_];[1,_0_4_7_10_];;
91.5;[1,_0_4_7_10_];;;
92;[3,_0_3_7_10_];[3,_0_3_7_10_];;
93;[3,_0_3_7_10_];;;
93.3333;[3,_0_3_7_10_11_];;;
93.6667;[3,_0_3_7_10_];;;
94;[8,_0_4_7_10_];[8,_0_4_7_10_];;
94.5;[8,_0_4_7_10_];;;
95.5;[8,_0_4_7_10_];;;
95.75;[5,_0_3_7_10_13_];;;
96;[11,_0_4_7_10_];[11,_0_4_7_10_];;
97;[11,_0_4_7_10_18_];;;
97.5;[11,_0_4_7_10_];;;
98;[10,_0_4_7_10_];[10,_0_4_7_10_];;
99;[10,_0_4_7_10_17_];;;
99.5;[10,_0_3_7_10_16_];;;
100;[3,_0_3_7_10_];[3,_0_3_7_10_];;
