time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;-------;-------;-------;-------
grouping;-------;-------;-------;-------
0;[0,_0_3_7_];[0,_0_3_7_];;
2;[0,_0_3_7_11_];;;
3;[0,_0_3_7_14_];;;
3.5;[0,_0_3_7_];;;
4;[0,_0_3_7_];[0,_0_3_7_];;
4.5;[0,_0_3_7_];;;
5;[0,_0_3_7_];;;
6;[0,_0_3_7_];;;
7.5;[0,_0_3_7_9_];;;
8;[7,_0_3_7_10_];[7,_0_3_7_10_];;
9;[7,_0_3_7_10_];;;
9.5;[7,_0_3_7_10_];;;
10;[7,_0_3_7_10_14_];;;
11;[7,_0_3_7_10_17_];;;
11.5;[7,_0_3_7_10_];;;
12;[0,_0_4_7_10_];[0,_0_4_7_10_];;
grouping;-------;-------;-------;-------
16;[5,_0_4_7_11_];[5,_0_4_7_11_];;
16.5;[5,_0_4_7_11_];;;
18;[5,_0_4_7_11_15_];;;
19;[5,_0_4_7_11_17_];;;
19.5;[5,_0_4_7_11_];;;
20;[5,_0_4_7_11_];[5,_0_4_7_11_];;
20.5;[5,_0_4_7_11_];;;
21;[5,_0_4_7_11_];;;
23;[5,_0_4_7_11_];;;
23.5;[5,_0_4_7_11_14_];;;
24;[5,_0_3_7_10_];[5,_0_3_7_10_];;
25;[5,_0_3_7_10_];;;
25.5;[5,_0_3_7_10_];;;
26;[5,_0_3_7_10_14_];;;
27;[5,_0_3_7_10_17_];;;
27.5;[5,_0_3_7_10_];;;
28;[10,_0_4_7_10_];[10,_0_4_7_10_];;
31.5;[7,_0_3_7_10_13_];;;
grouping;-------;-------;-------;-------
32;[3,_0_4_7_11_];[3,_0_4_7_11_];;
33;[3,_0_4_7_11_14_];;;
33.5;[3,_0_4_7_11_];;;
34;[3,_0_4_7_11_];[0,_0_3_7_10_14_];;
34.5;[0,_0_3_7_10_14_];;;
35.5;[3,_0_4_7_11_15_];;;
36;[3,_0_3_7_10_];[3,_0_3_7_10_];;
37;[3,_0_3_7_10_14_];;;
37.5;[3,_0_3_7_10_];;;
38;[8,_0_4_7_10_17_];[8,_0_4_7_10_];;
38.5;[8,_0_4_7_10_];;;
39.5;[5,_0_3_7_10_13_];;;
40;[1,_0_4_7_11_];[1,_0_4_7_11_];;
44;[5,_0_3_7_9_];[5,_0_3_7_9_];;
44.5;[5,_0_3_7_9_];;;
45;[5,_0_3_7_10_21_];;;
45.5;[5,_0_3_7_9_];;;
46;[7,_0_4_7_10_13_];[7,_0_4_7_10_13_];;
46.5;[7,_0_4_7_10_13_];;;
47;[7,_0_4_7_10_13_];[7,_0_4_7_10_13_];;
48;[0,_0_3_7_];[0,_0_3_7_];;
