time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;-------;-------;-------;-------
grouping;-------;-------;-------;-------
2;[1,_0_4_7_11_];[1,_0_4_7_11_];;
1;[10,_0_3_7_10_14_];;;
2;[1,_0_4_7_11_];;;
3;[1,_0_4_7_11_];;;
4;[1,_0_4_7_11_];;;
6;[1,_0_4_7_11_];[1,_0_4_7_11_];;
8;[10,_0_3_7_10_];[10,_0_3_7_10_];;
10;[3,_0_4_7_10_];[3,_0_4_7_10_];;
14;[3,_0_4_7_10_14_];[3,_0_4_7_10_14_];;
17;[3,_0_4_7_10_];;;
grouping;-------;-------;-------;-------
18;[3,_0_3_7_10_];[3,_0_3_7_10_17_];;
19;[3,_0_3_7_10_17_];;;
20;[3,_0_3_7_10_17_];;;
22;[8,_0_4_7_10_];[8,_0_4_7_10_];;
23;[8,_0_4_7_10_];;;
24;[8,_0_4_7_10_];;;
25;[5,_0_3_7_10_13_];;;
26;[1,_0_4_7_11_];[1,_0_4_7_11_];;
30;[1,_0_4_8_18_];[1,_0_4_8_18_];;
32;[8,_0_4_7_10_];[8,_0_4_7_10_];;
33;[8,_0_4_7_10_14_];;;
34;[1,_0_4_7_11_];[1,_0_4_7_11_];;
36;[1,_0_4_7_10_];[1,_0_4_7_10_];;
37.5;[10,_0_3_7_10_13_];;;
tonality;-------;-------;-------;-------
grouping;-------;-------;-------;-------
38;[6,_0_4_7_11_];[6,_0_4_7_11_];;
38.5;[6,_0_4_7_11_];;;
39;[6,_0_4_7_11_];;;
40;[6,_0_4_7_11_];;;
41.5;[6,_0_4_7_11_];;;
42;[10,_0_3_6_9_];[10,_0_3_6_9_];;
42.5;[10,_0_3_6_9_];;;
43;[10,_0_3_6_9_];;;
44;[10,_0_3_6_9_];;;
45.5;[10,_0_3_6_9_];;;
46;[10,_0_3_7_10_];[10,_0_3_7_10_];;
46.6667;[10,_0_3_7_10_];;;
47.3333;[10,_0_3_7_10_];;;
48;[10,_0_3_7_10_];;;
49;[10,_0_3_7_10_];;;
50;[8,_0_3_7_10_];[8,_0_3_7_10_];;
52;[1,_0_4_7_10_14_];[1,_0_4_7_10_14_];;
53.5;[10,_0_3_7_10_13_];;;
grouping;-------;-------;-------;-------
54;[6,_0_4_7_11_];[6,_0_4_7_11_];;
54.5;[6,_0_4_7_11_];;;
55;[6,_0_4_7_11_];;;
56;[6,_0_4_7_11_];;;
57.5;[6,_0_4_7_11_];;;
58;[10,_0_3_6_9_];[10,_0_3_6_9_];;
58.5;[10,_0_3_6_9_];;;
59;[10,_0_3_6_9_];;;
60;[10,_0_3_6_9_];;;
61.5;[10,_0_3_6_9_];;;
62;[10,_0_3_7_10_];[10,_0_3_7_10_];;
62.6667;[10,_0_3_7_10_];;;
63.3333;[10,_0_3_7_10_];;;
64;[10,_0_3_7_10_13_];[10,_0_3_7_10_13_];;
65;[10,_0_3_7_10_13_];;;
tonality;-------;-------;-------;-------
66;[3,_0_3_7_10_];[3,_0_3_7_10_];;
68;[0,_0_4_8_18_];[0,_0_4_8_18_];;
69;[0,_0_4_8_10_18_];;;
grouping;-------;-------;-------;-------
70;[1,_0_4_7_11_];[1,_0_4_7_11_];;
71;[1,_0_4_7_11_];;;
72;[3,_0_3_7_10_21_];[3,_0_3_7_10_21_];;
73;[0,_0_4_7_10_13_];[0,_0_4_7_10_13_];;
74;[1,_0_4_7_11_];[1,_0_4_7_11_];;
76;[1,_0_4_6_10_];[1,_0_4_6_10_];;
78;[6,_0_4_7_11_];[6,_0_4_7_11_];;
82;[3,_0_4_7_10_14_];[3,_0_4_7_10_14_];;
85;[10,_0_4_7_10_];[10,_0_4_7_10_];;
grouping;-------;-------;-------;-------
86;[3,_0_3_7_10_];[3,_0_3_7_10_17_];;
87;[3,_0_3_7_10_17_];;;
88;[3,_0_3_7_10_17_];;;
90;[8,_0_4_7_10_];[8,_0_4_7_10_];;
91;[8,_0_4_7_10_];;;
92;[8,_0_4_7_10_];;;
93;[8,_0_4_7_10_];;;
94;[1,_0_4_7_11_];[1,_0_4_7_11_];;
98;[3,_0_3_7_10_];[3,_0_3_7_10_];;
100;[8,_0_4_7_10_];[8,_0_4_7_10_];;
