time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;-------;-------;-------;-------
1;[5,_0_3_7_10_13_];[5,_0_3_7_10_13_];;
grouping;-------;-------;-------;-------
2;[10,_0_3_7_10_];[10,_0_3_7_10_];;
4;[10,_0_3_7_10_];;;
4.5;[10,_0_3_7_10_];;;
5;[10,_0_3_7_10_14_];;;
5.5;[10,_0_3_7_10_17_];;;
6;[6,_0_4_7_10_];[6,_0_4_7_10_];;
7;[5,_0_4_7_10_];[5,_0_4_7_10_];;
8;[4,_0_4_7_10_];[4,_0_4_7_10_];;
9;[3,_0_4_7_10_];[3,_0_4_7_10_];;
9.5;[0,_0_3_7_10_13_];;;
10;[7,_0_4_7_10_13_];[7,_0_4_7_10_13_];;
12;[8,_0_4_7_11_];[8,_0_4_7_11_];;
12.5;[5,_0_3_7_10_14_];;;
13;[8,_0_4_7_11_];;;
13.5;[8,_0_4_7_11_];;;
14;[8,_0_4_7_10_];[8,_0_4_7_10_];;
15;[7,_0_4_7_10_];[7,_0_4_7_10_];;
16;[6,_0_4_7_10_];[6,_0_4_7_10_];;
17;[5,_0_4_7_10_];[5,_0_4_7_10_];;
17.5;[5,_0_4_7_10_];;;
18;[10,_0_4_7_10_];[10,_0_4_7_10_];;
20;[10,_0_4_7_10_];;;
20.5;[7,_0_3_7_10_13_];;;
21;[10,_0_4_7_10_];;;
21.5;[10,_0_4_7_10_14_];;;
22;[10,_0_3_7_10_17_];[10,_0_3_7_10_14_];;
22.3333;[10,_0_3_7_10_14_];;;
22.6667;[10,_0_3_7_10_17_];;;
23;[10,_0_3_7_10_14_];;;
24;[0,_0_3_7_10_13_];[3,_0_4_7_10_];;
25;[3,_0_4_7_10_];;;
grouping;-------;-------;-------;-------
26;[8,_0_4_7_11_];[8,_0_4_7_11_];;
29;[8,_0_4_7_11_];;;
30;[8,_0_4_7_10_];[8,_0_4_7_10_];;
33;[5,_0_4_7_10_13_];[5,_0_4_7_10_13_];;
34;[8,_0_4_7_11_];[8,_0_4_7_11_];;
34.5;[5,_0_3_7_10_14_];;;
35;[8,_0_4_7_11_];;;
tonality;-------;-------;-------;-------
38;[0,_0_3_7_9_];[0,_0_3_7_9_];;
40;[2,_0_4_7_10_13_];[2,_0_4_7_10_13_];;
grouping;-------;-------;-------;-------
42;[7,_0_4_7_11_];[7,_0_4_7_11_];;
42.5;[7,_0_4_7_11_];;;
43.5;[7,_0_4_7_11_];;;
44;[4,_0_3_7_10_];[4,_0_3_7_10_];;
45;[4,_0_3_7_10_];;;
45.5;[4,_0_3_7_10_];;;
46;[9,_0_3_7_10_];[9,_0_3_7_10_];;
46.5;[9,_0_3_7_10_];;;
47;[9,_0_3_7_10_14_];;;
48;[2,_0_4_7_10_];[2,_0_4_7_10_];;
48.5;[2,_0_4_7_10_14_];;;
49.5;[2,_0_4_7_8_10_];;;
50;[7,_0_4_7_10_];[7,_0_4_7_10_];;
50.5;[7,_0_4_7_10_];;;
51;[7,_0_4_7_10_];;;
52;[11,_0_3_6_9_];[11,_0_3_6_9_];;
54;[9,_0_3_7_10_];[9,_0_3_7_10_];;
54.5;[9,_0_3_7_10_];;;
55;[9,_0_3_7_10_18_];;;
56;[2,_0_4_7_10_13_];[2,_0_4_7_10_13_];;
grouping;-------;-------;-------;-------
58;[7,_0_4_7_11_];[7,_0_4_7_11_];;
58.5;[7,_0_4_7_11_];;;
59.5;[7,_0_4_7_11_];;;
60;[4,_0_3_7_10_];[4,_0_3_7_10_];;
61;[4,_0_3_7_10_];;;
61.5;[4,_0_3_7_10_];;;
62;[9,_0_3_7_10_];[9,_0_3_7_10_];;
62.5;[9,_0_3_7_10_];;;
63;[9,_0_3_7_10_14_];;;
64;[2,_0_4_7_10_];[2,_0_4_7_10_];;
64.5;[2,_0_4_7_10_14_];;;
65.5;[2,_0_4_7_8_10_];;;
66;[7,_0_4_7_10_];[7,_0_4_7_10_];;
67;[7,_0_4_7_10_];;;
67.5;[7,_0_4_7_10_13_];;;
68;[0,_0_3_7_10_];[0,_0_3_7_10_];;
68.5;[0,_0_3_7_10_];;;
69;[0,_0_3_7_10_];;;
tonality;-------;-------;-------;-------
70;[3,_0_4_7_10_14_];[3,_0_4_7_10_14_];;
70.5;[3,_0_4_7_10_];;;
71;[3,_0_4_7_10_];;;
71.5;[3,_0_4_7_10_];;;
72;[3,_0_3_7_9_];[3,_0_3_7_9_];;
72.5;[3,_0_3_7_9_];;;
73;[5,_0_4_7_10_13_];[5,_0_4_7_10_13_];;
74;[8,_0_4_7_11_];[8,_0_4_7_11_];;
