time;surface;reduction;melodyPC;melodyMIDI
;;;;
2;;[4,_0_];;
3;;[7,_0_];;
tonality;-------;-------;-------;-------
grouping;-------;-------;-------;-------
4;[6,_0_3_7_10_17_];[6,_0_3_7_10_];;
2;[6,_0_3_7_10_];;;
2.5;[6,_0_3_7_10_];;;
3;[6,_0_3_7_10_13_];;;
3.5;[6,_0_3_7_10_17_];;;
4;[6,_0_3_7_10_];;;
7;[6,_0_3_7_10_];;;
8;[11,_0_4_7_10_14_];[11,_0_4_7_10_14_];;
10;[11,_0_4_7_10_13_];[11,_0_4_7_10_13_];;
11;[11,_0_4_7_10_13_];;;
12;[4,_0_3_7_10_];[4,_0_3_7_10_];;
16;[9,_0_4_7_10_14_];[9,_0_4_7_10_14_];;
17.5;[9,_0_4_7_10_14_];;;
18;[9,_0_4_7_10_];[9,_0_4_7_10_];;
18.5;[6,_0_3_7_10_13_];;;
19;[9,_0_4_7_10_];[9,_0_4_7_10_];;
19.5;[9,_0_4_7_10_14_];;;
tonality;-------;-------;-------;-------
grouping;-------;-------;-------;-------
20;[9,_0_3_7_10_];[9,_0_3_7_10_];;
23;[9,_0_3_7_10_];;;
24;[2,_0_4_7_10_];[2,_0_4_7_10_];;
27;[2,_0_4_7_10_];;;
28;[7,_0_4_7_11_];[7,_0_4_7_11_];;
32;[0,_0_4_7_11_];[0,_0_4_7_11_];;
34;[0,_0_4_7_11_];;;
34.5;[0,_0_4_7_11_];;;
35;[9,_0_3_7_10_14_];;;
35.5;[0,_0_4_7_11_];;;
grouping;-------;-------;-------;-------
36;[6,_0_3_6_9_];[6,_0_3_6_9_];;
39;[6,_0_3_6_9_];;;
40;[11,_0_4_7_10_];[11,_0_4_7_10_];;
43;[11,_0_4_7_10_];;;
44;[4,_0_3_7_10_];[4,_0_3_7_10_];;
48;[4,_0_3_7_10_];[4,_0_3_7_10_];;
50;[4,_0_3_7_10_];[4,_0_3_7_10_];;
50.5;[4,_0_3_7_10_17_];;;
51;[4,_0_3_7_10_];;;
51.5;[4,_0_3_7_10_14_];;;
grouping;-------;-------;-------;-------
52;[4,_0_3_6_9_];[4,_0_3_6_9_];;
55;[4,_0_3_7_9_18_];;;
56;[6,_0_4_7_10_];[6,_0_4_7_10_];;
59;[6,_0_4_7_10_13_];;;
60;[6,_0_3_7_10_];[6,_0_3_7_10_];;
64;[11,_0_4_7_10_];[11,_0_4_7_10_];;
65.5;[11,_0_4_7_10_];;;
66;[11,_0_4_7_10_17_];[11,_0_4_7_10_17_];;
66.5;[11,_0_4_7_10_];;;
67;[3,_0_4_8_15_18_];[3,_0_4_8_15_18_];;
67.5;[11,_0_4_7_10_];;;
tonality;-------;-------;-------;-------
grouping;-------;-------;-------;-------
68;[6,_0_3_7_10_];[6,_0_3_7_10_];;
71;[6,_0_3_7_10_];;;
72;[11,_0_4_7_10_14_];[11,_0_4_7_10_14_];;
74;[11,_0_4_7_10_13_];[11,_0_4_7_10_13_];;
75;[11,_0_4_7_10_13_];;;
76;[4,_0_3_7_10_];[4,_0_3_7_10_];;
80;[9,_0_4_7_10_14_];[9,_0_4_7_10_14_];;
81.5;[9,_0_4_7_10_14_];;;
82;[9,_0_4_7_10_];[9,_0_4_7_10_];;
82.5;[6,_0_3_7_10_13_];;;
83;[9,_0_4_7_10_];[9,_0_4_7_10_];;
83.5;[9,_0_4_7_10_14_];;;
tonality;-------;-------;-------;-------
grouping;-------;-------;-------;-------
84;[9,_0_3_7_10_];[9,_0_3_7_10_];;
87;[9,_0_3_7_10_];;;
88;[2,_0_4_7_10_];[2,_0_4_7_10_];;
91;[2,_0_4_7_10_];;;
92;[2,_0_3_7_9_];[2,_0_3_7_9_];;
96;[4,_0_4_7_10_];[4,_0_4_7_10_];;
98;[4,_0_4_7_10_];;;
98.5;[4,_0_4_7_10_];;;
99;[0,_0_4_8_11_14_];;;
99.5;[4,_0_4_7_10_];;;
grouping;-------;-------;-------;-------
100;[9,_0_3_7_10_];[9,_0_3_7_10_];;
101.5;[9,_0_3_7_10_];;;
102;[9,_0_3_7_10_];;;
104;[0,_0_3_7_10_];[0,_0_3_7_10_];;
106;[2,_0_3_7_10_13_];[5,_0_4_7_10_];;
106.5;[5,_0_4_7_10_];;;
107;[5,_0_4_7_10_18_];;;
107.5;[5,_0_4_7_10_];;;
108;[11,_0_3_7_10_];[11,_0_3_7_10_];;
109.5;[11,_0_3_7_10_];;;
110;[11,_0_3_7_10_];;;
112;[4,_0_4_7_10_13_];[4,_0_4_7_10_13_];;
114;[5,_0_3_7_11_18_21_];;;
114.5;[4,_0_4_7_10_13_];;;
115;[2,_0_3_7_6_9_14_];;;
115.5;[4,_0_4_7_10_13_];;;
grouping;-------;-------;-------;-------
116;[9,_0_4_7_10_];[9,_0_4_7_10_];;
117.5;[9,_0_3_7_10_16_];;;
118;[3,_0_4_7_10_18_];[3,_0_4_7_10_18_];;
120;[9,_0_3_7_10_];[9,_0_3_7_10_];;
121.5;[9,_0_3_7_10_];;;
122;[11,_0_3_7_10_4_13_];[2,_0_4_7_10_13_];;
122.5;[2,_0_4_7_10_13_];;;
123;[2,_0_4_7_5_10_13_];;;
123.5;[2,_0_4_7_10_13_];;;
124;[4,_0_3_7_10_];[4,_0_3_7_10_];;
128;[11,_0_4_7_10_];[11,_0_4_7_10_];;
129.5;[11,_0_4_7_10_];;;
130;[11,_0_4_7_10_17_];[11,_0_4_7_10_17_];;
130.5;[11,_0_4_7_10_];;;
131;[3,_0_4_8_15_18_];[3,_0_4_8_15_18_];;
131.5;[11,_0_4_7_10_];;;
132;[4,_0_3_7_10_];[4,_0_3_7_10_];;
