time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;-------;-------;-------;-------
grouping;-------;-------;-------;-------
0;[5,_0_4_7_11_];[5,_0_4_7_11_];;
3;[2,_0_3_7_10_];[2,_0_3_7_10_];;
6;[7,_0_3_7_10_];[7,_0_3_7_10_];;
9;[4,_0_4_7_10_];[4,_0_4_7_10_];;
12;[9,_0_4_7_10_];[9,_0_4_7_10_];;
15;[2,_0_4_7_10_];[2,_0_4_7_10_];;
grouping;-------;-------;-------;-------
18;[7,_0_4_7_10_];[7,_0_4_7_10_];;
19;[7,_0_4_7_10_];;;
20;[7,_0_4_7_10_];;;
21;[0,_0_4_7_10_];[0,_0_4_7_10_];;
22;[0,_0_4_7_10_17_];;;
23;[0,_0_4_7_10_];;;
24;[5,_0_4_7_10_];[5,_0_4_7_10_];;
26;[5,_0_4_7_10_14_];;;
27;[10,_0_4_7_11_];[10,_0_4_7_11_];;
28;[7,_0_3_7_10_14_];;;
29;[10,_0_4_7_11_];;;
grouping;-------;-------;-------;-------
30;[7,_0_3_7_10_];[7,_0_3_7_10_];;
32;[7,_0_3_7_10_14_];;;
33;[0,_0_4_7_10_];[0,_0_4_7_10_];;
34;[9,_0_3_7_10_13_];;;
35;[0,_0_4_7_10_];[0,_0_4_7_10_];;
36;[9,_0_3_7_10_];[9,_0_3_7_10_];;
39;[2,_0_4_7_10_];[2,_0_4_7_10_];;
42;[7,_0_3_7_10_17_];[7,_0_3_7_10_17_];;
45;[0,_0_4_7_10_];[0,_0_4_7_10_];;
tonality;-------;-------;-------;-------
grouping;-------;-------;-------;-------
48;[11,_0_3_7_10_];[11,_0_3_7_10_];;
50;[11,_0_3_7_10_];;;
51;[4,_0_4_7_10_];[4,_0_4_7_10_];;
52;[4,_0_4_7_10_17_];;;
53;[4,_0_4_7_10_];;;
54;[9,_0_4_7_11_];[9,_0_4_7_11_];;
57;[9,_0_4_7_11_];[9,_0_4_7_11_];;
60;[9,_0_4_7_11_];[9,_0_4_7_11_];;
63;[9,_0_4_7_11_];[9,_0_4_7_11_];;
64;[9,_0_4_7_11_];;;
tonality;-------;-------;-------;-------
grouping;-------;-------;-------;-------
66;[7,_0_3_7_10_];[7,_0_3_7_10_];;
69;[0,_0_4_7_10_14_];[0,_0_4_7_10_14_];;
71;[0,_0_4_7_10_];;;
72;[9,_0_3_7_10_17_];[9,_0_3_7_10_17_];;
75;[2,_0_4_7_10_];[2,_0_4_7_10_];;
77;[2,_0_4_7_10_];;;
78;[7,_0_3_7_10_];[7,_0_3_7_10_];;
79;[7,_0_3_7_10_17_];;;
80;[7,_0_3_7_10_];;;
81;[9,_0_4_7_10_];[9,_0_4_7_10_];;
82;[9,_0_4_7_11_22_];;;
83;[9,_0_4_7_10_];;;
84;[2,_0_3_7_10_];[2,_0_3_7_10_];;
86;[2,_0_3_7_10_];;;
87;[2,_0_3_7_10_13_];[2,_0_3_7_10_13_];;
88;[5,_0_4_7_10_];;;
89;[5,_0_4_7_10_17_];;;
grouping;-------;-------;-------;-------
90;[10,_0_4_7_11_];[10,_0_4_7_11_];;
93;[9,_0_4_7_10_];[9,_0_4_7_10_];;
94;[9,_0_4_7_10_];;;
95;[9,_0_4_7_10_];;;
96;[2,_0_3_7_10_];[2,_0_3_7_10_];;
97;[2,_0_3_7_10_];;;
98;[2,_0_3_7_10_];;;
99;[4,_0_4_7_10_];[4,_0_4_7_10_];;
100;[4,_0_4_7_10_13_];;;
101;[4,_0_4_7_10_];;;
102;[9,_0_3_7_10_];[9,_0_3_7_10_];;
105;[8,_0_4_7_10_];[8,_0_4_7_10_];;
108;[7,_0_3_7_10_17_];[7,_0_3_7_10_17_];;
111;[6,_0_4_7_10_18_];[6,_0_4_7_10_18_];;
tonality;-------;-------;-------;-------
grouping;-------;-------;-------;-------
114;[7,_0_3_7_10_];[7,_0_3_7_10_];;
115;[7,_0_3_7_10_14_];;;
116;[7,_0_3_7_10_];;;
117;[3,_0_4_7_10_18_];[3,_0_4_7_10_18_];;
118;[3,_0_4_7_10_];;;
119;[0,_0_3_7_10_13_];;;
tonality;-------;-------;-------;-------
120;[9,_0_3_7_10_17_];[9,_0_3_7_10_17_];;
123;[2,_0_4_7_10_];[2,_0_4_7_10_];;
126;[11,_0_3_7_10_];[11,_0_3_7_10_17_];;
127;[11,_0_3_7_10_17_];;;
128;[11,_0_3_7_10_];;;
grouping;-------;-------;-------;-------
129;[4,_0_4_7_10_];[4,_0_4_7_10_];;
130;[4,_0_4_7_10_];;;
131;[4,_0_4_7_10_];;;
132;[9,_0_3_7_10_];[9,_0_3_7_10_];;
135;[9,_0_3_7_10_];[9,_0_3_7_10_];;
tonality;-------;-------;-------;-------
138;[10,_0_4_7_11_];[10,_0_4_7_11_14_];;
139;[10,_0_4_7_11_14_];;;
140;[10,_0_4_7_11_];;;
grouping;-------;-------;-------;-------
141;[0,_0_3_7_10_13_];[0,_0_3_7_10_13_];;
142;[3,_0_4_7_10_];;;
143;[0,_0_3_7_10_13_];;;
144;[9,_0_3_7_10_];[9,_0_3_7_10_];;
147;[2,_0_3_6_9_];[7,_0_4_7_10_13_];;
148;[7,_0_4_7_10_13_];;;
149;[2,_0_3_6_9_];;;
150;[9,_0_3_7_10_];[9,_0_3_7_10_];;
151;[5,_0_4_7_11_14_];;;
152;[9,_0_3_7_10_];;;
153;[2,_0_3_6_9_];[2,_0_3_6_9_];;
154;[7,_0_4_7_10_13_];;;
155;[2,_0_3_6_9_];;;
156;[7,_0_3_7_10_];[7,_0_3_7_10_];;
159;[0,_0_4_7_10_];[0,_0_4_7_10_];;
162;[2,_0_3_7_10_];[2,_0_3_7_10_];;
165;[2,_0_3_7_10_];[2,_0_3_7_10_];;
168;[2,_0_3_7_10_];[2,_0_3_7_10_];;
171;[2,_0_3_7_10_];[2,_0_3_7_10_];;
