time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;-------;-------;-------;-------
grouping;-------;-------;-------;-------
0;[3,_0_4_7_11_];[3,_0_4_7_11_];;
1;[3,_0_4_7_11_];[3,_0_4_7_11_];;
2;[0,_0_4_8_10_];[0,_0_4_8_10_];;
3;[0,_0_4_7_8_10_];[0,_0_4_7_8_10_];;
4;[5,_0_3_7_10_];[5,_0_3_7_10_];;
6;[10,_0_4_7_10_17_];[10,_0_4_7_10_17_];;
8;[3,_0_4_7_11_];[3,_0_4_7_11_];;
9;[8,_0_4_7_10_];[8,_0_4_7_10_];;
10;[1,_0_4_7_10_];[1,_0_4_7_10_];;
11;[0,_0_4_7_10_];[0,_0_4_7_10_];;
12;[1,_0_4_8_14_];[1,_0_4_8_14_];;
13;[1,_0_4_8_6_14_];;;
14;[10,_0_4_7_10_];[10,_0_4_7_10_];;
grouping;-------;-------;-------;-------
16;[3,_0_4_7_11_];[3,_0_4_7_11_];;
17;[3,_0_4_7_11_];[3,_0_4_7_11_];;
18;[8,_0_4_7_10_];[8,_0_4_7_10_];;
19;[8,_0_4_7_10_14_];;;
20;[1,_0_4_7_10_];[1,_0_4_7_10_];;
22;[0,_0_4_7_10_];[0,_0_4_7_10_];;
24;[5,_0_4_7_10_];[5,_0_4_7_10_];;
26;[11,_0_4_7_10_14_18_];[11,_0_4_7_10_14_18_];;
28;[10,_0_4_7_10_];[10,_0_4_7_10_];;
31;[7,_0_3_7_10_13_];;;
31.5;[10,_0_4_7_10_];;;
grouping;-------;-------;-------;-------
32;[3,_0_4_7_11_];[3,_0_4_7_11_];;
33.5;[3,_0_4_7_11_];;;
34;[9,_0_4_7_10_18_];[9,_0_4_7_10_18_];;
35;[9,_0_4_7_10_18_];;;
36;[8,_0_4_7_11_];[8,_0_4_7_11_];;
37;[5,_0_3_7_10_14_];;;
38;[2,_0_3_6_9_];[2,_0_3_6_9_];;
39;[7,_0_4_7_10_13_];;;
39.5;[2,_0_3_6_9_];;;
40;[7,_0_3_7_10_];[7,_0_3_7_10_];;
40.6667;[7,_0_3_7_10_];;;
41.3333;[7,_0_3_7_10_13_];;;
42;[8,_0_4_7_11_14_];[8,_0_4_7_11_14_];;
42.6667;[8,_0_4_7_11_];;;
43.3333;[8,_0_4_7_11_];;;
44;[10,_0_3_7_9_];[10,_0_3_7_9_];;
46;[0,_0_4_7_10_];[0,_0_4_7_10_];;
47;[0,_0_4_7_8_10_];;;
47.5;[0,_0_4_7_10_];;;
grouping;-------;-------;-------;-------
48;[5,_0_3_7_10_];[5,_0_3_7_10_];;
49.5;[5,_0_3_7_10_];;;
50;[2,_0_3_7_10_16_];[2,_0_3_7_10_16_];;
51;[2,_0_3_7_10_16_];;;
52;[2,_0_3_6_9_];[2,_0_3_6_9_];;
53;[7,_0_4_7_10_13_];;;
54;[0,_0_4_7_10_];[0,_0_4_7_10_];;
55;[0,_0_4_7_8_10_];;;
55.5;[0,_0_4_7_10_];;;
56;[5,_0_3_7_10_];[5,_0_3_7_10_];;
56.6667;[5,_0_3_7_10_];;;
57.3333;[5,_0_3_7_10_17_];;;
58;[0,_0_4_8_10_];[0,_0_4_8_10_];;
58.6667;[0,_0_4_8_10_];;;
59.3333;[0,_0_4_8_10_];;;
60;[5,_0_3_7_10_17_];[5,_0_3_7_10_17_];;
62;[10,_0_4_7_10_];[10,_0_4_7_10_];;
grouping;-------;-------;-------;-------
64;[3,_0_4_7_11_];[3,_0_4_7_11_];;
65.5;[3,_0_4_7_11_];;;
66;[9,_0_4_7_10_18_];[9,_0_4_7_10_18_];;
67;[9,_0_4_7_10_18_];;;
68;[8,_0_4_7_11_18_];[8,_0_4_7_11_];;
69;[8,_0_4_7_11_];;;
70;[2,_0_4_7_10_14_];[2,_0_4_7_10_14_];;
71;[2,_0_4_7_10_14_];;;
72;[7,_0_3_7_10_17_];[7,_0_3_7_10_];;
73;[7,_0_3_7_10_];;;
74;[0,_0_4_7_10_];[0,_0_3_7_10_16_];;
75;[0,_0_3_7_10_16_];;;
76;[5,_0_3_7_10_];[5,_0_3_7_10_];;
78;[1,_0_4_7_10_];[1,_0_4_7_10_];;
79;[1,_0_4_7_10_];;;
grouping;-------;-------;-------;-------
80;[3,_0_4_7_11_];[3,_0_4_7_11_];;
81;[8,_0_4_7_10_];[8,_0_4_7_10_];;
82;[1,_0_4_7_10_];[1,_0_4_7_10_];;
83;[0,_0_4_7_10_];[0,_0_4_7_10_];;
84;[11,_0_4_7_10_];[11,_0_4_7_10_];;
86;[10,_0_4_7_10_];[10,_0_4_7_10_];;
88;[0,_0_3_7_10_];[0,_0_3_7_10_];;
92;[5,_0_3_7_10_];[5,_0_3_7_10_];;
94;[10,_0_4_7_10_];[10,_0_4_7_10_];;
