time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;-------;-------;-------;-------
grouping;-------;-------;-------;-------
0;[8,_0_4_14_];[8,_0_4_14_];;
0.5;[0,_0_4_8_10_18_];[0,_0_4_8_10_18_];;
1;[7,_0_3_7_9_];[7,_0_3_7_9_];;
1.5;[0,_0_4_7_18_];[0,_0_4_6_];;
1.625;[0,_0_4_5_6_14_];;;
1.75;[0,_0_4_6_];;;
1.875;[2,_0_4_8_10_14_];;;
2;[8,_0_4_14_];[8,_0_4_14_];;
2.5;[8,_0_4_6_14_];[8,_0_4_6_14_];;
2.875;[8,_0_4_6_14_];;;
3;[0,_0_4_6_10_];[0,_0_4_6_10_];;
3.5;[2,_0_4_8_18_];[2,_0_4_8_18_];;
grouping;-------;-------;-------;-------
4;[8,_0_4_14_];[8,_0_4_14_];;
4.5;[0,_0_4_8_10_18_];[0,_0_4_8_10_18_];;
5;[7,_0_3_7_9_];[7,_0_3_7_9_];;
5.5;[0,_0_4_7_18_];[0,_0_4_6_];;
5.625;[0,_0_4_5_6_14_];;;
5.75;[0,_0_4_6_];;;
5.875;[2,_0_4_8_10_14_];;;
6;[8,_0_4_14_];[8,_0_4_14_];;
6.5;[8,_0_4_6_14_];[8,_0_4_6_14_];;
7;[0,_0_4_8_18_];[0,_0_4_6_10_];;
7.25;[0,_0_4_6_10_];;;
7.5;;[4,_0_4_];;
7.75;[4,_0_4_];;;
8;[0,_0_4_6_];[0,_0_4_6_];;
8.25;[0,_0_4_8_18_];;;
8.3333;[0,_0_4_6_10_];;;
8.4167;[0,_0_4_6_];;;
8.5;[0,_0_4_6_14_];;;
8.5833;[0,_0_4_6_];;;
8.6667;[0,_0_4_6_];;;
8.7333;[0,_0_4_8_18_];;;
8.8;[0,_0_4_6_10_];;;
8.8667;[0,_0_4_6_];;;
8.9333;[0,_0_4_6_14_];;;
9;[0,_0_4_6_];;;
9.25;[0,_0_4_8_18_];;;
9.3333;[0,_0_4_6_10_];;;
9.4167;[0,_0_4_6_];;;
9.5;[0,_0_4_6_14_];;;
9.5833;[0,_0_4_6_];;;
9.6667;[0,_0_4_6_];;;
9.7333;[0,_0_4_8_18_];;;
9.8;[0,_0_4_6_10_];;;
9.8667;[0,_0_4_6_];;;
9.875;[2,_0_4_10_15_];;;
9.9167;[2,_0_4_10_15_];;;
9.9333;[2,_0_4_15_];;;
9.9583;[0,_0_4_6_14_];;;
10;[0,_0_4_6_];[0,_0_4_6_];;
10.25;[0,_0_4_8_18_];;;
10.3333;[0,_0_4_6_10_];;;
10.4167;[0,_0_4_6_];;;
10.5;[0,_0_4_6_14_];;;
10.5833;[0,_0_4_6_];;;
10.6667;[0,_0_4_6_];;;
10.7333;[0,_0_4_8_18_];;;
10.8;[0,_0_4_6_10_];;;
10.8667;[0,_0_4_6_];;;
10.9333;[0,_0_4_6_14_];;;
11;[0,_0_4_];;;
12;[0,_0_4_];[0,_0_4_];;
