time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;-------;-------;-------;-------
grouping;-------;-------;-------;-------
0;;[0,_0_4_8_10_18_];;
0.33333;[4,_0_4_6_14_];;;
0.66667;[8,_0_10_];;;
1;[4,_0_4_6_14_];;;
1.3333;[6,_0_];;;
1.6667;[6,_0_4_10_];;;
2;[2,_0_4_];[2,_0_4_8_10_14_];;
2.3333;[2,_0_4_8_14_];;;
2.6667;[6,_0_10_];;;
3;[6,_0_4_10_];;;
3.3333;[6,_0_];;;
3.6667;[6,_0_4_10_];;;
4;[6,_0_];[6,_0_4_10_];;
4.3333;[6,_0_4_];;;
4.6667;[6,_0_4_];;;
5;[6,_0_4_];;;
5.3333;[6,_0_4_];;;
5.6667;[6,_0_4_];;;
6;[6,_0_4_];;;
6.3333;[6,_0_4_];;;
6.6667;[6,_0_4_];;;
7;[6,_0_4_];;;
7.3333;[6,_0_4_];;;
7.6667;[6,_0_4_];;;
8;[10,_0_4_];[2,_0_4_8_14_];;
8.3333;[2,_0_4_8_];;;
grouping;-------;-------;-------;-------
8.6667;[10,_0_4_];;;
9;[2,_0_4_8_];;;
9.3333;[10,_0_4_];;;
9.6667;[2,_0_4_8_];;;
10;[10,_0_];;;
10.3333;[6,_0_4_];;;
10.6667;[10,_0_];;;
11;[6,_0_4_];;;
11.3333;[10,_0_];;;
11.6667;[6,_0_4_];;;
tonality;-------;-------;-------;-------
12;[11,_0_];[7,_0_4_10_];;
12.5;[7,_0_4_];;;
13;[11,_0_];;;
13.5;[1,_0_10_];;;
14;[7,_0_];[1,_0_4_6_];;
14.5;[1,_0_6_];;;
15;[7,_0_];;;
15.5;[7,_0_4_];;;
16;[1,_0_];[1,_0_4_8_];;
16.5;[9,_0_4_];;;
17;[1,_0_];;;
17.5;[1,_0_4_];;;
18;[9,_0_];[1,_0_4_8_];;
18.5;[5,_0_4_];;;
19;[11,_0_10_];;;
19.5;[6,_0_7_];;;
