time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;-------;-------;-------;-------
grouping;-------;-------;-------;-------
0;[11,_0_4_6_10_];[11,_0_4_6_10_];;
0.16667;[5,_0_4_10_];;;
0.33333;[2,_0_];;;
0.5;[9,_0_4_6_14_];[3,_0_4_8_10_18_];;
0.66667;[3,_0_4_8_18_];;;
0.83333;[1,_0_];;;
tonality;-------;-------;-------;-------
1;[8,_0_4_6_10_];[5,_0_3_7_9_13_];;
1.1667;[8,_0_4_10_];;;
1.3333;[5,_0_];;;
1.5;[2,_0_4_10_14_];[2,_0_4_8_10_14_];;
1.6667;[2,_0_4_8_10_];;;
1.8333;[4,_0_];;;
tonality;-------;-------;-------;-------
2;[7,_0_4_10_];[5,_0_4_3_6_14_];;
2.1667;[5,_0_4_6_14_];;;
2.3333;[8,_0_];;;
2.5;[1,_0_4_6_10_];[3,_0_4_7_10_14_20_];;
2.6667;[1,_0_4_10_14_];;;
2.8333;[10,_0_];;;
3;[7,_0_4_10_];[3,_0_4_8_2_13_];;
3.1667;[3,_0_4_8_14_];;;
3.3333;[4,_0_];;;
3.5;[1,_0_4_10_];[1,_0_4_7_10_18_];;
3.6667;[1,_0_4_7_10_];;;
3.8333;[7,_0_];;;
