time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;-------;-------;-------;-------
grouping;-------;-------;-------;-------
0;;[10,_0_];;
1;;[10,_0_];;
2;;[10,_0_];;
3;;[10,_0_];;
3.5;;[7,_0_];;
grouping;-------;-------;-------;-------
4;[7,_0_3_];[7,_0_3_7_17_];;
1;[7,_0_3_];;;
2;[7,_0_3_];;;
3;[7,_0_3_];;;
3.5;[7,_0_3_];;;
4;[7,_0_3_7_17_];;;
5;[7,_0_3_10_];[7,_0_3_10_];;
6;[7,_0_3_7_17_];[7,_0_3_7_17_];;
6.5;[7,_0_3_10_];[7,_0_3_10_];;
7;[7,_0_3_];[7,_0_3_];;
7.5;[7,_0_];[7,_0_];;
8;[7,_0_];[7,_0_];;
8.5;[7,_0_10_];[7,_0_10_];;
8.75;[7,_0_10_];;;
grouping;-------;-------;-------;-------
9;[10,_0_];[10,_0_];;
10;[0,_0_];[0,_0_];;
10.5;[2,_0_];[2,_0_];;
10.75;[0,_0_];;;
11;[10,_0_];[10,_0_];;
12;[7,_0_7_];[7,_0_7_];;
12.5;[7,_0_7_];[7,_0_7_];;
13.5;[7,_0_7_];[7,_0_7_];;
14;[7,_0_7_];[7,_0_7_];;
grouping;-------;-------;-------;-------
15;[7,_0_3_5_];[7,_0_3_5_];;
15.5;[7,_0_5_10_15_];[7,_0_5_10_15_];;
16;[7,_0_5_10_];;;
16.5;[7,_0_3_7_];[7,_0_3_7_];;
17;[7,_0_5_10_15_];[7,_0_5_10_15_];;
17.5;[7,_0_3_10_];[7,_0_3_10_];;
18;[7,_0_3_5_];[7,_0_3_5_];;
18.25;[7,_0_3_];;;
18.5;[7,_0_3_10_];[7,_0_3_10_];;
19;[7,_0_10_];[7,_0_10_];;
19.5;[7,_0_3_5_];[7,_0_3_5_];;
20;[7,_0_5_10_15_];[7,_0_5_10_15_];;
20.5;[7,_0_5_10_];[7,_0_5_10_];;
grouping;-------;-------;-------;-------
21;[7,_0_3_7_];[7,_0_3_7_];;
21.5;[7,_0_5_10_15_];[7,_0_5_10_15_];;
22;[7,_0_5_10_];[7,_0_5_10_];;
22.5;[7,_0_3_7_];[7,_0_3_7_];;
23;[7,_0_5_10_15_];[7,_0_5_10_15_];;
23.5;[7,_0_5_10_];[7,_0_5_10_];;
24;[7,_0_3_5_];[7,_0_3_5_];;
24.25;[7,_0_3_];;;
24.5;[7,_0_3_10_];[7,_0_3_10_];;
25;[7,_0_10_];[7,_0_10_];;
25.5;[7,_0_3_];[7,_0_3_];;
26;[7,_0_3_10_];[7,_0_3_10_];;
grouping;-------;-------;-------;-------
26.5;[7,_0_10_];[7,_0_10_];;
27;[7,_0_3_5_];[7,_0_3_5_];;
27.5;[7,_0_5_10_15_];[7,_0_5_10_15_];;
28;[7,_0_5_10_];[7,_0_5_10_];;
28.5;[7,_0_3_7_];[7,_0_3_7_];;
29;[7,_0_5_10_15_];[7,_0_5_10_15_];;
29.5;[7,_0_5_10_];[7,_0_3_10_];;
29.75;[7,_0_3_10_];;;
30;[7,_0_3_5_];[7,_0_3_5_];;
30.25;[7,_0_3_];;;
30.5;[7,_0_3_10_];[7,_0_3_10_];;
31;[7,_0_10_];[7,_0_10_];;
31.5;[7,_0_];[7,_0_];;
31.75;[7,_0_10_];;;
32;[7,_0_7_];[7,_0_7_];;
