tonality	0.0	[68, 70, 72, 73, 75, 77, 79]
grouping	0.0	[64, 67]
melody	0.0	[72]
surface	0.0	[72, 68, 63, 56]
reduction	0.0	[72, 68, 63, 56]
melody	1.0	[68]
surface	1.0	[68, 65, 61]
reduction	1.0	[68, 65, 61]
surface	1.5	[68, 65, 60, 61]
melody	2.0	[70]
surface	2.0	[70, 67, 61, 58]
reduction	2.0	[70, 67, 61, 58]
melody	3.0	[72]
surface	3.0	[72, 68, 63, 56]
reduction	3.0	[72, 68, 63, 56]
melody	3.5	[73]
surface	3.5	[73, 70, 61, 56]
melody	4.0	[75]
surface	4.0	[75, 72, 60, 56]
reduction	4.0	[75, 68, 60, 55]
surface	4.5	[75, 72, 58, 55]
melody	5.0	[73]
surface	5.0	[73, 72, 56, 53]
reduction	5.0	[73, 72, 56, 53]
surface	6.0	[70, 73, 63, 55]
reduction	6.0	[70, 73, 63, 55]
melody	7.0	[72]
surface	7.0	[72, 68, 63, 56]
reduction	7.0	[72, 68, 63, 56]
grouping	8.0	[64]
melody	8.0	[72]
surface	8.0	[72, 68, 65, 53]
reduction	8.0	[72, 68, 65, 53]
melody	8.5	[73]
surface	8.5	[73, 68, 65, 53]
melody	9.0	[75]
surface	9.0	[75, 68, 63, 48]
reduction	9.0	[75, 68, 63, 48]
surface	9.5	[67, 75, 46, 63]
melody	10.0	[75]
surface	10.0	[75, 68, 63, 48]
reduction	10.0	[75, 68, 63, 48]
surface	10.5	[65, 75, 49, 63]
melody	11.0	[70]
surface	11.0	[70, 67, 63, 51]
reduction	11.0	[70, 67, 63, 51]
surface	11.5	[65, 70, 49, 63]
reduction	11.5	[70, 67, 49, 63]
melody	12.0	[72]
surface	12.0	[72, 63, 55, 48]
reduction	12.0	[72, 63, 55, 48]
melody	13.0	[68]
surface	13.0	[68, 63, 56, 53]
reduction	13.0	[68, 61, 56, 53]
surface	13.5	[68, 63, 55, 53]
surface	14.0	[62, 68, 56, 53]
reduction	14.0	[62, 68, 56, 53]
melody	15.0	[67]
surface	15.0	[67, 63, 58, 51]
reduction	15.0	[67, 63, 58, 51]
grouping	16.0	[64]
melody	16.0	[63]
surface	16.0	[63, 58, 55, 49]
reduction	16.0	[63, 58, 55, 49]
surface	16.5	[63, 58, 53, 49]
melody	17.0	[68]
surface	17.0	[68, 63, 51, 48]
reduction	17.0	[68, 63, 51, 48]
melody	18.0	[70]
surface	18.0	[70, 61, 53, 46]
reduction	18.0	[70, 61, 55, 46]
surface	18.5	[70, 61, 55, 46]
melody	19.0	[72]
