tonality	0.0	[60, 62, 63, 65, 67, 68, 70]
grouping	0.0	[60, 64, 67]
reduction	0.0	[60, 55, 44, 48]
surface	2.0	[60, 55, 44, 48]
reduction	2.0	[63, 55, 44, 48]
surface	0.5	[62, 55, 44, 48]
surface	1.0	[63, 55, 44, 48]
surface	2.0	[63, 55, 44, 48]
surface	3.0	[63, 55, 44, 48]
surface	3.5	[63, 55, 44, 48]
surface	4.0	[62, 55, 44, 48]
reduction	4.0	[62, 55, 44, 48]
surface	4.5	[63, 55, 44, 48]
surface	5.0	[65, 55, 44, 48]
surface	5.5	[63, 55, 44, 48]
surface	6.0	[62, 53, 44, 48]
reduction	6.0	[62, 53, 44, 48]
surface	7.0	[60, 53, 44, 48]
reduction	7.0	[60, 53, 44, 48]
surface	8.0	[47, 50, 31]
reduction	8.0	[59, 62, 43]
surface	9.0	[48, 36]
reduction	9.0	[60, 48]
tonality	10.0	[63, 65, 67, 68, 70, 72, 74]
grouping	10.0	[60, 64]
surface	10.0	[63]
surface	10.5	[65]
surface	11.0	[67]
surface	12.0	[67, 58, 47, 51]
reduction	12.0	[67, 58, 47, 51]
surface	13.0	[67, 58, 47, 51]
surface	13.5	[67, 58, 47, 51]
surface	14.0	[65, 58, 47, 51]
reduction	14.0	[65, 58, 47, 51]
surface	14.5	[67, 58, 47, 51]
surface	15.0	[68, 58, 47, 51]
surface	15.5	[67, 58, 47, 51]
surface	16.0	[65, 56, 47, 51]
reduction	16.0	[65, 56, 47, 51]
surface	17.0	[63, 56, 47, 51]
reduction	17.0	[63, 56, 47, 51]
surface	18.0	[50, 53, 34]
reduction	18.0	[50, 53, 46]
surface	19.0	[51, 39]
reduction	19.0	[51, 51]
tonality	20.0	[60, 62, 63, 65, 67, 68, 70]
grouping	20.0	[60, 64]
surface	20.0	[63]
surface	20.5	[65]
surface	21.0	[67]
surface	22.0	[67, 60, 49, 53]
reduction	22.0	[67, 60, 49, 53]
surface	23.0	[67, 60, 49, 53]
surface	23.5	[67, 60, 49, 53]
surface	24.0	[65, 60, 49, 53]
reduction	24.0	[65, 58, 49, 53]
surface	24.5	[67, 58, 49, 53]
surface	25.0	[65, 58, 49, 53]
surface	26.0	[63, 58, 47, 51]
reduction	26.0	[63, 58, 47, 51]
surface	27.0	[63, 58, 47, 51]
surface	27.5	[63, 58, 47, 51]
surface	28.0	[62, 58, 47, 51]
reduction	28.0	[63, 56, 47, 51]
surface	28.5	[63, 56, 47, 51]
surface	29.0	[65, 56, 47, 51]
surface	29.5	[63, 56, 47, 51]
surface	30.0	[62, 55, 44, 48]
reduction	30.0	[62, 55, 44, 48]
surface	31.0	[60, 55, 44, 48]
reduction	31.0	[60, 55, 44, 48]
surface	32.0	[55, 44, 48]
reduction	32.0	[55, 44, 48]
surface	34.0	[47, 50, 31]
reduction	34.0	[47, 50, 43]
surface	35.0	[48, 36]
reduction	35.0	[48, 48]
tonality	38.0	[63, 65, 67, 68, 70, 72, 74]
grouping	38.0	[60, 64]
surface	38.0	[48]
surface	38.5	[50]
surface	39.0	[51]
surface	40.0	[67, 56, 60, 51]
reduction	40.0	[67, 56, 60, 51]
surface	41.0	[67, 56, 60, 51]
surface	41.5	[67, 56, 60, 51]
