tonality	0.0	[66, 68, 69, 71, 73, 74, 76]
grouping	0.0	[64, 67, 71]
surface	0.0	[78, 69, 73, 30]
reduction	0.0	[78, 69, 73, 42]
surface	0.5	[81, 69, 73, 30]
surface	1.0	[80, 71, 73, 37]
reduction	1.0	[71, 73, 78, 49]
surface	1.5	[78, 71, 73, 37]
surface	2.0	[78, 69, 73, 42]
reduction	2.0	[78, 69, 73, 42]
surface	2.5	[81, 69, 73, 42]
surface	3.0	[80, 71, 73, 49]
reduction	3.0	[71, 73, 78, 49]
surface	3.5	[78, 71, 73, 49]
surface	4.0	[69, 73, 78, 54]
reduction	4.0	[78, 69, 73, 54]
surface	4.5	[73, 81, 54]
surface	5.0	[80, 72, 56]
reduction	5.0	[72, 78, 56]
surface	5.5	[78, 72, 56]
surface	6.0	[80, 49]
reduction	6.0	[68, 73, 80, 49]
surface	7.0	[68, 73, 61, 65]
reduction	7.0	[68, 73, 80, 61, 65]
grouping	8.0	[64]
surface	8.0	[69, 73, 64, 57, 61]
reduction	8.0	[69, 73, 64, 57, 61]
surface	9.0	[68, 71, 64, 52, 59]
reduction	9.0	[68, 71, 64, 52, 59]
surface	10.0	[69, 73, 64, 57, 61]
reduction	10.0	[69, 73, 64, 57, 61]
surface	11.0	[68, 71, 64, 52, 59]
reduction	11.0	[68, 71, 64, 52, 59]
surface	12.0	[69, 73, 78, 50]
reduction	12.0	[69, 73, 78, 50]
surface	12.5	[69, 73, 78, 54]
surface	13.0	[68, 71, 76, 57]
reduction	13.0	[68, 71, 76, 57]
surface	13.5	[66, 69, 74, 59]
reduction	13.5	[66, 69, 74, 59]
surface	14.0	[65, 68, 73, 61]
reduction	14.0	[65, 68, 73, 61]
surface	15.0	[65, 68, 73, 61]
grouping	16.0	[64, 67]
surface	16.0	[78, 69, 73, 42, 49]
reduction	16.0	[78, 69, 73, 42, 49]
surface	16.5	[81, 69, 73, 42, 49]
surface	17.0	[80, 69, 73, 42, 49]
surface	17.5	[78, 69, 73, 42, 49]
surface	18.0	[78, 69, 74, 62, 66]
reduction	18.0	[78, 69, 74, 62, 66]
surface	18.5	[81, 69, 74, 62, 66]
surface	19.0	[80, 69, 74, 62, 66]
surface	19.5	[78, 69, 74, 62, 66]
surface	20.0	[78, 69, 71, 75, 59, 63]
reduction	20.0	[78, 69, 71, 75, 59, 63]
surface	20.5	[81, 69, 71, 75, 59, 63]
surface	21.0	[80, 69, 71, 75, 59, 63]
surface	21.5	[78, 69, 71, 75, 59, 63]
surface	22.0	[80, 52]
reduction	22.0	[68, 71, 73, 80, 52, 59, 64]
surface	23.0	[68, 71, 73, 59, 64]
grouping	24.0	[64]
surface	24.0	[69, 73, 62, 43, 50]
reduction	24.0	[69, 73, 62, 43, 50, 55]
surface	25.0	[67, 71, 62, 55]
reduction	25.0	[67, 71, 62, 43, 50, 55]
surface	26.0	[69, 73, 62, 43, 50]
reduction	26.0	[69, 73, 62, 43, 50, 55]
surface	27.0	[67, 71, 62, 55]
reduction	27.0	[67, 71, 62, 43, 50, 55]
surface	28.0	[66, 74, 78, 40]
reduction	28.0	[66, 74, 78, 40, 44, 47, 50]
surface	28.5	[66, 74, 78, 44]
surface	29.0	[64, 73, 76, 47]
reduction	29.0	[64, 73, 76, 40, 44, 47, 50]
surface	29.5	[62, 71, 74, 50]
reduction	29.5	[62, 71, 74, 40, 44, 47, 50]
surface	30.0	[61, 70, 73, 54]
reduction	30.0	[61, 70, 73, 54]
surface	31.0	[61, 70, 73, 54]
grouping	32.0	[64, 67]
surface	32.0	[74, 78, 73, 38, 45]
reduction	32.0	[78, 73, 74, 50, 57]
surface	32.5	[74, 81, 73, 38, 45]
surface	33.0	[80, 73, 74, 38, 45]
surface	33.5	[78, 73, 74, 38, 45]
surface	34.0	[78, 70, 74, 50, 57]
reduction	34.0	[78, 70, 74, 50, 57]
surface	34.5	[81, 70, 74, 50, 57]
surface	35.0	[80, 70, 74, 50, 57]
surface	35.5	[78, 70, 74, 50, 57]
surface	36.0	[78, 71, 74, 62, 69]
reduction	36.0	[78, 71, 74, 50, 57]
surface	36.5	[81, 71, 74, 62, 69]
surface	37.0	[80, 71, 74, 62, 69]
surface	37.5	[78, 71, 74, 62, 69]
surface	38.0	[73, 80, 45, 52]
reduction	38.0	[68, 73, 80, 45, 52]
surface	39.0	[68, 73, 57, 64]
grouping	40.0	[64]
surface	40.0	[66, 73, 61, 54, 58]
reduction	40.0	[66, 73, 61, 54, 58]
surface	41.0	[65, 71, 61, 49, 56]
reduction	41.0	[65, 71, 61, 49, 56]
surface	42.0	[66, 73, 61, 54, 58]
reduction	42.0	[66, 73, 61, 54, 58]
surface	43.0	[65, 71, 61, 49, 56]
reduction	43.0	[65, 71, 61, 49, 56]
surface	44.0	[69, 74, 78, 35]
reduction	44.0	[69, 74, 78, 47, 50, 53, 57]
surface	44.5	[69, 74, 78, 38]
surface	45.0	[68, 73, 76, 42]
reduction	45.0	[68, 73, 76, 47, 50, 53, 57]
surface	45.5	[66, 71, 74, 45]
reduction	45.5	[66, 71, 74, 47, 50, 53, 57]
surface	46.0	[66, 68, 73, 49]
reduction	46.0	[66, 68, 73, 49]
surface	47.0	[65, 68, 73, 61]
reduction	47.0	[65, 68, 73, 49]
grouping	48.0	[64, 67]
surface	48.0	[42]
reduction	48.0	[70, 73, 54, 57]
surface	48.5	[45]
surface	49.0	[58, 61, 44]
surface	49.5	[58, 61, 42]
surface	50.0	[54]
reduction	50.0	[70, 73, 82, 54, 57]
surface	50.5	[57]
surface	51.0	[58, 61, 70, 56]
surface	51.5	[58, 61, 70, 54]
surface	52.0	[66]
reduction	52.0	[70, 73, 78, 82, 54, 57]
surface	52.5	[69]
surface	53.0	[70, 73, 78, 82, 68]
surface	53.5	[70, 73, 78, 82, 66]
surface	54.0	[68]
reduction	54.0	[69, 73, 78, 81, 68]
surface	55.0	[69, 73, 78, 81, 61]
reduction	55.0	[69, 73, 78, 81, 61]
surface	56.0	[69, 78, 81, 74, 61]
reduction	56.0	[69, 78, 81, 74, 61]
surface	57.0	[75, 69, 78, 81, 59]
reduction	57.0	[75, 69, 78, 81, 59]
surface	58.0	[69, 78, 81, 74, 61]
reduction	58.0	[69, 78, 81, 74, 61]
surface	59.0	[75, 69, 78, 81, 59]
reduction	59.0	[75, 69, 78, 81, 59]
surface	60.0	[66]
surface	60.5	[66]
surface	61.0	[64]
surface	61.5	[62]
surface	62.0	[87, 92, 69, 72, 61]
reduction	62.0	[75, 80, 69, 72, 61]
surface	63.0	[77, 85, 68, 73, 61]
reduction	63.0	[65, 73, 68, 73, 61]
surface	64.0	[66, 75, 80, 57, 60]
reduction	64.0	[66, 75, 80, 57, 60]
surface	65.0	[68, 73, 56, 61, 65]
reduction	65.0	[68, 73, 56, 61, 65]
surface	66.0	[54, 63, 68, 45, 48]
reduction	66.0	[54, 63, 68, 45, 48]
surface	67.0	[56, 61, 44, 49, 53]
reduction	67.0	[56, 61, 44, 49, 53]
reduction	68.0	[56, 61, 44, 49, 53]
surface	69.0	[56, 61, 44, 49, 53]
reduction	70.0	[56, 61, 44, 49, 53]
surface	71.0	[56, 61, 44, 49, 53]
reduction	72.0	[56, 61, 44, 49, 53]
surface	73.0	[56, 61, 44, 49, 53]
reduction	74.0	[58, 61, 46, 53]
surface	75.0	[58, 61, 46, 53]
