tonality	0.0	[62, 64, 66, 68, 69, 71, 73]
grouping	0.0	[73, 76, 79]
surface	0.0	[81, 38]
reduction	0.0	[81, 38, 45, 50]
surface	0.5	[78, 45, 50]
surface	0.75	[81, 45, 50]
surface	1.0	[80, 45, 50]
reduction	1.0	[80, 38, 45, 50]
surface	1.5	[80, 45, 50]
surface	1.75	[78, 45, 50]
surface	2.0	[81, 45, 50]
reduction	2.0	[81, 45, 50, 57]
surface	2.5	[81]
surface	2.75	[80]
surface	3.0	[78, 50, 57]
reduction	3.0	[78, 45, 50, 57]
surface	3.25	[74, 50, 57]
surface	3.5	[78, 50, 57]
surface	3.75	[80, 50, 57]
grouping	4.0	[73]
surface	4.0	[81, 38]
reduction	4.0	[81, 38, 45, 50]
surface	4.5	[78, 45, 50]
surface	4.75	[81, 45, 50]
surface	5.0	[80, 45, 50]
reduction	5.0	[80, 38, 45, 50]
surface	5.5	[80, 45, 50]
surface	5.75	[78, 45, 50]
surface	6.0	[76, 45, 50]
reduction	6.0	[76, 45, 50, 56]
surface	6.5	[76]
surface	6.75	[74]
surface	7.0	[76, 50, 56]
reduction	7.0	[76, 45, 50, 56]
tonality	8.0	[62, 64, 66, 67, 69, 71, 73]
grouping	8.0	[73, 76]
surface	8.0	[74, 38]
reduction	8.0	[74, 38, 43, 50]
surface	8.5	[71, 43, 50]
surface	8.75	[74, 43, 50]
surface	9.0	[73, 43, 50]
reduction	9.0	[73, 38, 43, 50]
surface	9.5	[73, 43, 50]
surface	9.75	[71, 43, 50]
surface	10.0	[74, 43, 50]
reduction	10.0	[74, 43, 50]
surface	10.5	[74]
surface	10.75	[73]
surface	11.0	[71, 50, 55, 57]
reduction	11.0	[71, 50, 55, 57]
surface	11.25	[67, 50, 55, 57]
surface	11.5	[71, 50, 55, 57]
surface	11.75	[73, 50, 55, 57]
grouping	12.0	[73]
surface	12.0	[74, 38]
reduction	12.0	[74, 38, 45, 50]
surface	12.5	[71, 43, 50]
surface	12.75	[74, 43, 50]
surface	13.0	[73, 43, 50]
reduction	13.0	[73, 38, 45, 50]
surface	13.5	[73, 43, 50]
surface	13.75	[71, 43, 50]
surface	14.0	[69, 43, 50]
reduction	14.0	[69, 43, 50]
surface	14.5	[69]
surface	14.75	[67]
surface	15.0	[69, 50, 55, 57]
reduction	15.0	[69, 50, 55, 57]
tonality	16.0	[66, 68, 69, 71, 73, 74, 76]
grouping	16.0	[73, 76, 79]
surface	16.0	[81, 42]
reduction	16.0	[81, 42, 49, 54]
surface	16.5	[78, 49, 54]
surface	16.75	[81, 49, 54]
surface	17.0	[80, 49, 54]
reduction	17.0	[80, 42, 49, 54]
surface	17.5	[80, 49, 54]
surface	17.75	[78, 49, 54]
surface	18.0	[81, 49, 54]
reduction	18.0	[81, 49, 54]
surface	18.5	[81]
surface	18.75	[80]
surface	19.0	[78, 54, 59, 62]
reduction	19.0	[78, 54, 59, 62]
surface	19.25	[74, 54, 59, 62]
surface	19.5	[78, 54, 59, 62]
surface	19.75	[80, 54, 59, 62]
grouping	20.0	[73]
surface	20.0	[81, 42]
reduction	20.0	[81, 42, 49, 54]
surface	20.5	[78, 49, 54]
surface	20.75	[81, 49, 54]
surface	21.0	[80, 49, 54]
reduction	21.0	[80, 42, 49, 54]
surface	21.5	[80, 49, 54]
surface	21.75	[78, 49, 54]
surface	22.0	[76, 49, 54]
reduction	22.0	[76, 49, 54]
surface	22.5	[76]
surface	22.75	[74]
surface	23.0	[76, 54, 57, 60]
reduction	23.0	[76, 54, 57, 60]
tonality	24.0	[69, 71, 73, 74, 76, 78, 79]
grouping	24.0	[73, 76]
surface	24.0	[74, 43]
reduction	24.0	[74, 43, 54, 59]
surface	24.5	[71, 54, 59]
surface	24.75	[74, 54, 59]
surface	25.0	[73, 54, 59]
reduction	25.0	[73, 43, 54, 59]
surface	25.5	[73, 54, 59]
surface	25.75	[71, 54, 59]
surface	26.0	[74, 54, 59]
reduction	26.0	[74, 54, 59, 66]
surface	26.5	[74]
surface	26.75	[73]
surface	27.0	[71, 59, 66]
reduction	27.0	[71, 54, 59, 66]
surface	27.25	[67, 59, 66]
surface	27.5	[71, 59, 66]
surface	27.75	[73, 59, 66]
grouping	28.0	[73]
surface	28.0	[74, 43]
reduction	28.0	[74, 43, 53, 59]
surface	28.5	[71, 53, 59]
surface	28.75	[74, 53, 59]
surface	29.0	[73, 53, 59]
reduction	29.0	[73, 43, 53, 59]
surface	29.5	[73, 53, 59]
surface	29.75	[71, 53, 59]
surface	30.0	[69, 53, 59]
reduction	30.0	[69, 53, 59]
surface	30.5	[69]
surface	30.75	[67]
grouping	31.0	[69, 72, 76]
surface	31.0	[69, 57, 61, 64]
reduction	31.0	[69, 57, 61, 64]
tonality	32.0	[60, 62, 64, 66, 67, 68, 71]
surface	32.0	[76, 36, 43]
reduction	32.0	[76, 36, 43, 55, 60, 64]
surface	32.25	[78, 36, 43]
surface	32.5	[79, 36, 43]
surface	33.0	[78, 55, 60, 64]
surface	33.1666666667	[79, 55, 60, 64]
surface	33.3333333333	[78, 55, 60, 64]
surface	33.5	[76, 55, 60, 64]
surface	34.0	[76]
reduction	34.0	[76, 55, 60, 62]
surface	34.5	[78, 55, 60, 62]
surface	34.75	[79, 55, 60, 62]
grouping	35.0	[69]
surface	35.0	[81, 55, 60, 62]
reduction	35.0	[81, 55, 60, 62]
surface	35.5	[81, 55, 60, 62]
surface	36.0	[76, 55, 60, 64]
reduction	36.0	[76, 55, 60, 64]
surface	36.25	[78, 55, 60, 64]
surface	36.5	[79, 55, 60, 64]
surface	37.0	[78, 55, 60, 64]
surface	37.1666666667	[79, 55, 60, 64]
surface	37.3333333333	[78, 55, 60, 64]
surface	37.5	[76, 55, 60, 64]
surface	38.0	[74]
reduction	38.0	[74, 55, 60, 66]
surface	38.1666666667	[76]
surface	38.3333333333	[74]
surface	38.5	[72, 55, 60, 66]
grouping	39.0	[69, 72]
surface	39.0	[72, 55, 60, 66]
reduction	39.0	[72, 55, 60, 66]
surface	39.5	[72, 55, 60, 66]
surface	40.0	[76, 48, 55]
reduction	40.0	[76, 48, 55, 60, 64]
surface	40.25	[78, 48, 55]
surface	40.5	[79, 48, 55]
surface	41.0	[78, 55, 60, 64]
surface	41.1666666667	[79, 55, 60, 64]
surface	41.3333333333	[78, 55, 60, 64]
surface	41.5	[76, 55, 60, 64]
surface	42.0	[76]
reduction	42.0	[76, 55, 60, 62]
surface	42.5	[78, 55, 60, 62]
surface	42.75	[79, 55, 60, 62]
grouping	43.0	[69]
surface	43.0	[81, 55, 60, 62]
reduction	43.0	[81, 55, 60, 62]
surface	43.5	[81, 55, 60, 62]
surface	44.0	[76, 55, 60, 64]
reduction	44.0	[76, 55, 60, 64]
surface	44.25	[78, 55, 60, 64]
surface	44.5	[79, 55, 60, 64]
surface	45.0	[78, 55, 60, 64]
surface	45.1666666667	[79, 55, 60, 64]
surface	45.3333333333	[78, 55, 60, 64]
surface	45.5	[76, 55, 60, 64]
surface	46.0	[74]
reduction	46.0	[74, 58, 64, 66]
surface	46.1666666667	[76]
surface	46.3333333333	[74]
surface	46.5	[72, 64, 66, 58]
grouping	47.0	[69, 72, 76]
surface	47.0	[72, 66, 58, 64]
reduction	47.0	[72, 58, 64, 66]
surface	47.5	[72, 67, 58, 64]
tonality	48.0	[61, 64, 66, 67, 68, 71, 72]
surface	48.0	[67, 53]
reduction	48.0	[67, 53, 60, 64]
surface	48.5	[72, 60, 64]
surface	49.0	[67, 53]
reduction	49.0	[67, 62, 53, 60]
surface	49.5	[72, 60, 62]
grouping	50.0	[69]
surface	50.0	[67, 53]
reduction	50.0	[67, 53, 60, 64]
surface	50.5	[72, 60, 64]
surface	51.0	[72, 53]
reduction	51.0	[72, 65, 53, 60]
surface	51.25	[70, 53]
surface	51.5	[69, 60, 65]
surface	51.75	[70, 60, 65]
surface	52.0	[67, 53]
reduction	52.0	[67, 53, 60, 67]
surface	52.5	[72, 60, 67]
surface	53.0	[72, 53]
reduction	53.0	[72, 70, 53, 60]
surface	53.5	[72, 60, 70]
surface	53.75	[74, 60, 70]
grouping	54.0	[69, 72]
surface	54.0	[76, 53]
reduction	54.0	[76, 53, 60, 65, 69]
surface	54.5	[72, 60, 65, 69]
surface	54.75	[71, 60, 65, 69]
surface	55.0	[72, 60, 65, 69]
reduction	55.0	[72, 53, 60, 65, 69]
surface	55.5	[72, 60, 65, 69]
surface	56.0	[67, 53]
reduction	56.0	[67, 53, 60, 64]
surface	56.5	[72, 60, 64]
surface	57.0	[67, 53]
reduction	57.0	[67, 62, 53, 60]
surface	57.5	[72, 60, 62]
grouping	58.0	[69]
surface	58.0	[67, 53]
reduction	58.0	[67, 53, 60, 64]
surface	58.5	[72, 60, 64]
surface	59.0	[72, 53]
reduction	59.0	[72, 67, 53, 60]
surface	59.25	[70, 53]
surface	59.5	[69, 60, 67]
surface	59.75	[70, 60, 67]
surface	60.0	[69]
reduction	60.0	[69, 55, 60, 65]
surface	60.5	[69, 55, 60, 65]
surface	60.75	[67, 55, 60, 65]
grouping	61.0	[69, 72, 76]
surface	61.0	[69, 55, 60, 65]
reduction	61.0	[69, 55, 60, 65]
surface	61.5	[69, 55, 60, 65]
surface	61.75	[67, 55, 60, 65]
surface	62.0	[69, 55, 60, 65]
reduction	62.0	[69, 55, 59, 65]
surface	62.5	[69, 55, 60, 65]
surface	62.75	[67, 55, 60, 65]
surface	63.0	[69, 55, 59, 65]
reduction	63.0	[69, 55, 59, 65]
tonality	64.0	[66, 67, 69, 71, 72, 74, 76]
surface	64.0	[76, 45]
reduction	64.0	[76, 45, 61, 64]
surface	64.25	[78, 45]
surface	64.5	[79, 45]
grouping	65.0	[69]
surface	65.0	[78, 61, 64]
surface	65.1666666667	[79, 61, 64]
surface	65.3333333333	[78, 61, 64]
surface	65.5	[76, 61, 64]
surface	66.0	[76, 57]
reduction	66.0	[76, 57, 59, 62]
surface	66.5	[78, 59, 62, 57]
surface	66.75	[79, 59, 62, 57]
surface	67.0	[81, 59, 62, 57]
reduction	67.0	[81, 57, 59, 62]
surface	67.5	[81, 59, 62, 57]
surface	68.0	[76, 57]
reduction	68.0	[76, 57, 61, 64]
surface	68.25	[78, 57]
surface	68.5	[79, 61, 64, 57]
grouping	69.0	[69, 72]
surface	69.0	[78, 61, 64, 57]
surface	69.1666666667	[79, 61, 64, 57]
surface	69.3333333333	[78, 61, 64, 57]
surface	69.5	[76, 61, 64, 57]
surface	70.0	[74, 57]
reduction	70.0	[74, 57, 62, 66]
surface	70.1666666667	[76, 57]
surface	70.3333333333	[74, 57]
surface	70.5	[72, 62, 66, 57]
surface	71.0	[72, 62, 66, 57]
reduction	71.0	[72, 57, 62, 66]
surface	71.5	[72, 62, 66, 57]
surface	72.0	[76, 45]
reduction	72.0	[76, 45, 61, 64]
surface	72.25	[78, 45]
surface	72.5	[79, 45]
grouping	73.0	[69]
surface	73.0	[78, 61, 64]
surface	73.1666666667	[79, 61, 64]
surface	73.3333333333	[78, 61, 64]
surface	73.5	[76, 61, 64]
surface	74.0	[76, 57]
reduction	74.0	[76, 57, 59, 62]
surface	74.5	[78, 59, 62, 57]
surface	74.75	[79, 59, 62, 57]
surface	75.0	[81, 59, 62, 57]
reduction	75.0	[81, 57, 59, 62]
surface	75.5	[81, 59, 62, 57]
surface	76.0	[76, 57]
reduction	76.0	[76, 57, 61, 64]
surface	76.25	[78, 57]
surface	76.5	[79, 61, 64, 57]
grouping	77.0	[69, 72, 76]
surface	77.0	[78, 61, 64, 57]
surface	77.1666666667	[79, 61, 64, 57]
surface	77.3333333333	[78, 61, 64, 57]
surface	77.5	[76, 61, 64, 57]
surface	78.0	[74, 50]
reduction	78.0	[74, 50, 57, 62, 66]
surface	78.1666666667	[76, 50]
surface	78.3333333333	[74, 50]
surface	78.5	[72, 57, 62, 66]
tonality	79.0	[64, 66, 67, 68, 71, 72, 74]
surface	79.0	[72, 57, 62, 66]
reduction	79.0	[72, 50, 57, 62, 66]
surface	79.5	[72, 57, 62, 66]
surface	80.0	[67, 55, 60, 64]
reduction	80.0	[67, 55, 60, 64, 67]
surface	80.5	[72, 60, 64, 67]
grouping	81.0	[69]
surface	81.0	[67, 55, 60, 64]
reduction	81.0	[67, 55, 60, 64, 67]
surface	81.5	[72, 60, 64, 67]
surface	82.0	[67, 55, 60, 64]
reduction	82.0	[67, 60, 64, 67]
surface	82.5	[72, 60, 64, 67]
surface	83.0	[72, 55, 62]
reduction	83.0	[70, 55, 62, 65]
surface	83.25	[70, 55, 62]
surface	83.5	[69, 62, 65]
surface	83.75	[70, 62, 65]
surface	84.0	[67, 55, 60, 64]
reduction	84.0	[67, 55, 60, 64, 67]
surface	84.5	[72, 60, 64, 67]
