tonality	4.0	[62, 64, 65, 67, 69, 70, 72]
grouping	4.0	[55, 58]
surface	4.0	[62, 52, 55, 58, 62]
reduction	4.0	[69, 52, 55, 58, 62]
surface	2.0	[64, 52, 55, 58, 62]
surface	3.0	[65, 52, 55, 58, 62]
surface	4.0	[69, 52, 55, 58, 62]
surface	7.0	[67, 52, 55, 58, 62]
surface	8.0	[65, 45, 49, 52, 55, 58]
reduction	8.0	[65, 45, 49, 52, 55, 58]
surface	9.5	[64, 45, 49, 52, 55, 58]
surface	10.0	[62, 45, 49, 52, 55, 58]
surface	11.0	[64, 45, 49, 52, 55, 58]
surface	11.5	[65, 45, 49, 52, 55, 58]
surface	12.0	[65, 50, 53, 57]
reduction	12.0	[65, 50, 53, 57]
surface	16.0	[65, 50, 53, 57]
reduction	16.0	[65, 50, 53, 57]
surface	16.5	[65, 50, 53, 57]
surface	18.0	[67, 50, 53, 57]
surface	19.0	[69, 50, 53, 57]
grouping	20.0	[57]
surface	20.0	[72, 43, 46, 50, 53]
reduction	20.0	[72, 43, 46, 50, 53]
surface	23.0	[70, 43, 46, 50, 53]
surface	24.0	[69, 48, 52, 55, 58]
reduction	24.0	[69, 48, 52, 55, 58]
surface	25.5	[67, 48, 52, 55, 58]
surface	26.0	[65, 48, 52, 55, 58]
surface	27.0	[67, 48, 52, 55, 58]
surface	27.5	[69, 48, 52, 55, 58]
surface	28.0	[69, 41, 45, 48, 52]
reduction	28.0	[69, 41, 45, 48, 52]
surface	32.0	[69, 52, 55, 58, 62]
reduction	32.0	[69, 52, 55, 58, 62]
surface	32.5	[69, 52, 55, 58, 62]
surface	34.0	[71, 45, 49, 52, 55]
reduction	34.0	[69, 45, 49, 52, 55]
surface	35.0	[73, 45, 49, 52, 55]
grouping	36.0	[57, 60]
surface	36.0	[76, 50, 53, 57]
reduction	36.0	[74, 50, 53, 57]
surface	37.0	[74, 50, 53, 57]
surface	39.0	[69, 50, 53, 57]
surface	40.0	[72, 43, 46, 50, 53]
reduction	40.0	[70, 43, 46, 50, 53]
surface	41.0	[70, 43, 46, 50, 53]
surface	43.0	[62, 43, 46, 50, 53]
surface	44.0	[64, 46, 50, 53, 56]
reduction	44.0	[64, 46, 50, 53, 56]
surface	48.0	[64, 52, 55, 58, 62]
reduction	48.0	[64, 52, 55, 58, 62]
surface	48.5	[64, 52, 55, 58, 62]
surface	50.0	[65, 45, 49, 52, 55]
reduction	50.0	[64, 45, 49, 52, 55]
surface	51.0	[67, 45, 49, 52, 55]
grouping	52.0	[57]
surface	52.0	[69, 50, 53, 57]
reduction	52.0	[69, 50, 53, 57]
surface	55.0	[62, 50, 53, 57]
surface	56.0	[61, 43, 47, 49, 50, 53]
reduction	56.0	[61, 43, 47, 50, 53]
surface	59.0	[62, 43, 47, 49, 50, 53]
surface	60.0	[64, 52, 55, 58, 62]
reduction	60.0	[64, 52, 55, 58, 62]
surface	64.0	[64, 45, 49, 52, 55, 58]
reduction	64.0	[64, 45, 49, 52, 55, 58]
surface	64.5	[64, 45, 49, 52, 55, 58]
surface	66.0	[65, 45, 49, 52, 55, 58]
surface	67.0	[67, 45, 49, 52, 55, 58]
surface	68.0	[69, 50, 53, 57]
reduction	68.0	[69, 50, 53, 57]
surface	71.0	[64, 50, 53, 57]
surface	72.0	[65, 46, 50, 53, 56]
reduction	72.0	[65, 46, 50, 53, 56]
surface	74.0	[64, 45, 49, 52, 55]
reduction	74.0	[64, 45, 49, 52, 55]
surface	76.0	[62, 50, 53, 57]
reduction	76.0	[62, 50, 53, 57]
grouping	79.0	[55]
surface	80.0	[62, 50, 53, 57]
reduction	80.0	[62, 50, 53, 57]
surface	80.5	[62, 50, 53, 57]
surface	82.0	[64, 50, 53, 57]
surface	83.0	[65, 50, 53, 57]
