tonality	2.0	[69, 71, 72, 74, 76, 77, 79]
grouping	2.0	[64, 67]
surface	2.0	[64, 45, 48, 52]
reduction	2.0	[72, 45, 48, 52]
surface	2.0	[72, 45, 48, 52]
surface	5.0	[71, 45, 48, 52]
surface	5.5	[69, 45, 48, 52]
surface	6.0	[69, 47, 50, 53, 56]
reduction	6.0	[69, 47, 50, 53, 56]
surface	8.0	[69, 40, 44, 47, 50, 53]
reduction	8.0	[68, 40, 44, 47, 50, 53]
surface	9.0	[68, 40, 44, 47, 50, 53]
surface	9.5	[71, 40, 44, 47, 50, 53]
surface	10.0	[64, 45, 48, 52]
reduction	10.0	[64, 45, 48, 52]
surface	14.0	[64, 47, 50, 53, 56]
reduction	14.0	[64, 47, 50, 53, 56]
surface	16.0	[64, 40, 44, 47, 50, 53]
reduction	16.0	[64, 40, 44, 47, 50, 53]
surface	17.0	[64, 40, 44, 47, 50, 53]
grouping	18.0	[64]
surface	18.0	[72, 45, 48, 52]
reduction	18.0	[72, 45, 48, 52]
surface	21.0	[71, 45, 48, 52]
surface	21.5	[69, 45, 48, 52]
surface	22.0	[69, 50, 53, 57, 60]
reduction	22.0	[69, 50, 53, 57, 60]
surface	24.0	[69, 43, 47, 50, 53]
reduction	24.0	[67, 43, 47, 50, 53]
surface	25.0	[67, 43, 47, 50, 53]
surface	25.5	[71, 43, 47, 50, 53]
surface	26.0	[64, 48, 52, 55, 59]
reduction	26.0	[64, 48, 52, 55, 59]
surface	30.0	[64, 49, 52, 55, 58]
reduction	30.0	[64, 49, 52, 55, 58]
surface	32.0	[45, 49, 52, 55, 58]
reduction	32.0	[64, 45, 49, 52, 55, 58]
surface	32.5	[64, 45, 49, 52, 55, 58]
surface	33.0	[65, 45, 49, 52, 55, 58]
surface	33.5	[67, 45, 49, 52, 55, 58]
grouping	34.0	[64]
surface	34.0	[69, 50, 53, 57, 60]
reduction	34.0	[69, 50, 53, 57, 60]
surface	35.5	[62, 50, 53, 57, 60]
surface	36.0	[62, 50, 53, 57, 60]
reduction	36.0	[62, 50, 53, 57, 60]
surface	38.0	[62, 43, 47, 50, 53]
reduction	38.0	[62, 43, 47, 50, 53]
surface	40.5	[62, 43, 47, 50, 53]
surface	41.0	[64, 43, 47, 50, 53]
surface	41.5	[65, 43, 47, 50, 53]
