tonality	2.0	[60, 62, 63, 65, 67, 68, 70]
grouping	2.0	[56, 60]
surface	2.0	[67, 48, 51, 55, 58]
reduction	2.0	[63, 48, 51, 55, 58]
surface	1.5	[65, 48, 51, 55, 58]
surface	2.0	[63, 48, 51, 55, 58]
surface	3.5	[62, 48, 51, 55, 58]
surface	3.75	[60, 48, 51, 55, 58]
surface	4.0	[62, 50, 53, 57, 60]
reduction	4.0	[65, 50, 53, 57, 60]
surface	4.5	[65, 50, 53, 57, 60]
surface	6.0	[63, 51, 55, 58, 62]
reduction	6.0	[63, 51, 55, 58, 62]
surface	6.5	[60, 51, 55, 58, 62]
surface	7.0	[57, 51, 55, 58, 62]
surface	8.0	[57, 50, 53, 57, 60]
reduction	8.0	[57, 50, 53, 57, 60]
surface	9.0	[62, 50, 53, 57, 60]
surface	9.5	[58, 50, 53, 57, 60]
surface	10.0	[55, 48, 51, 55, 58]
reduction	10.0	[55, 48, 51, 55, 58]
surface	12.0	[55, 50, 53, 57, 60]
reduction	12.0	[55, 50, 53, 57, 60]
surface	14.0	[55, 51, 55, 58, 62]
reduction	14.0	[55, 51, 55, 58, 62]
surface	16.0	[55, 50, 53, 57, 60]
reduction	16.0	[55, 50, 53, 57, 60]
surface	17.0	[67, 50, 53, 57, 60]
surface	17.5	[65, 50, 53, 57, 60]
grouping	18.0	[56]
surface	18.0	[63, 48, 51, 55, 58]
reduction	18.0	[63, 48, 51, 55, 58]
surface	19.5	[62, 48, 51, 55, 58]
surface	19.75	[60, 48, 51, 55, 58]
surface	20.0	[62, 50, 53, 57, 60]
reduction	20.0	[65, 50, 53, 57, 60]
surface	20.5	[65, 50, 53, 57, 60]
surface	22.0	[63, 51, 55, 58, 62]
reduction	22.0	[63, 51, 55, 58, 62]
surface	22.5	[60, 51, 55, 58, 62]
surface	23.0	[57, 51, 55, 58, 62]
surface	24.0	[57, 50, 53, 57, 60]
reduction	24.0	[57, 50, 53, 57, 60]
surface	25.0	[62, 50, 53, 57, 60]
surface	25.5	[58, 50, 53, 57, 60]
surface	26.0	[55, 48, 51, 55, 58]
reduction	26.0	[55, 48, 51, 55, 58]
surface	28.0	[55, 50, 53, 57, 60]
reduction	28.0	[55, 50, 53, 57, 60]
surface	30.0	[55, 51, 55, 58, 62]
reduction	30.0	[55, 51, 55, 58, 62]
surface	32.0	[55, 50, 53, 57, 60]
reduction	32.0	[55, 50, 53, 57, 60]
surface	33.0	[60, 50, 53, 57, 60]
surface	33.5	[62, 50, 53, 57, 60]
grouping	34.0	[56, 60]
surface	34.0	[63, 48, 51, 55, 58]
reduction	34.0	[63, 48, 51, 55, 58]
surface	35.5	[62, 48, 51, 55, 58]
surface	35.75	[60, 48, 51, 55, 58]
surface	36.0	[72, 46, 50, 53, 56]
reduction	36.0	[72, 46, 50, 53, 56]
surface	37.5	[70, 46, 50, 53, 56]
surface	38.0	[65, 51, 55, 58, 62]
reduction	38.0	[65, 51, 55, 58, 62]
surface	39.5	[67, 51, 55, 58, 62]
surface	40.0	[63, 44, 48, 51, 55]
reduction	40.0	[63, 44, 48, 51, 55]
surface	40.5	[60, 44, 48, 51, 55]
surface	41.5	[62, 44, 48, 51, 55]
surface	42.0	[62, 44, 48, 51, 54]
reduction	42.0	[70, 44, 48, 51, 54]
surface	42.5	[65, 44, 48, 51, 54]
surface	43.0	[70, 44, 48, 51, 54]
surface	44.0	[70, 45, 49, 52, 55]
reduction	44.0	[70, 45, 49, 52, 55]
surface	46.0	[70, 44, 48, 51, 54]
reduction	46.0	[68, 44, 48, 51, 54]
surface	47.5	[72, 44, 48, 51, 54]
surface	48.0	[68, 43, 47, 50, 53]
reduction	48.0	[67, 43, 47, 50, 53]
surface	49.5	[67, 43, 47, 50, 53]
surface	49.75	[65, 43, 47, 50, 53]
grouping	50.0	[56]
surface	50.0	[67, 48, 51, 55, 58]
reduction	50.0	[67, 48, 51, 55, 58]
surface	51.0	[63, 48, 51, 55, 58]
surface	52.0	[65, 50, 53, 57, 60]
reduction	52.0	[65, 50, 53, 57, 60]
surface	53.0	[62, 50, 53, 57, 60]
surface	54.0	[63, 51, 55, 58, 62]
reduction	54.0	[63, 51, 55, 58, 62]
surface	55.0	[60, 51, 55, 58, 62]
surface	55.5	[55, 51, 55, 58, 62]
surface	56.0	[58, 43, 46, 50, 53]
reduction	56.0	[58, 43, 46, 50, 53]
surface	57.0	[59, 43, 47, 50, 53]
reduction	57.0	[59, 43, 47, 50, 53]
surface	58.0	[60, 48, 51, 55, 58]
reduction	58.0	[60, 48, 51, 55, 58]
surface	60.0	[60, 50, 53, 57, 60]
reduction	60.0	[60, 50, 53, 57, 60]
surface	62.0	[60, 51, 55, 58, 62]
reduction	62.0	[60, 51, 55, 58, 62]
surface	64.0	[60, 50, 53, 57, 60]
reduction	64.0	[60, 50, 53, 57, 60]
surface	65.0	[67, 50, 53, 57, 60]
surface	65.5	[65, 50, 53, 57, 60]
surface	66.0	[60, 48, 51, 55, 58]
reduction	66.0	[60, 48, 51, 55, 58]
