tonality	2.0	[62, 64, 65, 67, 69, 71, 72]
grouping	2.0	[64, 67]
surface	2.0	[69, 50, 55, 57, 60]
reduction	2.0	[74, 50, 55, 57, 60]
surface	1.5	[74, 50, 55, 57, 60]
surface	2.0	[74, 50, 55, 57, 60]
surface	6.0	[74, 50, 55, 57, 60]
reduction	6.0	[74, 50, 55, 57, 60]
surface	10.0	[74, 50, 55, 57, 60]
reduction	10.0	[74, 50, 55, 57, 60]
surface	14.0	[50, 55, 57, 60]
reduction	14.0	[50, 55, 57, 60]
surface	17.0	[72, 50, 55, 57, 60]
surface	17.5	[74, 50, 55, 57, 60]
grouping	18.0	[64]
surface	18.0	[75, 41, 46, 48, 51]
reduction	18.0	[72, 41, 46, 48, 51]
surface	18.5	[77, 41, 46, 48, 51]
surface	19.0	[72, 41, 46, 48, 51]
surface	22.0	[72, 41, 46, 48, 51]
reduction	22.0	[72, 41, 46, 48, 51]
surface	26.0	[72, 41, 46, 48, 51]
reduction	26.0	[72, 41, 46, 48, 51]
surface	30.0	[41, 46, 48, 51]
reduction	30.0	[41, 46, 48, 51]
surface	33.0	[69, 41, 46, 48, 51]
surface	33.5	[74, 41, 46, 48, 51]
reduction	34.0	[41, 46, 48, 51]
surface	37.0	[72]
surface	37.5	[77]
grouping	38.0	[64, 67]
surface	38.0	[77, 39, 44, 46, 49]
reduction	38.0	[77, 39, 44, 46, 49]
surface	42.0	[77, 39, 44, 46, 49]
reduction	42.0	[77, 39, 44, 46, 49]
surface	46.0	[77, 39, 44, 46, 49]
reduction	46.0	[77, 39, 44, 46, 49]
surface	50.0	[39, 44, 46, 49]
reduction	50.0	[39, 44, 46, 49]
surface	53.0	[75, 39, 44, 46, 49]
surface	53.5	[76, 39, 44, 46, 49]
grouping	54.0	[64]
surface	54.0	[76, 37, 42, 44, 47]
reduction	54.0	[73, 37, 42, 44, 47]
surface	54.5	[78, 37, 42, 44, 47]
surface	55.0	[73, 37, 42, 44, 47]
surface	58.0	[73, 37, 42, 44, 47]
reduction	58.0	[73, 37, 42, 44, 47]
surface	62.0	[73, 37, 42, 44, 47]
reduction	62.0	[73, 37, 42, 44, 47]
surface	66.0	[37, 42, 44, 47]
reduction	66.0	[37, 42, 44, 47]
surface	69.0	[69, 37, 42, 44, 47]
surface	69.5	[74, 37, 42, 44, 47]
grouping	70.0	[64, 67]
surface	70.0	[74, 50, 55, 57, 60]
reduction	70.0	[74, 50, 55, 57, 60]
surface	74.0	[74, 50, 55, 57, 60]
reduction	74.0	[74, 50, 55, 57, 60]
surface	78.0	[74, 50, 55, 57, 60]
reduction	78.0	[74, 50, 55, 57, 60]
surface	82.0	[50, 55, 57, 60]
reduction	82.0	[50, 55, 57, 60]
surface	85.0	[72, 50, 55, 57, 60]
surface	85.5	[74, 50, 55, 57, 60]
grouping	86.0	[64]
surface	86.0	[75, 41, 46, 48, 51]
reduction	86.0	[72, 41, 46, 48, 51]
surface	86.5	[77, 41, 46, 48, 51]
surface	87.0	[72, 41, 46, 48, 51]
surface	90.0	[72, 41, 46, 48, 51]
reduction	90.0	[72, 41, 46, 48, 51]
surface	94.0	[72, 41, 46, 48, 51]
reduction	94.0	[72, 41, 46, 48, 51]
surface	98.0	[41, 46, 48, 51]
reduction	98.0	[41, 46, 48, 51]
surface	102.0	[50, 55, 57, 60]
reduction	102.0	[50, 55, 57, 60]
