tonality	0.0	[60, 62, 63, 65, 67, 68, 70]
grouping	0.0	[54, 58, 63]
surface	0.0	[60, 48, 51, 55, 60]
reduction	0.0	[60, 48, 51, 55, 60]
surface	2.0	[62, 48, 51, 55, 60]
surface	3.0	[63, 48, 51, 55, 60]
surface	4.0	[62, 48, 51, 55, 59]
reduction	4.0	[62, 48, 51, 55, 59]
surface	5.5	[63, 48, 51, 55, 59]
surface	6.0	[62, 48, 51, 55, 59]
surface	8.0	[60, 48, 51, 55, 58]
reduction	8.0	[60, 48, 51, 55, 58]
surface	10.0	[62, 48, 51, 55, 58]
surface	11.0	[63, 48, 51, 55, 58]
surface	12.0	[62, 48, 51, 55, 57]
reduction	12.0	[62, 48, 51, 55, 57]
surface	13.5	[63, 48, 51, 55, 57]
surface	14.0	[62, 48, 51, 55, 57]
grouping	16.0	[54]
surface	16.0	[60, 44, 48, 51, 55]
reduction	16.0	[60, 44, 48, 51, 55]
surface	18.0	[62, 44, 48, 51, 55]
surface	19.0	[63, 44, 48, 51, 55]
surface	20.0	[70, 41, 44, 48, 51]
reduction	20.0	[70, 41, 44, 48, 51]
surface	22.0	[68, 41, 44, 48, 51]
reduction	22.0	[68, 41, 44, 48, 51]
surface	23.0	[67, 41, 44, 48, 51]
surface	24.0	[65, 38, 41, 44, 48]
reduction	24.0	[65, 38, 41, 44, 48]
surface	28.0	[65, 43, 47, 50, 53, 56]
reduction	28.0	[65, 43, 47, 50, 53, 56]
grouping	32.0	[54, 58]
surface	32.0	[63, 48, 51, 55, 60]
reduction	32.0	[63, 48, 51, 55, 60]
surface	34.0	[65, 48, 51, 55, 60]
surface	35.0	[67, 48, 51, 55, 60]
surface	36.0	[65, 48, 51, 55, 59]
reduction	36.0	[65, 48, 51, 55, 59]
surface	37.5	[67, 48, 51, 55, 59]
surface	38.0	[65, 48, 51, 55, 59]
surface	40.0	[63, 48, 51, 55, 58]
reduction	40.0	[63, 48, 51, 55, 58]
surface	42.0	[65, 48, 51, 55, 58]
surface	43.0	[67, 48, 51, 55, 58]
surface	44.0	[65, 48, 51, 55, 57]
reduction	44.0	[65, 48, 51, 55, 57]
surface	45.5	[67, 48, 51, 55, 57]
surface	46.0	[65, 48, 51, 55, 57]
tonality	48.0	[63, 65, 67, 68, 70, 72, 74]
grouping	48.0	[54]
surface	48.0	[63, 44, 48, 51, 55]
reduction	48.0	[63, 44, 48, 51, 55]
surface	50.0	[65, 44, 48, 51, 55]
surface	51.0	[67, 44, 48, 51, 55]
surface	52.0	[74, 41, 44, 48, 51]
reduction	52.0	[74, 41, 44, 48, 51]
surface	53.5	[72, 41, 44, 48, 51]
surface	54.0	[70, 41, 44, 48, 51]
reduction	54.0	[70, 41, 44, 48, 51]
surface	55.5	[69, 41, 44, 48, 51]
surface	56.0	[68, 44, 48, 51, 53]
reduction	56.0	[68, 44, 48, 51, 53]
surface	60.0	[68, 46, 50, 53, 56, 59]
reduction	60.0	[68, 46, 50, 53, 56, 59]
surface	62.0	[67, 46, 50, 53, 56, 59]
surface	63.0	[65, 46, 50, 53, 56, 59]
grouping	64.0	[56, 60]
surface	64.0	[70, 39, 43, 46, 50]
reduction	64.0	[70, 39, 43, 46, 50]
surface	65.5	[63, 39, 43, 46, 50]
surface	66.0	[63, 41, 44, 48, 51]
reduction	66.0	[63, 41, 44, 48, 51]
surface	67.0	[62, 41, 44, 48, 51]
surface	68.0	[63, 43, 46, 50, 53]
reduction	68.0	[63, 43, 46, 50, 53]
surface	70.0	[63, 41, 44, 48, 51]
reduction	70.0	[63, 41, 44, 48, 51]
surface	71.0	[62, 41, 44, 48, 51]
surface	72.0	[72, 39, 43, 46, 50]
reduction	72.0	[72, 39, 43, 46, 50]
surface	73.5	[63, 39, 43, 46, 50]
surface	74.0	[63, 41, 44, 48, 51]
reduction	74.0	[63, 41, 44, 48, 51]
surface	75.0	[62, 41, 44, 48, 51]
surface	76.0	[63, 43, 46, 50, 53]
reduction	76.0	[63, 43, 46, 50, 53]
surface	78.0	[63, 41, 44, 48, 51]
reduction	78.0	[63, 41, 44, 48, 51]
surface	79.0	[62, 41, 44, 48, 51]
tonality	80.0	[60, 62, 63, 65, 67, 68, 70]
grouping	80.0	[56]
surface	80.0	[74, 39, 43, 46, 50]
reduction	80.0	[74, 39, 43, 46, 50]
surface	81.5	[63, 39, 43, 46, 50]
surface	82.0	[63, 43, 47, 50, 53]
reduction	82.0	[63, 43, 47, 50, 53]
surface	83.0	[62, 43, 47, 50, 53]
surface	84.0	[63, 48, 51, 55]
reduction	84.0	[63, 48, 51, 55]
surface	86.0	[65, 46, 50, 53, 56]
reduction	86.0	[65, 46, 50, 53, 56]
surface	87.0	[67, 45, 49, 52, 55]
reduction	87.0	[67, 45, 49, 52, 55]
surface	88.0	[72, 44, 48, 51, 55]
reduction	88.0	[72, 44, 48, 51, 55]
surface	92.0	[72, 50, 53, 56, 60]
reduction	92.0	[72, 50, 53, 56, 60]
surface	94.0	[62, 43, 47, 50, 53, 56]
reduction	94.0	[62, 43, 47, 50, 53, 56]
grouping	96.0	[54, 58, 61]
surface	96.0	[60, 48, 51, 55, 60]
reduction	96.0	[60, 48, 51, 55, 60]
surface	98.0	[62, 48, 51, 55, 60]
surface	99.0	[63, 48, 51, 55, 60]
surface	100.0	[62, 48, 51, 55, 59]
reduction	100.0	[62, 48, 51, 55, 59]
surface	101.5	[63, 48, 51, 55, 59]
surface	102.0	[62, 48, 51, 55, 59]
surface	104.0	[63, 48, 51, 55, 58]
reduction	104.0	[63, 48, 51, 55, 58]
surface	106.0	[65, 48, 51, 55, 58]
surface	107.0	[67, 48, 51, 55, 58]
surface	108.0	[65, 48, 51, 55, 57]
reduction	108.0	[65, 48, 51, 55, 57]
surface	109.5	[67, 48, 51, 55, 57]
surface	110.0	[65, 48, 51, 55, 57]
grouping	112.0	[54]
surface	112.0	[72, 44, 48, 51, 55]
reduction	112.0	[72, 44, 48, 51, 55]
surface	114.0	[74, 44, 48, 51, 55]
surface	115.0	[75, 44, 48, 51, 55]
surface	116.0	[74, 50, 53, 56, 60]
reduction	116.0	[74, 50, 53, 56, 60]
surface	117.5	[75, 50, 53, 56, 60]
surface	118.0	[74, 43, 47, 50, 53, 56]
reduction	118.0	[74, 43, 47, 50, 53, 56]
surface	120.0	[75, 48, 51, 55]
reduction	120.0	[75, 48, 51, 55]
surface	124.0	[75, 46, 50, 53, 56]
reduction	124.0	[75, 46, 50, 53, 56]
surface	126.0	[75, 45, 49, 52, 55, 63]
reduction	126.0	[75, 45, 49, 52, 55, 63]
grouping	128.0	[54]
surface	128.0	[63, 44, 48, 51, 55]
reduction	128.0	[63, 44, 48, 51, 55]
surface	130.0	[65, 44, 48, 51, 55]
surface	131.0	[67, 44, 48, 51, 55]
surface	132.0	[65, 41, 44, 48, 51]
reduction	132.0	[65, 41, 44, 48, 51]
surface	133.5	[67, 41, 44, 48, 51]
surface	134.0	[65, 46, 50, 53, 56, 59]
reduction	134.0	[65, 46, 50, 53, 56, 59]
surface	136.0	[63, 39, 43, 46, 48]
reduction	136.0	[63, 39, 43, 46, 48]
surface	140.0	[50, 53, 56, 60]
reduction	140.0	[50, 53, 56, 60]
surface	142.0	[43, 47, 50, 53, 56]
reduction	142.0	[43, 47, 50, 53, 56]
surface	144.0	[63, 39, 43, 46, 48]
reduction	144.0	[63, 39, 43, 46, 48]
