tonality	2.0	[61, 63, 65, 66, 68, 70, 72]
grouping	2.0	[58, 61]
surface	2.0	[68, 49, 53, 56, 60]
reduction	2.0	[72, 49, 53, 56, 60]
surface	1.0	[70, 49, 53, 56, 60]
surface	2.0	[72, 49, 53, 56, 60]
surface	3.0	[72, 49, 53, 56, 60]
surface	4.0	[72, 49, 53, 56, 60]
surface	6.0	[72, 49, 53, 56, 60]
reduction	6.0	[72, 49, 53, 56, 60]
surface	8.0	[73, 46, 49, 53, 56]
reduction	8.0	[73, 46, 49, 53, 56]
surface	10.0	[73, 51, 55, 58, 61]
reduction	10.0	[73, 51, 55, 58, 61]
surface	14.0	[65, 51, 55, 58, 61]
reduction	14.0	[65, 51, 55, 58, 61]
surface	17.0	[70, 51, 55, 58, 61]
grouping	18.0	[60]
surface	18.0	[70, 51, 54, 58, 61]
reduction	18.0	[68, 51, 54, 58, 61]
surface	19.0	[68, 51, 54, 58, 61]
surface	20.0	[68, 51, 54, 58, 61]
surface	22.0	[68, 44, 48, 51, 54]
reduction	22.0	[66, 44, 48, 51, 54]
surface	23.0	[66, 44, 48, 51, 54]
surface	24.0	[66, 44, 48, 51, 54]
surface	25.0	[65, 44, 48, 51, 54]
surface	26.0	[65, 49, 53, 56, 60]
reduction	26.0	[65, 49, 53, 56, 60]
surface	30.0	[65, 45, 49, 53, 55]
reduction	30.0	[65, 45, 49, 53, 55]
surface	32.0	[68, 44, 48, 51, 54]
reduction	32.0	[68, 44, 48, 51, 54]
surface	33.0	[70, 44, 48, 51, 54]
surface	34.0	[65, 49, 53, 56, 60]
reduction	34.0	[65, 49, 53, 56, 60]
surface	36.0	[49, 53, 56, 59]
reduction	36.0	[65, 49, 53, 56, 59]
surface	37.5	[70, 49, 53, 56, 59]
tonality	38.0	[66, 68, 70, 71, 73, 75, 77]
grouping	38.0	[60, 63]
surface	38.0	[73, 42, 46, 49, 53]
reduction	38.0	[73, 42, 46, 49, 53]
surface	38.5	[70, 42, 46, 49, 53]
surface	39.0	[73, 42, 46, 49, 53]
surface	40.0	[61, 42, 46, 49, 53]
surface	41.5	[70, 42, 46, 49, 53]
surface	42.0	[73, 43, 46, 49, 52]
reduction	42.0	[73, 43, 46, 49, 52]
surface	42.5	[70, 43, 46, 49, 52]
surface	43.0	[73, 43, 46, 49, 52]
surface	44.0	[61, 43, 46, 49, 52]
surface	45.5	[70, 43, 46, 49, 52]
surface	46.0	[73, 44, 49, 53, 58]
reduction	46.0	[73, 44, 49, 53, 58]
surface	46.6666666667	[70, 44, 49, 53, 58]
surface	47.3333333333	[73, 44, 49, 53, 58]
surface	48.0	[70, 44, 49, 53, 58]
surface	49.0	[65, 44, 49, 53, 58]
surface	50.0	[63, 44, 47, 51, 54]
reduction	50.0	[75, 44, 47, 51, 54]
surface	52.0	[63, 49, 53, 56, 59]
reduction	52.0	[75, 49, 53, 56, 59]
surface	53.5	[70, 49, 53, 56, 59]
grouping	54.0	[58]
surface	54.0	[73, 42, 46, 49, 53]
reduction	54.0	[73, 42, 46, 49, 53]
surface	54.5	[70, 42, 46, 49, 53]
surface	55.0	[73, 42, 46, 49, 53]
surface	56.0	[61, 42, 46, 49, 53]
surface	57.5	[70, 42, 46, 49, 53]
surface	58.0	[73, 43, 46, 49, 52]
reduction	58.0	[73, 43, 46, 49, 52]
surface	58.5	[70, 43, 46, 49, 52]
surface	59.0	[73, 43, 46, 49, 52]
surface	60.0	[61, 43, 46, 49, 52]
surface	61.5	[70, 43, 46, 49, 52]
surface	62.0	[73, 44, 49, 53, 58]
reduction	62.0	[73, 44, 49, 53, 58]
surface	62.6666666667	[70, 44, 49, 53, 58]
surface	63.3333333333	[73, 44, 49, 53, 58]
surface	64.0	[70, 46, 49, 53, 56, 59]
reduction	64.0	[73, 46, 49, 53, 56, 59]
surface	65.0	[70, 46, 49, 53, 56, 59]
tonality	66.0	[61, 63, 65, 66, 68, 70, 72]
surface	66.0	[70, 39, 42, 46, 49]
reduction	66.0	[70, 39, 42, 46, 49]
surface	68.0	[68, 44, 48, 52, 54]
reduction	68.0	[68, 44, 48, 52, 54]
surface	69.0	[70, 44, 48, 52, 54]
grouping	70.0	[60, 63]
surface	70.0	[72, 49, 53, 56, 60]
reduction	70.0	[72, 49, 53, 56, 60]
surface	71.0	[72, 49, 53, 56, 60]
surface	72.0	[72, 51, 54, 58, 61]
reduction	72.0	[72, 51, 54, 58, 61]
surface	73.0	[72, 52, 55, 58, 61]
reduction	73.0	[72, 52, 55, 58, 61]
surface	74.0	[72, 53, 56, 60, 61]
reduction	74.0	[72, 53, 56, 60, 61]
