tonality	0.0	[63, 65, 67, 68, 70, 72, 74]
grouping	0.0	[58, 61]
surface	0.0	[58, 39, 43, 46, 50]
reduction	0.0	[58, 39, 43, 46, 50]
surface	1.0	[63, 39, 43, 46, 50]
reduction	1.0	[63, 39, 43, 46, 50]
surface	2.0	[68, 48, 52, 56, 58]
reduction	2.0	[68, 48, 52, 56, 58]
surface	3.0	[67, 48, 52, 56, 58]
reduction	3.0	[67, 48, 52, 56, 58]
surface	4.0	[63, 41, 44, 48, 51]
reduction	4.0	[63, 41, 44, 48, 51]
surface	6.0	[63, 46, 50, 53, 56]
reduction	6.0	[63, 46, 50, 53, 56]
surface	8.0	[58, 39, 43, 46, 50]
reduction	8.0	[58, 39, 43, 46, 50]
surface	9.0	[63, 44, 48, 51, 54]
reduction	9.0	[63, 44, 48, 51, 54]
surface	10.0	[68, 37, 41, 44, 47]
reduction	10.0	[68, 37, 41, 44, 47]
surface	11.0	[67, 36, 40, 43, 46]
reduction	11.0	[67, 36, 40, 43, 46]
surface	12.0	[63, 41, 45, 49, 51]
reduction	12.0	[63, 41, 45, 49, 51]
surface	13.0	[67, 41, 45, 49, 51]
surface	14.0	[65, 46, 50, 53, 56]
reduction	14.0	[65, 46, 50, 53, 56]
grouping	16.0	[58]
surface	16.0	[58, 39, 43, 46, 50]
reduction	16.0	[58, 39, 43, 46, 50]
surface	17.0	[63, 39, 43, 46, 50]
reduction	17.0	[63, 39, 43, 46, 50]
surface	18.0	[72, 44, 48, 51, 54]
reduction	18.0	[72, 44, 48, 51, 54]
surface	19.0	[70, 44, 48, 51, 54]
surface	20.0	[68, 49, 53, 56, 59]
reduction	20.0	[68, 49, 53, 56, 59]
surface	22.0	[67, 48, 52, 55, 58]
reduction	22.0	[67, 48, 52, 55, 58]
surface	24.0	[65, 41, 45, 48, 51]
reduction	24.0	[65, 41, 45, 48, 51]
surface	26.0	[65, 47, 51, 54, 57, 61]
reduction	26.0	[65, 47, 51, 54, 57, 61]
surface	28.0	[65, 46, 50, 53, 56]
reduction	28.0	[65, 46, 50, 53, 56]
surface	31.0	[67, 46, 50, 53, 56]
surface	31.5	[68, 46, 50, 53, 56]
grouping	32.0	[58, 61]
surface	32.0	[70, 39, 43, 46, 50]
reduction	32.0	[70, 39, 43, 46, 50]
surface	33.5	[63, 39, 43, 46, 50]
surface	34.0	[63, 45, 49, 52, 55]
reduction	34.0	[63, 45, 49, 52, 55]
surface	35.0	[63, 45, 49, 52, 55]
surface	36.0	[67, 44, 48, 51, 55]
reduction	36.0	[67, 44, 48, 51, 55]
