tonality	0.0	[66, 68, 70, 71, 73, 75, 76]
grouping	0.0	[61, 63, 68]
melody	1.0	[66]
surface	1.0	[66, 61]
reduction	1.0	[66, 61, 58, 54]
melody	3.0	[68]
surface	3.0	[68, 64]
reduction	3.0	[68, 64, 61, 49]
melody	3.5	[68]
surface	3.5	[68, 63]
surface	11/3	[68, 64]
surface	23/6	[68, 63]
melody	4.0	[66]
surface	4.0	[66, 61]
reduction	4.0	[66, 61, 58, 54]
melody	4.5	[66]
surface	4.5	[66, 66]
melody	5.0	[68]
surface	5.0	[68, 64]
reduction	5.0	[68, 64, 61, 49]
melody	5.5	[68]
surface	5.5	[68, 63]
surface	17/3	[68, 64]
surface	35/6	[68, 63]
melody	6.0	[66]
surface	6.0	[66, 61]
reduction	6.0	[66, 61, 58, 54]
melody	8.0	[66]
surface	8.0	[66, 61]
grouping	9.0	[61]
melody	9.0	[68]
surface	9.0	[68, 64]
reduction	9.0	[68, 64, 59, 52]
melody	9.5	[68]
surface	9.5	[68, 64]
surface	9.75	[68, 66]
melody	10.0	[73]
surface	10.0	[73, 68]
reduction	10.0	[73, 68, 64, 49]
melody	10.5	[73]
surface	10.5	[73, 66]
surface	32/3	[73, 68]
surface	65/6	[73, 66]
melody	11.0	[70]
surface	11.0	[70, 64]
reduction	11.0	[70, 64, 59, 49]
melody	11.5	[66]
surface	11.5	[66, 63]
melody	12.0	[66]
surface	12.0	[66, 61]
reduction	12.0	[66, 61, 58, 54]
melody	13.0	[66]
surface	13.0	[66, 61]
grouping	15.0	[61, 63]
melody	15.0	[66]
surface	15.0	[66, 62]
reduction	15.0	[66, 62, 57, 54]
melody	15.5	[64]
surface	15.5	[64, 60]
melody	47/3	[66]
surface	47/3	[66, 62]
melody	95/6	[64]
surface	95/6	[64, 60]
melody	16.0	[66]
surface	16.0	[66, 62]
melody	17.0	[64]
surface	17.0	[64, 60]
reduction	17.0	[64, 60, 60, 57]
melody	17.5	[66]
surface	17.5	[66, 62]
melody	17.75	[64]
surface	17.75	[64, 60]
melody	18.0	[63]
surface	18.0	[63, 59]
reduction	18.0	[66, 63, 57, 54]
melody	18.25	[64]
surface	18.25	[64, 61]
melody	18.5	[66]
surface	18.5	[66, 63]
melody	19.0	[66]
surface	19.0	[66, 63]
reduction	19.0	[66, 63, 61, 57]
grouping	21.0	[61]
melody	21.0	[66]
