tonality	0.0	[60, 62, 64, 65, 67, 69, 71]
grouping	0.0	[64, 67, 71]
melody	0.0	[72]
surface	0.0	[72, 64, 52, 48]
reduction	0.0	[72, 64, 52, 48]
melody	0.5	[71]
surface	0.5	[71, 67, 55, 52]
reduction	0.5	[71, 67, 55, 52]
melody	1.0	[72]
surface	1.0	[72, 64, 52, 48]
reduction	1.0	[72, 64, 52, 48]
melody	2.0	[71]
surface	2.0	[71, 67, 55, 52]
reduction	2.0	[71, 67, 55, 52]
melody	3.0	[72]
surface	3.0	[72, 64, 60, 48]
reduction	3.0	[72, 64, 60, 48]
melody	4.0	[69]
surface	4.0	[69, 64, 59, 48]
reduction	4.0	[69, 64, 59, 48]
surface	5.0	[65, 69, 50, 59]
reduction	5.0	[65, 69, 50, 59]
melody	6.0	[67]
surface	6.0	[67, 59, 52]
reduction	6.0	[67, 59, 52]
melody	7.0	[69]
surface	7.0	[69, 60, 59, 50]
reduction	7.0	[71, 62, 59, 43]
melody	7.5	[71]
surface	7.5	[71, 62, 55, 43]
melody	8.0	[72]
surface	8.0	[72, 64, 55, 45]
reduction	8.0	[71, 62, 55, 47]
melody	8.5	[71]
surface	8.5	[71, 62, 47, 55]
melody	9.0	[67]
surface	9.0	[67, 64, 59, 48]
reduction	9.0	[67, 64, 59, 48]
melody	10.0	[69]
surface	10.0	[69, 60, 59, 50]
reduction	10.0	[71, 62, 59, 43]
melody	10.5	[71]
surface	10.5	[71, 62, 55, 43]
melody	11.0	[72]
surface	11.0	[72, 64, 45, 55]
reduction	11.0	[71, 62, 55, 47]
melody	11.5	[71]
surface	11.5	[71, 62, 62, 47]
melody	12.0	[72]
surface	12.0	[72, 67, 60, 45]
reduction	12.0	[72, 66, 60, 45]
surface	12.5	[66, 72, 47, 60]
melody	13.0	[67]
surface	13.0	[67, 64, 59, 48]
reduction	13.0	[67, 64, 59, 48]
surface	13.5	[67, 64, 50, 59]
melody	14.0	[67]
surface	14.0	[67, 64, 59, 52]
reduction	14.0	[67, 64, 59, 52]
melody	15.0	[69]
surface	15.0	[69, 60, 60, 45]
reduction	15.0	[69, 60, 60, 45]
surface	15.5	[62, 69, 47, 60]
surface	16.0	[64, 69, 59, 48]
reduction	16.0	[65, 69, 59, 50]
surface	16.5	[65, 69, 50, 59]
melody	17.0	[67]
surface	17.0	[67, 64, 59, 52]
reduction	17.0	[67, 64, 59, 52]
grouping	18.0	[64, 67]
melody	18.0	[72]
surface	18.0	[72, 64, 52, 48]
reduction	18.0	[72, 64, 52, 48]
melody	18.5	[71]
surface	18.5	[71, 67, 55, 52]
reduction	18.5	[71, 67, 55, 52]
melody	19.0	[72]
surface	19.0	[72, 64, 52, 48]
reduction	19.0	[72, 64, 52, 48]
melody	20.0	[71]
surface	20.0	[71, 67, 55, 52]
reduction	20.0	[71, 67, 55, 52]
melody	21.0	[72]
surface	21.0	[72, 64, 60, 48]
reduction	21.0	[72, 64, 60, 48]
melody	22.0	[69]
surface	22.0	[69, 64, 59, 48]
reduction	22.0	[69, 64, 59, 48]
surface	22.5	[65, 69, 50, 59]
melody	23.0	[67]
surface	23.0	[67, 64, 59, 52]
reduction	23.0	[67, 64, 59, 52]
melody	24.0	[69]
surface	24.0	[69, 60, 59, 50]
reduction	24.0	[71, 62, 59, 43]
melody	24.5	[71]
surface	24.5	[71, 62, 55, 43]
melody	25.0	[72]
surface	25.0	[72, 64, 55, 45]
reduction	25.0	[71, 62, 55, 47]
melody	25.5	[71]
surface	25.5	[71, 66, 62, 47]
melody	26.0	[72]
surface	26.0	[72, 67, 60, 45]
reduction	26.0	[72, 67, 60, 45]
surface	26.5	[66, 72, 47, 60]
melody	27.0	[67]
surface	27.0	[67, 64, 59, 48]
reduction	27.0	[67, 64, 59, 48]
surface	27.5	[67, 64, 50, 59]
melody	28.0	[67]
surface	28.0	[67, 62, 59, 52]
reduction	28.0	[67, 60, 59, 52]
surface	28.5	[60, 67, 57, 52]
melody	29.0	[67]
surface	29.0	[67, 59, 59, 48]
reduction	29.0	[67, 62, 59, 48]
surface	29.25	[60, 67, 59, 48]
surface	29.5	[62, 67, 59, 48]
melody	30.0	[69]
surface	30.0	[69, 64, 60, 45]
reduction	30.0	[69, 64, 60, 45]
surface	30.5	[69, 64, 47, 60]
melody	31.0	[69]
surface	31.0	[69, 64, 59, 48]
reduction	31.0	[69, 65, 59, 50]
surface	31.5	[65, 69, 50, 59]
melody	32.0	[67]
surface	32.0	[67, 64, 59, 52]
reduction	32.0	[67, 64, 59, 52]
melody	33.0	[69]
surface	33.0	[69, 60, 59, 50]
reduction	33.0	[71, 62, 59, 43]
melody	33.5	[71]
surface	33.5	[71, 62, 55, 43]
melody	34.0	[72]
surface	34.0	[72, 64, 45, 55]
reduction	34.0	[71, 62, 55, 47]
melody	34.5	[71]
surface	34.5	[71, 62, 55, 47]
melody	35.0	[67]
surface	35.0	[67, 64, 59, 48]
reduction	35.0	[67, 64, 57, 48]
surface	35.5	[67, 64, 57, 48]
melody	36.0	[69]
surface	36.0	[69, 60, 55, 50]
reduction	36.0	[71, 62, 55, 43]
melody	36.5	[71]
surface	36.5	[71, 62, 43, 55]
melody	37.0	[72]
surface	37.0	[72, 64, 45, 55]
reduction	37.0	[71, 62, 62, 47]
melody	37.5	[71]
surface	37.5	[71, 62, 62, 47]
melody	38.0	[72]
surface	38.0	[72, 67, 60, 45]
reduction	38.0	[72, 66, 60, 45]
surface	38.5	[66, 72, 62, 47]
melody	39.0	[67]
surface	39.0	[67, 64, 59, 48]
reduction	39.0	[67, 64, 59, 48]
melody	40.0	[69]
surface	40.0	[69, 60, 60, 45]
reduction	40.0	[69, 60, 60, 45]
surface	40.5	[62, 69, 47, 60]
surface	41.0	[64, 69, 59, 48]
reduction	41.0	[65, 69, 59, 50]
surface	41.5	[65, 69, 50, 59]
melody	42.0	[67]
surface	42.0	[67, 64, 59, 52]
reduction	42.0	[67, 64, 59, 52]
melody	43.0	[69]
surface	43.0	[69, 66, 60, 43]
reduction	43.0	[71, 67, 62, 43]
melody	43.5	[71]
surface	43.5	[71, 67, 62, 43]
melody	44.0	[67]
surface	44.0	[67, 64, 59, 45]
reduction	44.0	[66, 62, 62, 47]
surface	44.25	[67, 64, 60, 45]
melody	44.5	[66]
surface	44.5	[66, 62, 62, 47]
melody	45.0	[67]
surface	45.0	[67, 64, 59, 48]
reduction	45.0	[67, 64, 59, 48]
surface	45.5	[67, 64, 50, 59]
melody	46.0	[69]
surface	46.0	[69, 66, 60, 43]
reduction	46.0	[69, 64, 60, 43]
melody	46.5	[71]
surface	46.5	[71, 67, 62, 52]
melody	47.0	[72]
surface	47.0	[72, 64, 64, 45]
reduction	47.0	[72, 64, 64, 47]
surface	47.5	[72, 64, 47, 64]
melody	48.0	[69]
surface	48.0	[69, 64, 59, 48]
reduction	48.0	[69, 65, 59, 50]
surface	48.25	[65, 69, 50, 59]
melody	48.5	[67]
surface	48.5	[67, 64, 59, 52]
melody	49.0	[67]
surface	49.0	[67, 64, 59, 52]
reduction	49.0	[67, 64, 52, 59]
grouping	51.0	[64, 67]
melody	51.0	[72]
surface	51.0	[72, 64, 52, 48]
reduction	51.0	[72, 64, 52, 48]
melody	52.0	[71]
surface	52.0	[71, 67, 55, 52]
reduction	52.0	[71, 67, 55, 52]
melody	53.0	[72]
surface	53.0	[72, 64, 60, 48]
reduction	53.0	[72, 64, 60, 48]
melody	54.0	[69]
surface	54.0	[69, 64, 59, 48]
reduction	54.0	[69, 65, 59, 50]
surface	54.5	[65, 69, 50, 59]
melody	55.0	[67]
surface	55.0	[67, 64, 59, 52]
reduction	55.0	[67, 64, 59, 52]
melody	56.0	[69]
surface	56.0	[69, 60, 59, 50]
reduction	56.0	[71, 62, 59, 43]
melody	56.5	[71]
surface	56.5	[71, 62, 55, 43]
melody	57.0	[72]
surface	57.0	[72, 64, 55, 45]
reduction	57.0	[71, 62, 55, 47]
melody	57.5	[71]
surface	57.5	[71, 62, 47, 55]
melody	58.0	[67]
surface	58.0	[67, 64, 59, 48]
reduction	58.0	[67, 64, 59, 48]
melody	59.0	[69]
surface	59.0	[69, 60, 59, 50]
reduction	59.0	[71, 62, 59, 50]
melody	59.5	[71]
surface	59.5	[71, 62, 55, 47]
melody	60.0	[72]
surface	60.0	[72, 64, 55, 45]
reduction	60.0	[64, 71, 55, 47]
melody	60.5	[71]
surface	60.5	[71, 67, 62, 47]
melody	61.0	[72]
surface	61.0	[72, 67, 60, 45]
reduction	61.0	[72, 66, 62, 47]
surface	61.5	[66, 72, 62, 47]
melody	62.0	[67]
surface	62.0	[67, 64, 59, 48]
reduction	62.0	[67, 64, 59, 48]
surface	62.5	[67, 64, 50, 59]
melody	63.0	[67]
surface	63.0	[67, 64, 59, 52]
reduction	63.0	[67, 64, 59, 52]
melody	64.0	[69]
surface	64.0	[69, 64, 60, 45]
reduction	64.0	[69, 64, 60, 45]
surface	64.5	[69, 64, 47, 60]
surface	65.0	[69, 64, 48, 60]
reduction	65.0	[69, 64, 48, 60]
surface	65.5	[65, 69, 50, 60]
melody	66.0	[67]
surface	66.0	[67, 64, 59, 52]
reduction	66.0	[67, 64, 59, 52]
grouping	67.0	[64, 67]
melody	67.0	[72]
surface	67.0	[72, 64, 52, 48]
reduction	67.0	[72, 64, 52, 48]
melody	67.5	[71]
surface	67.5	[71, 67, 55, 52]
reduction	67.5	[71, 67, 55, 52]
melody	68.0	[72]
surface	68.0	[72, 64, 52, 48]
reduction	68.0	[72, 64, 52, 48]
melody	69.0	[71]
surface	69.0	[71, 67, 55, 52]
reduction	69.0	[71, 67, 55, 52]
melody	70.0	[72]
surface	70.0	[72, 64, 60, 48]
reduction	70.0	[72, 64, 60, 48]
melody	71.0	[69]
surface	71.0	[69, 64, 59, 48]
reduction	71.0	[69, 65, 59, 50]
surface	71.5	[65, 69, 50, 59]
melody	72.0	[67]
surface	72.0	[67, 64, 59, 52]
reduction	72.0	[67, 64, 59, 52]
melody	73.0	[69]
surface	73.0	[69, 64, 60, 45]
reduction	73.0	[69, 64, 60, 45]
melody	73.5	[69]
surface	73.5	[69, 64, 62, 47]
melody	74.0	[69]
surface	74.0	[69, 64, 59, 48]
reduction	74.0	[65, 69, 59, 50]
melody	74.5	[69]
surface	74.5	[69, 65, 59, 50]
melody	75.0	[67]
surface	75.0	[67, 64, 59, 52]
reduction	75.0	[67, 64, 59, 52]
melody	76.0	[67]
surface	76.0	[67, 64, 59, 48]
reduction	76.0	[67, 64, 59, 48]
surface	77.0	[67, 64, 45, 59]
reduction	77.0	[67, 64, 45, 59]
melody	78.0	[69]
surface	78.0	[69, 66, 60, 43]
reduction	78.0	[69, 66, 60, 43]
melody	79.0	[71]
surface	79.0	[71, 67, 62, 52]
reduction	79.0	[71, 67, 62, 52]
melody	80.0	[67]
surface	80.0	[67, 64, 59, 45]
reduction	80.0	[67, 64, 62, 45]
surface	80.25	[67, 64, 60, 45]
melody	80.5	[66]
surface	80.5	[66, 62, 62, 47]
melody	81.0	[67]
surface	81.0	[67, 64, 59, 48]
reduction	81.0	[67, 64, 59, 48]
melody	82.0	[69]
surface	82.0	[69, 66, 60, 43]
reduction	82.0	[71, 67, 62, 43]
melody	82.5	[71]
surface	82.5	[71, 67, 62, 52]
melody	83.0	[72]
surface	83.0	[72, 64, 60, 45]
reduction	83.0	[72, 64, 60, 47]
surface	83.5	[72, 64, 47, 60]
melody	84.0	[69]
surface	84.0	[69, 64, 59, 48]
reduction	84.0	[69, 64, 59, 48]
surface	85.0	[65, 69, 50, 59]
reduction	85.0	[65, 69, 50, 59]
melody	86.0	[67]
surface	86.0	[67, 64, 59, 52]
reduction	86.0	[67, 64, 59, 52]
melody	88.0	[69]
surface	88.0	[69, 61, 57, 45]
reduction	88.0	[69, 61, 57, 45]
melody	89.0	[69]
surface	89.0	[69, 61, 57, 45]
melody	91.0	[69]
surface	91.0	[69, 60, 57, 45]
reduction	91.0	[69, 60, 57, 45]
