tonality	0.0	[60, 62, 63, 65, 67, 68, 70]
grouping	0.0	[63, 67, 70]
melody	0.0	[72]
surface	0.0	[72, 63, 60, 48]
reduction	0.0	[72, 63, 60, 48]
melody	0.5	[72]
surface	0.5	[72, 63, 60, 48]
melody	1.0	[72]
surface	1.0	[72, 63, 60, 48]
melody	1.5	[72]
surface	1.5	[72, 63, 60, 48]
melody	2.0	[72]
surface	2.0	[72, 63, 60, 48]
reduction	2.0	[72, 63, 60, 48]
melody	3.0	[72]
surface	3.0	[72, 63, 60, 48]
melody	4.0	[72]
surface	4.0	[72, 65, 60, 50]
reduction	4.0	[72, 65, 60, 50]
melody	5.0	[72]
surface	5.0	[72, 67, 60, 51]
reduction	5.0	[72, 67, 60, 51]
melody	6.0	[72]
surface	6.0	[72, 68, 62, 53]
reduction	6.0	[72, 68, 62, 53]
melody	6.5	[72]
surface	6.5	[72, 68, 62, 53]
melody	8.0	[72]
surface	8.0	[72, 67, 63, 51]
reduction	8.0	[72, 67, 63, 51]
melody	9.0	[74]
surface	9.0	[74, 65, 58, 50]
reduction	9.0	[74, 65, 58, 50]
melody	10.0	[75]
surface	10.0	[75, 67, 57, 48]
reduction	10.0	[75, 67, 57, 48]
melody	10.5	[75]
surface	10.5	[75, 67, 57, 48]
melody	11.5	[75]
surface	11.5	[75, 67, 57, 48]
melody	12.0	[74]
surface	12.0	[74, 65, 57, 50]
reduction	12.0	[74, 65, 57, 50]
melody	13.0	[74]
surface	13.0	[74, 67, 59, 53]
reduction	13.0	[74, 67, 59, 53]
surface	13.5	[65, 74, 50, 59]
melody	14.0	[74]
surface	14.0	[74, 67, 59, 55]
reduction	14.0	[74, 67, 59, 55]
melody	14.5	[74]
surface	14.5	[74, 67, 59, 55]
grouping	15.0	[63]
melody	16.0	[72]
surface	16.0	[72, 67, 63, 51]
reduction	16.0	[72, 67, 63, 51]
melody	17.0	[74]
surface	17.0	[74, 65, 58, 50]
reduction	17.0	[74, 65, 58, 50]
melody	18.0	[75]
surface	18.0	[75, 67, 57, 48]
reduction	18.0	[75, 67, 57, 48]
melody	18.5	[75]
surface	18.5	[75, 67, 57, 48]
melody	19.5	[75]
surface	19.5	[75, 67, 57, 48]
melody	20.0	[74]
surface	20.0	[74, 65, 57, 50]
reduction	20.0	[74, 65, 57, 50]
melody	20.5	[74]
surface	20.5	[74, 65, 57, 50]
melody	21.0	[74]
surface	21.0	[74, 67, 59, 55]
reduction	21.0	[74, 67, 59, 55]
surface	21.5	[65, 74, 57, 50]
melody	22.0	[74]
surface	22.0	[74, 67, 58, 55]
reduction	22.0	[74, 67, 58, 55]
grouping	23.0	[63]
melody	24.0	[72]
surface	24.0	[72, 67, 63, 51]
reduction	24.0	[72, 67, 63, 51]
melody	25.0	[74]
surface	25.0	[74, 65, 58, 50]
reduction	25.0	[74, 65, 58, 50]
melody	26.0	[75]
surface	26.0	[75, 67, 57, 48]
reduction	26.0	[75, 67, 57, 48]
melody	27.0	[74]
surface	27.0	[74, 65, 57, 50]
reduction	27.0	[74, 65, 57, 50]
melody	27.5	[74]
surface	27.5	[74, 67, 59, 55]
reduction	28.0	[74, 67, 59, 55]
melody	28.5	[74]
surface	28.5	[74, 65, 57, 50]
melody	29.0	[74]
surface	29.0	[74, 67, 59, 55]
reduction	29.0	[74, 67, 59, 55]
melody	29.5	[74]
surface	29.5	[74, 67, 59, 55]
grouping	30.0	[63]
melody	31.0	[72]
surface	31.0	[72, 63, 60, 48]
reduction	31.0	[72, 63, 60, 48]
melody	31.5	[72]
surface	31.5	[72, 63, 60, 48]
melody	32.0	[72]
surface	32.0	[72, 63, 60, 48]
melody	32.5	[72]
surface	32.5	[72, 65, 60, 50]
reduction	32.5	[72, 65, 60, 50]
surface	33.0	[67, 72, 51, 60]
melody	33.5	[72]
surface	33.5	[72, 68, 62, 53]
reduction	33.5	[72, 68, 62, 53]
melody	34.5	[72]
surface	34.5	[72, 67, 62, 51]
reduction	34.5	[72, 67, 62, 51]
melody	35.5	[70]
surface	35.5	[70, 67, 62, 46]
reduction	35.5	[70, 67, 62, 46]
melody	36.5	[70]
surface	36.5	[70, 67, 62, 43]
reduction	36.5	[70, 67, 62, 43]
surface	37.0	[65, 70, 62, 43]
reduction	37.0	[65, 70, 62, 43]
melody	37.5	[72]
surface	37.5	[72, 63, 63, 48]
reduction	37.5	[72, 63, 63, 48]
grouping	38.5	[63]
melody	39.5	[72]
surface	39.5	[72, 63, 60, 48]
reduction	39.5	[72, 63, 60, 48]
melody	40.0	[72]
surface	40.0	[72, 63, 60, 48]
melody	40.5	[72]
surface	40.5	[72, 63, 60, 48]
melody	41.0	[72]
surface	41.0	[72, 63, 60, 48]
melody	41.5	[72]
surface	41.5	[72, 63, 60, 48]
reduction	41.5	[72, 63, 60, 48]
melody	42.0	[72]
surface	42.0	[72, 63, 60, 48]
melody	42.5	[72]
surface	42.5	[72, 63, 60, 48]
melody	43.0	[72]
surface	43.0	[72, 63, 60, 48]
reduction	43.0	[72, 65, 60, 50]
melody	43.5	[72]
surface	43.5	[72, 65, 60, 50]
melody	44.0	[70]
surface	44.0	[70, 67, 62, 51]
reduction	44.0	[70, 67, 62, 51]
melody	45.0	[70]
surface	45.0	[70, 67, 62, 46]
reduction	45.0	[70, 67, 62, 46]
melody	46.0	[70]
surface	46.0	[70, 67, 62, 43]
reduction	46.0	[70, 67, 62, 43]
surface	46.5	[65, 70, 62, 43]
melody	47.0	[72]
surface	47.0	[72, 63, 63, 48]
reduction	47.0	[72, 63, 63, 48]
