tonality	0.5	[60, 62, 64, 65, 67, 70]
grouping	0.5	[76]
reduction	0.5	[77]
reduction	1.0	[77]
reduction	2.0	[77]
reduction	2.5	[75]
reduction	3.0	[77]
reduction	3.5	[75]
reduction	4.0	[75]
reduction	4.5	[72]
reduction	5.0	[72]
reduction	5.5	[75]
reduction	6.0	[77]
reduction	6.5	[75]
reduction	7.0	[77]
reduction	7.5	[72]
reduction	8.0	[72]
reduction	9.0	[79]
reduction	10.0	[77, 79]
reduction	10.5	[75, 79]
reduction	11.0	[72, 82]
grouping	12.0	[64, 67]
surface	12.0	[77, 72]
reduction	12.0	[77, 74, 72]
surface	1.0	[77, 72]
surface	1.5	[77, 72]
surface	2.0	[77, 72]
surface	2.5	[75, 72]
surface	3.0	[77, 72]
surface	3.25	[75, 72]
surface	3.5	[77, 72]
surface	3.75	[75, 72]
surface	4.0	[75, 72]
surface	4.5	[72, 72]
surface	5.0	[72, 72]
surface	5.5	[75, 72]
surface	6.0	[77, 72]
surface	6.5	[75, 72]
surface	6.75	[74, 72]
surface	7.0	[77, 72]
surface	7.25	[75, 72]
surface	7.5	[72, 72]
surface	8.0	[72, 72]
surface	9.0	[79, 72]
surface	10.0	[77, 79, 72]
surface	10.25	[75, 79, 72]
surface	10.5	[77, 79, 72]
surface	10.75	[75, 79, 72]
surface	11.0	[72, 82, 72]
surface	12.0	[77, 74, 72]
surface	12.25	[72, 77, 72]
surface	12.5	[77, 74, 72]
reduction	12.5	[77, 82, 72]
surface	12.75	[82, 77, 72]
surface	13.25	[75, 82, 72]
surface	13.5	[77, 74, 72]
reduction	13.5	[77, 74, 72]
surface	13.75	[72, 77, 72]
surface	14.0	[77, 74, 72]
reduction	14.0	[77, 82, 72]
surface	14.25	[82, 77, 72]
surface	15.0	[77, 74, 72]
reduction	15.0	[77, 74, 72]
surface	15.25	[72, 77, 72]
surface	15.5	[77, 74, 72]
reduction	15.5	[77, 82, 72]
surface	15.75	[82, 77, 72]
surface	16.5	[77, 74, 72]
reduction	16.5	[77, 74, 72]
surface	16.75	[72, 77, 72]
surface	17.0	[77, 74, 72]
reduction	17.0	[77, 82, 72]
surface	17.25	[82, 77, 72]
surface	17.5	[82, 72]
reduction	17.5	[82, 72]
surface	18.0	[77, 74, 72]
