tonality	0.0	[67, 70, 72, 74, 77]
grouping	0.0	[76]
reduction	0.0	[70]
reduction	1.0	[72]
reduction	2.0	[72]
reduction	3.0	[67]
grouping	4.5	[64, 67]
surface	4.5	[70, 67]
reduction	4.5	[74, 62, 67]
surface	1.0	[72, 67]
surface	2.0	[72, 67]
surface	2.5	[70, 67]
surface	3.0	[67, 67]
surface	4.5	[74, 62, 67]
surface	5.5	[72, 65, 67]
reduction	5.5	[72, 65, 67]
surface	6.5	[72, 67, 67]
reduction	6.5	[70, 65, 67]
surface	7.0	[70, 65, 67]
surface	7.5	[67, 67]
reduction	7.5	[67, 67]
surface	8.5	[65, 67, 67]
grouping	9.0	[64]
surface	9.0	[72, 62, 67]
reduction	9.0	[70, 62, 67]
surface	9.5	[70, 62, 67]
surface	10.0	[67, 65, 67]
reduction	10.0	[67, 65, 67]
surface	11.0	[67, 67]
reduction	11.0	[67, 67]
surface	11.5	[65, 67, 67]
surface	12.0	[67, 67]
reduction	12.0	[67, 67]
grouping	13.5	[64, 67]
surface	13.5	[74, 62, 67]
reduction	13.5	[74, 62, 67]
surface	14.0	[72, 62, 67]
surface	14.5	[74, 65, 67]
reduction	14.5	[72, 65, 67]
surface	15.0	[72, 65, 67]
surface	15.5	[72, 67, 67]
reduction	15.5	[70, 65, 67]
surface	16.0	[70, 65, 67]
surface	16.5	[67, 67]
reduction	16.5	[67, 67]
surface	17.5	[65, 67, 67]
grouping	18.0	[64]
surface	18.0	[74, 62, 67]
reduction	18.0	[74, 62, 67]
surface	19.0	[74, 65, 67]
reduction	19.0	[72, 65, 67]
surface	19.5	[72, 65, 67]
surface	20.0	[72, 67, 67]
reduction	20.0	[70, 65, 67]
surface	20.5	[70, 65, 67]
surface	21.0	[67, 67]
reduction	21.0	[67, 67]
surface	22.0	[65, 67, 67]
grouping	22.5	[64]
surface	22.5	[72, 62, 67]
reduction	22.5	[70, 62, 67]
surface	23.0	[70, 62, 67]
surface	23.5	[67, 65, 67]
reduction	23.5	[67, 65, 67]
surface	24.5	[67, 67]
reduction	24.5	[67, 67]
