tonality	0.0	[62, 65, 67, 69, 72]
grouping	0.0	[76]
reduction	0.0	[77]
reduction	1.0	[79]
reduction	2.0	[74]
reduction	3.0	[74]
grouping	4.0	[64, 67]
surface	4.0	[77, 65, 62]
reduction	4.0	[81, 69, 72, 65, 62]
surface	0.5	[77, 65, 62]
surface	1.0	[79, 65, 62]
surface	1.25	[77, 65, 62]
surface	1.5	[74, 65, 62]
surface	2.0	[74, 65, 62]
surface	2.5	[74, 65, 62]
surface	3.0	[74, 72, 65, 62]
surface	3.25	[72, 74, 65, 62]
surface	3.5	[74, 69, 65, 62]
surface	4.0	[81, 69, 65, 62]
surface	4.5	[81, 72, 65, 62]
surface	5.0	[84, 74, 65, 62]
reduction	5.0	[84, 74, 65, 62]
surface	5.5	[81, 74, 65, 62]
surface	5.75	[72, 81, 65, 62]
surface	6.0	[79, 69, 65, 62]
reduction	6.0	[79, 69, 72, 65, 62]
surface	6.25	[77, 69, 65, 62]
surface	6.5	[74, 72, 65, 62]
surface	7.0	[74, 65, 62]
reduction	7.0	[74, 65, 62]
surface	7.5	[74, 72, 65, 62]
grouping	8.0	[64]
surface	8.0	[81, 69, 65, 62]
reduction	8.0	[81, 69, 72, 65, 62]
surface	8.5	[81, 72, 65, 62]
surface	9.0	[81, 74, 65, 62]
reduction	9.0	[81, 74, 65, 62]
surface	9.25	[84, 74, 65, 62]
surface	9.5	[81, 74, 65, 62]
surface	9.75	[72, 81, 65, 62]
surface	10.0	[79, 69, 65, 62]
reduction	10.0	[79, 69, 72, 65, 62]
surface	10.25	[77, 69, 65, 62]
surface	10.5	[74, 72, 65, 62]
surface	11.0	[74, 65, 62]
reduction	11.0	[74, 65, 62]
surface	11.25	[72, 74, 65, 62]
surface	11.5	[74, 69, 65, 62]
grouping	12.0	[64]
surface	12.0	[81, 69, 65, 62]
reduction	12.0	[81, 69, 72, 65, 62]
surface	12.5	[81, 72, 65, 62]
surface	13.0	[81, 74, 65, 62]
reduction	13.0	[81, 74, 65, 62]
surface	13.25	[84, 74, 65, 62]
surface	13.5	[81, 74, 65, 62]
surface	13.75	[72, 81, 65, 62]
surface	14.0	[79, 74, 65, 62]
reduction	14.0	[79, 74, 65, 62]
surface	14.25	[77, 72, 65, 62]
surface	14.5	[74, 65, 62]
surface	14.75	[72, 74, 65, 62]
surface	15.0	[74, 65, 62]
reduction	15.0	[74, 65, 62]
surface	15.25	[72, 74, 65, 62]
surface	15.5	[74, 69, 65, 62]
grouping	16.0	[64, 67]
surface	16.0	[81, 69, 65, 62]
reduction	16.0	[81, 69, 72, 65, 62]
surface	16.75	[84, 72, 65, 62]
surface	17.0	[81, 69, 65, 62]
reduction	17.0	[81, 69, 72, 65, 62]
surface	17.5	[84, 72, 65, 62]
surface	18.0	[81, 74, 65, 62]
reduction	18.0	[81, 74, 65, 62]
surface	18.75	[72, 81, 65, 62]
surface	19.0	[84, 74, 65, 62]
reduction	19.0	[84, 74, 65, 62]
surface	20.0	[81, 69, 65, 62]
reduction	20.0	[81, 69, 72, 65, 62]
surface	20.75	[84, 72, 65, 62]
surface	21.0	[79, 69, 65, 62]
reduction	21.0	[79, 69, 72, 65, 62]
surface	21.25	[77, 69, 65, 62]
surface	21.5	[74, 72, 65, 62]
surface	22.0	[74, 62]
reduction	22.0	[74, 62]
surface	22.75	[72, 74, 62]
surface	23.0	[74, 69, 62]
reduction	23.0	[69, 74, 62]
