tonality	0.0	[67, 69, 71, 72, 74, 76, 78]
grouping	0.0	[64, 67]
melody	0.0	[67]
surface	0.0	[67, 62, 59, 55]
reduction	0.0	[67, 62, 59, 55]
melody	1.0	[69]
surface	1.0	[69, 62, 57, 54]
reduction	1.0	[69, 62, 57, 54]
melody	2.0	[71]
surface	2.0	[71, 62, 55]
reduction	2.0	[71, 62, 55]
melody	3.0	[69]
surface	3.0	[69, 62, 54, 50]
reduction	3.0	[69, 62, 54, 50]
melody	4.0	[67]
surface	4.0	[67, 62, 55, 52]
reduction	4.0	[67, 61, 55, 52]
surface	4.5	[61, 67, 55, 52]
melody	5.0	[66]
surface	5.0	[66, 62, 57, 54]
reduction	5.0	[66, 62, 57, 54]
surface	5.5	[66, 62, 55, 57]
melody	6.0	[64]
surface	6.0	[64, 61, 57]
reduction	6.0	[64, 61, 57]
surface	6.5	[64, 61, 55, 45]
reduction	6.5	[64, 61, 55, 45]
melody	7.0	[62]
surface	7.0	[62, 57, 54, 50]
reduction	7.0	[62, 57, 54, 50]
grouping	8.0	[64]
melody	8.0	[67]
surface	8.0	[67, 64, 59, 52]
reduction	8.0	[67, 64, 59, 52]
melody	9.0	[69]
surface	9.0	[69, 62, 57, 54]
reduction	9.0	[69, 62, 57, 54]
melody	10.0	[71]
surface	10.0	[71, 62, 55]
reduction	10.0	[71, 62, 55]
surface	10.5	[71, 62, 54, 55]
melody	11.0	[72]
surface	11.0	[72, 60, 55, 52]
reduction	11.0	[72, 60, 55, 52]
melody	12.0	[71]
surface	12.0	[71, 62, 55, 50]
reduction	12.0	[71, 62, 55, 50]
surface	12.5	[71, 62, 48, 55]
melody	13.0	[69]
surface	13.0	[69, 62, 54, 50]
reduction	13.0	[69, 62, 54, 50]
surface	13.5	[60, 69, 54, 50]
reduction	13.5	[60, 69, 54, 50]
melody	14.0	[67]
surface	14.0	[67, 59, 50, 43]
reduction	14.0	[67, 59, 50, 43]
grouping	16.0	[64, 67]
melody	16.0	[71]
surface	16.0	[71, 67, 62, 43]
reduction	16.0	[71, 67, 62, 43]
melody	17.0	[72]
surface	17.0	[72, 66, 60, 45]
reduction	17.0	[72, 66, 60, 45]
surface	17.5	[64, 72, 60, 45]
melody	18.0	[74]
surface	18.0	[74, 62, 54, 47]
reduction	18.0	[74, 65, 56, 47]
surface	18.5	[64, 74, 56, 47]
surface	18.75	[65, 74, 56, 47]
melody	19.0	[72]
surface	19.0	[72, 64, 57, 48]
reduction	19.0	[72, 64, 57, 48]
surface	19.5	[72, 64, 50, 57]
melody	20.0	[71]
surface	20.0	[71, 64, 55, 52]
reduction	20.0	[71, 64, 55, 52]
surface	20.5	[71, 64, 50, 55]
melody	21.0	[69]
surface	21.0	[69, 64, 60, 48]
reduction	21.0	[69, 64, 60, 48]
melody	22.0	[71]
surface	22.0	[71, 63, 54, 47]
reduction	22.0	[71, 63, 54, 47]
grouping	24.0	[64]
melody	24.0	[74]
surface	24.0	[74, 62, 55, 59]
reduction	24.0	[74, 62, 55, 47]
surface	24.5	[74, 62, 57, 59]
melody	25.0	[74]
surface	25.0	[74, 67, 59, 55]
reduction	25.0	[74, 67, 59, 43]
melody	26.0	[76]
surface	26.0	[76, 67, 60, 48]
reduction	26.0	[76, 67, 60, 48]
surface	26.5	[76, 67, 59, 48]
melody	27.0	[74]
surface	27.0	[74, 66, 57, 50]
reduction	27.0	[74, 66, 57, 50]
melody	28.0	[72]
surface	28.0	[72, 64, 55, 52]
reduction	28.0	[72, 64, 55, 52]
surface	28.5	[72, 64, 57, 54]
melody	29.0	[71]
surface	29.0	[71, 62, 59, 55]
reduction	29.0	[71, 62, 59, 55]
surface	29.5	[64, 71, 61, 55]
melody	30.0	[69]
surface	30.0	[69, 66, 62, 50]
reduction	30.0	[69, 66, 62, 50]
grouping	32.0	[64, 67]
melody	32.0	[71]
surface	32.0	[71, 67, 62, 55]
reduction	32.0	[71, 67, 62, 55]
melody	32.5	[72]
surface	32.5	[72, 67, 60, 55]
melody	33.0	[74]
surface	33.0	[74, 67, 59, 43]
reduction	33.0	[74, 67, 59, 43]
melody	34.0	[72]
surface	34.0	[72, 67, 57, 45]
reduction	34.0	[72, 66, 57, 45]
surface	34.5	[66, 72, 57, 45]
melody	35.0	[71]
surface	35.0	[71, 67, 50, 47]
reduction	35.0	[71, 67, 50, 47]
melody	35.5	[69]
surface	35.5	[69, 66, 50, 47]
melody	36.0	[67]
surface	36.0	[67, 64, 52, 48]
reduction	36.0	[67, 64, 52, 48]
surface	36.5	[62, 67, 47, 52]
melody	37.0	[69]
surface	37.0	[69, 60, 54, 45]
reduction	37.0	[69, 60, 54, 45]
melody	38.0	[71]
surface	38.0	[71, 59, 55, 43]
reduction	38.0	[71, 59, 55, 43]
surface	38.5	[61, 71, 45, 55]
surface	39.0	[63, 71, 54, 47]
reduction	39.0	[63, 71, 54, 47]
melody	40.0	[67]
surface	40.0	[67, 64, 52, 40]
reduction	40.0	[67, 64, 52, 40]
grouping	42.0	[64]
melody	42.0	[71]
surface	42.0	[71, 64, 55, 52]
reduction	42.0	[71, 64, 55, 52]
melody	42.5	[72]
surface	42.5	[72, 64, 55, 52]
melody	43.0	[74]
surface	43.0	[74, 65, 56, 47]
reduction	43.0	[74, 65, 56, 47]
melody	44.0	[72]
surface	44.0	[72, 64, 57, 48]
reduction	44.0	[72, 64, 57, 48]
surface	44.5	[66, 72, 57, 48]
melody	45.0	[71]
surface	45.0	[71, 67, 52, 49]
reduction	45.0	[71, 67, 52, 49]
melody	46.0	[69]
surface	46.0	[69, 66, 54, 50]
reduction	46.0	[69, 66, 54, 50]
surface	46.5	[64, 69, 48, 54]
reduction	46.5	[69, 66, 48, 54]
melody	47.0	[71]
surface	47.0	[71, 62, 55, 47]
reduction	47.0	[71, 62, 55, 47]
surface	47.5	[71, 62, 43, 55]
melody	48.0	[69]
surface	48.0	[69, 62, 55, 50]
reduction	48.0	[69, 62, 54, 50]
surface	49.0	[69, 62, 54, 50]
reduction	49.0	[60, 69, 54, 50]
surface	49.5	[60, 69, 54, 50]
melody	50.0	[67]
surface	50.0	[67, 59, 50, 43]
reduction	50.0	[67, 59, 50, 43]
