tonality	0.0	[67, 69, 71, 72, 74, 76, 78]
grouping	0.0	[64, 67]
melody	0.0	[74]
surface	0.0	[74, 67, 59, 55]
reduction	0.0	[74, 67, 59, 55]
melody	1.0	[76]
surface	1.0	[76, 67, 60, 48]
reduction	1.0	[76, 67, 60, 48]
surface	1.5	[76, 67, 59, 48]
melody	2.0	[74]
surface	2.0	[74, 66, 57, 50]
reduction	2.0	[74, 66, 57, 50]
melody	2.5	[72]
surface	2.5	[72, 66, 57, 50]
reduction	2.5	[72, 66, 57, 50]
melody	3.0	[71]
surface	3.0	[71, 67, 55, 52]
reduction	3.0	[71, 67, 55, 52]
melody	3.5	[72]
surface	3.5	[72, 67, 55, 52]
melody	4.0	[74]
surface	4.0	[74, 62, 55, 47]
reduction	4.0	[74, 62, 55, 47]
surface	4.5	[64, 74, 48, 55]
melody	5.0	[69]
surface	5.0	[69, 66, 62, 50]
reduction	5.0	[69, 66, 62, 50]
grouping	7.0	[64]
melody	7.0	[71]
surface	7.0	[71, 67, 62, 55]
reduction	7.0	[71, 67, 62, 55]
surface	7.5	[71, 67, 54, 62]
melody	8.0	[73]
surface	8.0	[73, 67, 55, 52]
reduction	8.0	[73, 67, 55, 52]
melody	9.0	[74]
surface	9.0	[74, 66, 57, 50]
reduction	9.0	[74, 66, 57, 50]
grouping	12.0	[64, 67]
melody	12.0	[74]
surface	12.0	[74, 67, 55, 47]
reduction	12.0	[74, 67, 55, 47]
melody	13.0	[76]
surface	13.0	[76, 67, 60, 48]
reduction	13.0	[76, 67, 60, 48]
surface	13.5	[76, 67, 59, 48]
melody	14.0	[74]
surface	14.0	[74, 66, 57, 50]
reduction	14.0	[74, 66, 57, 50]
surface	14.5	[64, 74, 55, 50]
melody	15.0	[69]
surface	15.0	[69, 62, 54, 48]
reduction	15.0	[69, 62, 54, 48]
melody	15.5	[71]
surface	15.5	[71, 62, 55, 47]
melody	16.0	[72]
surface	16.0	[72, 64, 48, 45]
reduction	16.0	[72, 66, 48, 45]
surface	16.5	[66, 72, 48, 45]
melody	17.0	[71]
surface	17.0	[71, 67, 50, 47]
reduction	17.0	[71, 67, 50, 47]
surface	17.5	[71, 67, 48, 50]
melody	18.0	[69]
surface	18.0	[69, 66, 62, 50]
reduction	18.0	[69, 66, 62, 50]
surface	18.5	[69, 66, 60, 50]
reduction	18.5	[69, 66, 60, 50]
melody	19.0	[67]
surface	19.0	[67, 62, 59, 43]
reduction	19.0	[67, 62, 59, 43]
grouping	20.0	[64, 67]
melody	20.0	[67]
surface	20.0	[67, 62, 59, 55]
reduction	20.0	[67, 62, 59, 55]
melody	21.0	[69]
surface	21.0	[69, 62, 57, 54]
reduction	21.0	[69, 62, 57, 54]
melody	21.5	[71]
surface	21.5	[71, 62, 57, 54]
melody	22.0	[72]
surface	22.0	[72, 64, 55, 52]
reduction	22.0	[72, 64, 55, 52]
surface	22.5	[72, 64, 57, 54]
melody	23.0	[71]
surface	23.0	[71, 62, 59, 55]
reduction	23.0	[71, 62, 59, 55]
melody	23.5	[72]
surface	23.5	[72, 64, 59, 55]
tonality	24.0	[62, 64, 66, 67, 69, 71, 73]
melody	24.0	[74]
surface	24.0	[74, 66, 57, 54]
reduction	24.0	[74, 66, 57, 54]
surface	24.5	[74, 66, 55, 52]
melody	25.0	[74]
surface	25.0	[74, 66, 57, 54]
reduction	25.0	[74, 66, 57, 54]
surface	25.5	[67, 74, 52, 57]
melody	26.0	[69]
surface	26.0	[69, 66, 62, 50]
reduction	26.0	[69, 66, 62, 50]
