tonality	0.0	[64, 66, 67, 69, 71, 72, 74]
grouping	0.0	[64, 67]
melody	0.0	[71]
surface	0.0	[71, 67, 64, 52]
reduction	0.0	[71, 67, 64, 52]
surface	0.5	[71, 67, 54, 64]
melody	1.0	[71]
surface	1.0	[71, 67, 62, 55]
reduction	1.0	[71, 67, 62, 55]
surface	1.5	[66, 71, 62, 55]
melody	2.0	[69]
surface	2.0	[69, 64, 60, 48]
reduction	2.0	[69, 64, 60, 48]
surface	2.5	[69, 64, 50, 60]
melody	3.0	[67]
surface	3.0	[67, 64, 59, 52]
reduction	3.0	[67, 64, 59, 52]
melody	4.0	[66]
surface	4.0	[66, 64, 60, 45]
reduction	4.0	[66, 64, 60, 45]
surface	5.0	[63, 66, 59, 47]
reduction	5.0	[63, 66, 59, 47]
surface	5.5	[63, 66, 57, 47]
reduction	5.5	[63, 66, 57, 47]
melody	6.0	[64]
surface	6.0	[64, 59, 55, 52]
reduction	6.0	[64, 59, 55, 52]
grouping	8.0	[64]
melody	8.0	[71]
surface	8.0	[71, 67, 64, 52]
reduction	8.0	[71, 67, 64, 52]
surface	8.5	[71, 67, 54, 64]
melody	9.0	[71]
surface	9.0	[71, 67, 62, 55]
reduction	9.0	[71, 67, 62, 55]
melody	10.0	[73]
surface	10.0	[73, 69, 57, 54]
reduction	10.0	[73, 69, 57, 54]
surface	10.5	[67, 73, 59, 55]
melody	11.0	[75]
surface	11.0	[75, 66, 60, 57]
reduction	11.0	[75, 66, 60, 57]
melody	12.0	[76]
surface	12.0	[76, 64, 59, 56]
reduction	12.0	[76, 64, 59, 56]
surface	13.0	[66, 76, 61, 58]
reduction	13.0	[66, 76, 61, 58]
melody	14.0	[75]
surface	14.0	[75, 66, 59]
reduction	14.0	[75, 66, 59]
grouping	16.0	[64]
melody	16.0	[76]
surface	16.0	[76, 67, 59, 55]
reduction	16.0	[76, 67, 59, 55]
surface	16.5	[69, 76, 54, 59]
melody	17.0	[79]
surface	17.0	[79, 71, 64, 52]
reduction	17.0	[79, 71, 64, 52]
melody	18.0	[78]
surface	18.0	[78, 71, 64, 59]
reduction	18.0	[78, 71, 63, 59]
surface	19.0	[69, 78, 63, 47]
reduction	19.0	[69, 78, 63, 47]
melody	19.5	[76]
surface	19.5	[76, 69, 63, 47]
melody	20.0	[76]
surface	20.0	[76, 67, 59, 52]
reduction	20.0	[76, 67, 59, 52]
grouping	24.0	[64, 67]
melody	24.0	[71]
surface	24.0	[71, 67, 64, 52]
reduction	24.0	[71, 67, 64, 52]
surface	24.5	[66, 71, 54, 64]
melody	25.0	[71]
surface	25.0	[71, 64, 59, 55]
reduction	25.0	[71, 64, 59, 55]
surface	25.5	[63, 71, 59, 55]
melody	26.0	[72]
surface	26.0	[72, 64, 57, 48]
reduction	26.0	[72, 64, 57, 48]
surface	26.5	[66, 72, 50, 57]
tonality	27.0	[67, 69, 71, 72, 74, 76, 78]
melody	27.0	[71]
surface	27.0	[71, 67, 55, 52]
reduction	27.0	[71, 67, 55, 52]
melody	28.0	[69]
surface	28.0	[69, 67, 64, 49]
reduction	28.0	[69, 67, 64, 49]
surface	29.0	[66, 69, 62, 50]
reduction	29.0	[66, 69, 62, 50]
melody	29.5	[67]
surface	29.5	[67, 66, 62, 50]
melody	30.0	[67]
surface	30.0	[67, 62, 59, 43]
reduction	30.0	[67, 62, 59, 43]
tonality	32.0	[59, 61, 62, 64, 66, 67, 69]
grouping	32.0	[64]
melody	32.0	[71]
surface	32.0	[71, 67, 62, 55]
reduction	32.0	[71, 67, 62, 55]
surface	32.5	[71, 67, 54, 62]
melody	33.0	[73]
surface	33.0	[73, 67, 64, 52]
reduction	33.0	[73, 67, 64, 52]
melody	34.0	[74]
surface	34.0	[74, 66, 58, 54]
reduction	34.0	[74, 66, 58, 54]
surface	34.5	[74, 66, 52, 58]
melody	35.0	[71]
surface	35.0	[71, 66, 59, 50]
reduction	35.0	[71, 66, 59, 50]
melody	36.0	[76]
surface	36.0	[76, 67, 58, 49]
reduction	36.0	[76, 67, 58, 49]
melody	37.0	[74]
surface	37.0	[74, 66, 59, 50]
reduction	37.0	[74, 66, 59, 50]
surface	37.5	[74, 66, 52, 59]
melody	38.0	[73]
surface	38.0	[73, 66, 59, 54]
reduction	38.0	[73, 66, 58, 54]
surface	39.0	[73, 66, 58, 54]
reduction	39.0	[64, 73, 58, 54]
surface	39.5	[64, 73, 58, 54]
melody	40.0	[71]
surface	40.0	[71, 63, 54, 47]
reduction	40.0	[71, 63, 54, 47]
tonality	42.0	[64, 66, 67, 69, 71, 72, 74]
grouping	42.0	[64]
melody	42.0	[71]
surface	42.0	[71, 62, 56, 47]
reduction	42.0	[71, 62, 56, 47]
surface	42.5	[64, 71, 48, 56]
melody	43.0	[71]
surface	43.0	[71, 65, 56, 50]
reduction	43.0	[71, 65, 56, 50]
melody	44.0	[69]
surface	44.0	[69, 64, 57, 49]
reduction	44.0	[69, 64, 57, 49]
surface	44.5	[66, 69, 60, 51]
reduction	44.5	[66, 69, 60, 51]
melody	45.0	[67]
surface	45.0	[67, 59, 52]
reduction	45.0	[67, 59, 52]
surface	45.5	[64, 67, 59, 52]
melody	46.0	[66]
surface	46.0	[66, 64, 61, 46]
reduction	46.0	[66, 64, 61, 46]
surface	47.0	[63, 66, 59, 47]
reduction	47.0	[63, 66, 59, 47]
surface	47.5	[63, 66, 57, 47]
reduction	47.5	[63, 66, 57, 47]
melody	48.0	[64]
surface	48.0	[64, 59, 56, 40]
reduction	48.0	[64, 59, 56, 40]
