tonality	0.0	[67, 69, 71, 72, 74, 76, 78]
grouping	0.0	[64, 67]
surface	0.0	[67, 62, 59, 43]
reduction	0.0	[67, 62, 59, 43]
surface	1.0	[67, 62, 59, 55]
reduction	1.0	[67, 62, 59, 55]
surface	2.0	[64, 67, 60, 52]
reduction	2.0	[64, 67, 60, 52]
surface	2.5	[64, 67, 59, 52]
surface	3.0	[74, 62, 57, 54]
reduction	3.0	[74, 62, 57, 54]
surface	4.0	[71, 62, 55]
reduction	4.0	[71, 62, 55]
surface	5.0	[71, 62, 54, 50]
reduction	5.0	[71, 62, 54, 50]
surface	5.5	[69, 62, 54, 50]
surface	6.0	[67, 59, 55, 52]
reduction	6.0	[67, 59, 55, 52]
surface	7.0	[67, 64, 60, 48]
reduction	7.0	[67, 64, 60, 48]
surface	7.5	[62, 67, 59, 48]
surface	8.0	[64, 67, 60, 47]
reduction	8.0	[69, 66, 60, 45]
surface	8.5	[69, 66, 45, 60]
surface	9.0	[71, 67, 62, 43]
reduction	9.0	[71, 67, 62, 43]
surface	10.0	[69, 66, 62, 50]
reduction	10.0	[69, 66, 62, 50]
grouping	12.0	[64]
surface	12.0	[71, 67, 62, 43]
reduction	12.0	[71, 67, 62, 43]
surface	13.0	[74, 62, 57, 42]
reduction	13.0	[74, 62, 57, 42]
surface	14.0	[64, 74, 59, 43]
surface	15.0	[72, 66, 60, 45]
reduction	15.0	[72, 66, 60, 45]
surface	16.0	[71, 67, 62, 47]
reduction	16.0	[71, 67, 62, 47]
surface	17.0	[69, 67, 64, 48]
reduction	17.0	[69, 66, 60, 50]
surface	18.0	[66, 69, 62, 50]
surface	18.5	[66, 69, 60, 50]
surface	19.0	[67, 62, 59, 43]
reduction	19.0	[67, 62, 59, 43]
grouping	21.0	[64, 67]
surface	21.0	[71, 67, 62, 43]
reduction	21.0	[71, 67, 62, 43]
surface	22.0	[71, 67, 62, 43]
reduction	22.0	[71, 67, 62, 43]
surface	22.5	[66, 71, 62, 43]
surface	23.0	[72, 64, 60, 45]
reduction	23.0	[72, 66, 60, 45]
surface	23.5	[66, 72, 60, 45]
surface	24.0	[74, 67, 59, 47]
reduction	24.0	[74, 67, 59, 47]
surface	24.5	[74, 67, 57, 47]
surface	25.0	[74, 67, 59, 47]
reduction	25.0	[74, 67, 59, 47]
surface	25.5	[69, 74, 60, 47]
surface	26.0	[67, 74, 62, 47]
reduction	26.0	[67, 74, 62, 47]
surface	26.5	[72, 66, 45, 62]
surface	27.0	[71, 67, 62, 43]
reduction	27.0	[71, 67, 62, 43]
surface	28.0	[69, 66, 62, 50]
reduction	28.0	[69, 66, 62, 50]
grouping	30.0	[64]
surface	30.0	[67, 64, 59, 52]
reduction	30.0	[67, 64, 59, 52]
surface	31.0	[71, 64, 55, 52]
reduction	31.0	[71, 64, 55, 52]
surface	32.0	[66, 71, 59, 50]
reduction	32.0	[66, 71, 59, 50]
surface	32.5	[67, 71, 59, 50]
surface	33.0	[72, 69, 64, 48]
reduction	33.0	[72, 69, 64, 48]
surface	34.0	[74, 69, 62, 47]
reduction	34.0	[74, 67, 62, 47]
surface	35.0	[67, 74, 62, 47]
surface	35.5	[67, 74, 48, 62]
surface	36.0	[72, 67, 62, 50]
reduction	36.0	[72, 66, 62, 50]
surface	36.5	[66, 72, 62, 50]
surface	37.0	[71, 67, 62, 43]
reduction	37.0	[71, 67, 62, 43]
surface	37.5	[71, 67, 45, 62]
surface	38.0	[71, 67, 47, 62]
reduction	38.0	[71, 67, 47, 62]
