TS	3/4
MS	0.0
MS	3.0
MS	6.0
MS	9.0
MS	12.0
MS	15.0
MS	18.0
MS	21.0
MS	24.0
MS	27.0
MS	30.0
MS	33.0
MS	36.0
MS	39.0
MS	42.0
MS	45.0
MS	48.0
MS	51.0
MS	54.0
MS	57.0
MS	60.0
MS	63.0
MS	66.0
MS	69.0
MS	72.0
MS	75.0
MS	78.0
MS	81.0
MS	84.0
MS	87.0
MS	90.0
MS	93.0
MS	96.0
MS	99.0
MS	102.0
MS	105.0
MS	108.0
MS	111.0
MS	114.0
MS	117.0
MS	120.0
MS	123.0
MS	126.0
MS	129.0
MS	132.0
MS	135.0
MS	138.0
MS	141.0
MS	144.0
MS	147.0
MS	150.0
MS	153.0
MS	156.0
MS	159.0
MS	162.0
MS	165.0
MS	168.0
MS	171.0
