TS	2/4
MS	0.0
MS	2.0
MS	4.0
MS	6.0
MS	8.0
MS	10.0
MS	12.0
MS	14.0
MS	16.0
MS	18.0
MS	20.0
MS	22.0
MS	24.0
MS	26.0
MS	28.0
MS	30.0
MS	32.0
MS	34.0
MS	36.0
MS	38.0
MS	40.0
MS	42.0
MS	44.0
MS	46.0
MS	48.0
MS	50.0
MS	52.0
MS	54.0
MS	56.0
MS	58.0
MS	60.0
MS	62.0
MS	64.0
MS	66.0
MS	68.0
MS	70.0
MS	72.0
MS	74.0
MS	76.0
MS	78.0
MS	80.0
MS	82.0
MS	84.0
MS	86.0
MS	88.0
MS	90.0
MS	92.0
MS	94.0
MS	96.0
MS	98.0
MS	100.0
MS	102.0
MS	104.0
MS	106.0
MS	108.0
MS	110.0
MS	112.0
MS	114.0
MS	116.0
MS	118.0
