TS	4/4
Grp	3.0
Bar	[0.0, 1.0, 2.0, 3.0, 3.5, 4.0, 5.0, 6.0, 7.0]
Grp	3.0
Bar	[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0]
Grp	3.0
Bar	[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0]
Grp	0.0
Bar	[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0]
Grp	3.0
Bar	[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 6.5, 7.0]
Grp	3.0
Bar	[0.0, 1.0, 1.5, 2.0, 3.0, 3.5, 4.0, 5.0, 6.0, 7.0]
Grp	3.0
Bar	[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0]
Grp	3.0
Bar	[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0]
Grp	3.0
Bar	[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 6.5, 7.0]
